cluster,genes
0,"LAMP3, SFTPC, NAPSA"
1,"KRT5, S100A2, KRT15"
2,"SRGN, S100A9, S100A8"
3,"HLA-DRB5, CYB5A, KLK11"
4,"MUC1, SFTPB, HSD17B6"
5,"SERPINF1, C1R, MGST1"
6,"TMEM190, TSPAN19, CAPS"
7,"S100A10, AGER, TMSB4X"
8,"LCN2, WFDC2, BPIFB1"
9,"FTH1, C20orf85, GSTP1"
10,"CD69, CXCR4, CORO1A"
11,"DNAAF1, RP1, DNAH12"
12,"CETN2, FABP6, IK"
13,"SEC11C, PROX1, PCSK1N"
14,"PECAM1, EPAS1, SPARCL1"
15,"IGFBP2, KRT17, SOD3"
16,"SCGB3A2, NCOA7, SCGB1A1"
17,"PIGR, MET, STEAP4"
18,"RTKN2, LMO7, EMP2"
19,"HOPX, PAPSS2, GGTLC1"
