"NGenes","Correlation","Direction","PValue","FDR","set","config","comp","label","cell_floor","case","reference","correlation_setting","n_patients","assayed_fraction","FDR_global"
186,0.179403198225847,"Down",0.139291223064836,0.222865956903738,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","unc20_pooled","AT2","AT2",50,"AAH","normal","estimated",8,0.98,0.365564624585219
160,0.0562801874049319,"Down",0.0563742262986979,0.222865956903738,"HALLMARK_INFLAMMATORY_RESPONSE","unc20_pooled","AT2","AT2",50,"AAH","normal","estimated",8,0.99,0.262140152288945
72,0.0679122056839131,"Down",0.105337348531569,0.222865956903738,"HALLMARK_IL6_JAK_STAT3_SIGNALING","unc20_pooled","AT2","AT2",50,"AAH","normal","estimated",8,0.988505747126437,0.335251138882971
166,0.0628581279914709,"Down",0.5805113961853,0.5805113961853,"HALLMARK_HYPOXIA","unc20_pooled","AT2","AT2",50,"AAH","normal","estimated",8,0.975,0.698114997998701
161,0.023094562131054,"Up",0.108197747242681,0.222865956903738,"HALLMARK_GLYCOLYSIS","unc20_pooled","AT2","AT2",50,"AAH","normal","estimated",8,0.955,0.335251138882971
177,0.016501977452788,"Up",0.139038342816035,0.222865956903738,"HALLMARK_P53_PATHWAY","unc20_pooled","AT2","AT2",50,"AAH","normal","estimated",8,0.95,0.365564624585219
153,0.019688942284353,"Up",0.276657645602671,0.368876860803562,"HALLMARK_E2F_TARGETS","unc20_pooled","AT2","AT2",50,"AAH","normal","estimated",8,0.955,0.4947915584817
147,0.0107636656033274,"Down",0.431144783413347,0.492736895329539,"HALLMARK_G2M_CHECKPOINT","unc20_pooled","AT2","AT2",50,"AAH","normal","estimated",8,0.945,0.600479587710928
186,0.01,"Down",8.49873477617271e-09,6.79898782093817e-08,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","unc20_pooled","AT2","AT2",50,"AAH","normal","fixed001",8,0.98,1.69367643039442e-07
160,0.01,"Down",8.03056341891174e-06,3.2122253675647e-05,"HALLMARK_INFLAMMATORY_RESPONSE","unc20_pooled","AT2","AT2",50,"AAH","normal","fixed001",8,0.99,4.76707913590718e-05
72,0.01,"Down",0.000613916983353384,0.00163711195560902,"HALLMARK_IL6_JAK_STAT3_SIGNALING","unc20_pooled","AT2","AT2",50,"AAH","normal","fixed001",8,0.988505747126437,0.00208881510189749
166,0.01,"Down",0.231036397305909,0.264041596921039,"HALLMARK_HYPOXIA","unc20_pooled","AT2","AT2",50,"AAH","normal","fixed001",8,0.975,0.301211003964246
161,0.01,"Up",0.0134856843788043,0.0269713687576086,"HALLMARK_GLYCOLYSIS","unc20_pooled","AT2","AT2",50,"AAH","normal","fixed001",8,0.955,0.0270683880696863
177,0.01,"Up",0.0473235841090072,0.0757177345744115,"HALLMARK_P53_PATHWAY","unc20_pooled","AT2","AT2",50,"AAH","normal","fixed001",8,0.95,0.0790615566851078
153,0.01,"Up",0.137954775897891,0.183939701197188,"HALLMARK_E2F_TARGETS","unc20_pooled","AT2","AT2",50,"AAH","normal","fixed001",8,0.955,0.195377576017825
147,0.01,"Down",0.393175216535867,0.393175216535867,"HALLMARK_G2M_CHECKPOINT","unc20_pooled","AT2","AT2",50,"AAH","normal","fixed001",8,0.945,0.470797791474279
184,0.143338636736797,"Down",0.0592281129381275,0.187270640224455,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","unc20_pooled","AT2","AT2",50,"AIS","normal","estimated",12,0.98,0.268075519317415
160,0.0609176343317859,"Down",0.457072497463654,0.52236856852989,"HALLMARK_INFLAMMATORY_RESPONSE","unc20_pooled","AT2","AT2",50,"AIS","normal","estimated",12,0.99,0.613092436501728
69,0.0576216112457148,"Down",0.184645172960715,0.295432276737145,"HALLMARK_IL6_JAK_STAT3_SIGNALING","unc20_pooled","AT2","AT2",50,"AIS","normal","estimated",12,0.988505747126437,0.391406035579109
170,0.0111422970320354,"Down",0.135149354769041,0.270298709538081,"HALLMARK_HYPOXIA","unc20_pooled","AT2","AT2",50,"AIS","normal","estimated",12,0.975,0.365564624585219
167,0.0171703865700747,"Up",0.00431399782467623,0.0345119825974098,"HALLMARK_GLYCOLYSIS","unc20_pooled","AT2","AT2",50,"AIS","normal","estimated",12,0.955,0.208545066835373
180,0.0283892950602694,"Up",0.276129234248324,0.368172312331099,"HALLMARK_P53_PATHWAY","unc20_pooled","AT2","AT2",50,"AIS","normal","estimated",12,0.95,0.4947915584817
160,0.0142619204833641,"Up",0.553273141167822,0.553273141167822,"HALLMARK_E2F_TARGETS","unc20_pooled","AT2","AT2",50,"AIS","normal","estimated",12,0.955,0.671418651949321
153,0.0084136081512091,"Down",0.0702264900841707,0.187270640224455,"HALLMARK_G2M_CHECKPOINT","unc20_pooled","AT2","AT2",50,"AIS","normal","estimated",12,0.945,0.275960432865967
