Cluster,n_cells,Proposed identity,Runner-up,Panel score,Runner-up score,DE corroboration,Supporting markers,Conflicting markers,Top data-derived genes,Confidence,Notes
0,4130,Transitional (candidate),DC,0.944,0.915,0.25,Cdkn1a,"H2-Ab1, Cd74, Pecam1, Cdh5, Cldn5","Iigp1, Gbp4, Gm12250, Igtp, H2-Q4, Ly6a, Isg15, Ly6c1, Gbp7, Xdh",Low,co-expresses markers of more than one lineage - check for doublets
1,31808,Endothelial (candidate),Endothelial_cap,3.275,1.824,0.75,"Pecam1, Cdh5, Kdr, Emcn, Cldn5",,"Cd93, Hpgd, Epas1, Tmem100, Ptprb, Tspan7, Calcrl, Bmpr2, Sema3c, Clec14a",High,
2,1047,Proliferating (candidate),Fibro_activated,7.66,0.981,1.0,"Mki67, Top2a, Ccnb1",,"Hmgb2, H2az1, Mki67, Stmn1, Birc5, Top2a, Cks2, Cenpf, Prc1, Smc4",High,
3,14467,Endothelial (candidate),Endothelial_cap,4.149,1.74,1.0,"Pecam1, Cdh5, Kdr, Emcn, Cldn5",,"Cxcl12, Emcn, Col4a1, Ntrk2, Pecam1, Cav1, Cyyr1, Cdk19, H2-Q7, Ace",High,
4,5728,Endothelial (candidate),Club,2.225,1.213,0.75,"Pecam1, Cdh5, Cldn5",,"Scgb1a1, Sftpc, Rn18s, Epas1, Ptprb, Egfl7, Hpgd, Ctla2a, Calcrl, Adgrf5",High,
5,6462,Mono_Mac (candidate),Pan_immune,5.129,4.372,0.75,"Lyz2, Cd68, Csf1r, Adgre1, Itgam, C1qa",Ptprc,"Tyrobp, Ctss, Fcer1g, Laptm5, Cd52, Coro1a, Ptprc, Psap, Gpx1, Spi1",High,co-expresses markers of more than one lineage - check for doublets
6,3301,B_cell (candidate),Pan_immune,7.528,4.105,1.25,"Cd79a, Cd79b, Ms4a1, Cd37, Cd74",,"Cd79a, Igkc, Cd74, Cd79b, Fau, Ebf1, Ly6d, Cd52, H2-Aa, H2-Eb1",High,
7,2038,Endothelial_cap (candidate),Endothelial,2.998,2.886,0.5,"Car4, Ednrb, Gpihbp1, Aplnr","Pecam1, Cdh5, Kdr, Emcn, Cldn5","Kdr, Pitpnc1, Jcad, Tspan13, Rasgrp3, Arap2, Ybx1, Casz1, Sema3c, Itga1",Moderate,co-expresses markers of more than one lineage - check for doublets
8,1584,Endothelial (candidate),Fibro_activated,1.606,0.638,0.25,"Pecam1, Cdh5, Cldn5",,"Vwf, Tm4sf1, Adgrg6, Plat, Efnb2, Plac8, Utrn, Gja5, Atp13a3, Gata6",Moderate,
9,3705,Endothelial (candidate),Fibro_activated,1.931,1.476,0.25,"Pecam1, Cdh5, Kdr, Emcn, Cldn5",,"Vwf, Prss23, Samd5, Lyve1, Slc6a2, Csrp2, Vegfc, Amigo2, Cd200, Aqp1",Moderate,
10,5763,AT2 (candidate),Pan_epithelial,7.756,3.258,1.5,"Sftpc, Sftpb, Abca3, Lamp3, Slc34a2, Cxcl15",,"Sftpd, Sftpb, Sftpa1, Cxcl15, Wfdc2, Atp1b1, Scd1, Npc2, Slc34a2, Muc1",High,
11,16,AT2 (candidate),Fibroblast,5.084,4.513,1.0,"Sftpc, Sftpb, Abca3, Lamp3, Slc34a2, Cxcl15","Col1a1, Col1a2, Dcn, Col3a1","S100g, Sftpc, Cxcl15, Sftpa1, Sftpb, Chil3, Sftpd, Ear2, Slc34a2, Chil1",High,co-expresses markers of more than one lineage - check for doublets
12,6357,Fibroblast (candidate),Club,2.296,0.883,0.75,Pdgfra,,"Mgp, Inmt, Gpx3, Bgn, Mfap4, Fth1, Fmo2, Plac9a, Gsn, Apoe",Low,
13,5543,T_cell (candidate),CD8_T,7.62,5.179,1.0,"Cd3d, Cd3e, Cd3g, Trbc2",,"Ptprc, Cd52, Rac2, Fau, Ms4a4b, Trbc2, Arhgdib, Coro1a, Tpt1, Cd3g",High,
14,24886,Fibroblast (candidate),Fibro_activated,4.409,0.656,1.0,"Col1a1, Col1a2, Pdgfra, Col3a1",,"Limch1, Npnt, Plxdc2, Colec12, Spon1, Sod3, Gsn, Fhl1, Prelp, Cdh11",High,
15,6440,Fibroblast (candidate),Plasma,5.763,0.252,1.25,"Col1a1, Col1a2, Dcn, Pdgfra, Col3a1",,"Dcn, Clec3b, Col1a2, Gsn, Igfbp4, Cygb, Serping1, Col1a1, Cfh, C1s1",High,
16,4284,AT1 (candidate),Pan_epithelial,6.667,4.052,1.25,"Ager, Pdpn, Hopx, Cav1, Aqp5, Rtkn2",,"Ager, Hopx, Cldn18, Prdx6, Krt7, Clic3, Akap5, Emp2, Sec14l3, Cryab",High,
17,5679,Alveolar_Mac (candidate),Mono_Mac,4.248,3.22,0.0,"Marco, Pparg, Fabp4, Siglecf, Ear1",,"Ctsd, Ccl6, Ctss, Clec7a, Laptm5, Atp6v0d2, Mpeg1, Lgals3, Psap, Ftl1",Low,
18,1674,Ciliated (candidate),Pan_epithelial,7.474,3.194,1.0,"Foxj1, Tppp3, Dynlrb2, Ccdc153",,"Ccdc153, Sec14l3, Dynlrb2, Chchd10, Cyp2s1, Foxj1, Tppp3, Cbr2, Tmem212, Fam183b",High,
19,1612,Basal (candidate),Transitional,7.051,6.003,0.75,"Krt5, Krt14, Trp63, Dapl1","Krt8, Krt18, Krt19, Krt17, Sfn","Cyp2f2, Fxyd3, Krt19, Sfn, Perp, Wfdc2, Cbr2, Ehf, Gsto1, Gsta4",High,co-expresses markers of more than one lineage - check for doublets
20,2364,Lymphatic_EC (candidate),Endothelial,7.498,1.489,1.0,"Mmrn1, Prox1, Ccl21a",,"Ccl21a, Mmrn1, Flt4, Prox1, Maf, Fxyd6, Reln, Gng11, Nrp2, Stab1",High,
21,11006,Endothelial (candidate),Endothelial_cap,4.591,3.74,1.0,"Pecam1, Cdh5, Kdr, Emcn, Cldn5","Car4, Ednrb","Car4, Emp2, Kdr, Kitl, Ednrb, Tspan13, Cyp4b1, Icam2, Nrp1, Cldn5",High,co-expresses markers of more than one lineage - check for doublets
22,5152,SMC_pericyte (candidate),Fibro_activated,7.098,3.275,1.25,"Acta2, Myh11, Tagln, Pdgfrb, Notch3",,"Gucy1a1, Gucy1b1, Postn, Ppp1r14a, Pdgfrb, Des, Cald1, Notch3, Lhfp, Pde5a",High,
23,2912,Club (candidate),AT2,5.285,3.478,1.0,"Scgb1a1, Scgb3a2, Scgb3a1, Cyp2f2",,"Scgb1a1, Sftpc, Igkc, Sftpa1, Igha, Lyz2, Scgb3a2, Wfdc2, Eln, Fau",High,
24,1500,Neutrophil (candidate),Pan_immune,7.67,5.326,1.0,"S100a8, S100a9, Retnlg",,"Il1b, Srgn, S100a9, S100a8, Tyrobp, Cebpb, Csf3r, Hdc, Mcl1, Mxd1",High,
25,1367,SMC_pericyte (candidate),Fibroblast,3.842,3.798,0.75,"Acta2, Myh11, Tagln, Pdgfrb","Col1a1, Col1a2, Dcn, Col3a1","Hhip, Mustn1, Aspn, Enpp2, Igfbp5, Rgs2, Grem2, Thbs1, Col3a1, P2ry14",Moderate,co-expresses markers of more than one lineage - check for doublets
26,1120,Mesothelium (candidate),Transitional,7.689,1.934,1.0,"Msln, Upk3b, Wt1",,"C3, Upk3b, Igfbp5, Msln, Igfbp6, Gpm6a, Gpc3, Lrrn4, Rarres2, Clu",High,
27,54,Platelet (candidate),Erythroid,7.674,1.518,1.0,"Ppbp, Pf4, Itga2b",,"Nrgn, Pf4, Ywhah, Gng11, Cd9, Ctla2a, Ppbp, Tmsb4x, Clec1b, Itga2b",High,
28,176,Treg (candidate),Pan_epithelial,1.034,0.691,0.0,Ikzf2,,"Lilr4b, Ccl4, Ccl3, Cyp11a1, Srgn, Hdc, Alox5ap, Ifitm1, Ccl9, Fxyd5",Low,
