pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
SEMA4B to DCBLD2,25,268.0,SEMA4B,DCBLD2,266,italk
DUSP18 to ITGB1,24,268.5,DUSP18,ITGB1,267,italk
SEMA3C to NRP2,21,271.0,SEMA3C,NRP2,268,italk
EFEMP2 to PLSCR4,24,273.5,EFEMP2,PLSCR4,269,italk
EFNA1 to EPHA3,22,274.5,EFNA1,EPHA3,270,italk
FN1 to ITGB8,24,275.0,FN1,ITGB8,271,italk
TGFB1 to ACVRL1,23,275.0,TGFB1,ACVRL1,272,italk
BMP2 to BMPR1A,26,276.5,BMP2,BMPR1A,273,italk
AFDN to NRXN3,23,277.0,AFDN,NRXN3,274,italk
ZP3 to EGFR,25,278.0,ZP3,EGFR,275,italk
COL4A1 to ITGB8,23,279.0,COL4A1,ITGB8,276,italk
ADAM12 to ITGA9,26,280.0,ADAM12,ITGA9,277,italk
DUSP18 to CD151,24,280.5,DUSP18,CD151,278,italk
WNT5A to ROR2,15,283.0,WNT5A,ROR2,279,italk
SCGB3A1 to MARCO,19,284.0,SCGB3A1,MARCO,280,italk
HBEGF to ERBB4,21,285.0,HBEGF,ERBB4,281,italk
COL18A1 to ITGA5,22,285.0,COL18A1,ITGA5,282,italk
RTN4 to LINGO1,18,285.5,RTN4,LINGO1,283,italk
BMP2 to ACVR2A,26,286.5,BMP2,ACVR2A,284,italk
AFDN to EPHB2,23,287.0,AFDN,EPHB2,285,italk
HBEGF to CD82,23,288.0,HBEGF,CD82,286,italk
LRP1B to PLAUR,26,288.5,LRP1B,PLAUR,287,italk
GNAI2 to ADCY9,26,290.0,GNAI2,ADCY9,288,italk
CP to SLC40A1,26,290.5,CP,SLC40A1,289,italk
LPL to CD44,24,291.0,LPL,CD44,290,italk
EFNB2 to EPHA3,22,291.0,EFNB2,EPHA3,291,italk
SPINK1 to EGFR,14,291.5,SPINK1,EGFR,292,italk
VEGFA to SIRPA,24,292.0,VEGFA,SIRPA,293,italk
TGFB1 to ITGB8,24,292.0,TGFB1,ITGB8,294,italk
SCGB3A2 to MARCO,19,293.0,SCGB3A2,MARCO,295,italk
ANGPT1 to ITGA5,14,293.5,ANGPT1,ITGA5,296,italk
PIP to NPTN,25,294.0,PIP,NPTN,297,italk
TGM2 to ITGA9,24,296.5,TGM2,ITGA9,298,italk
MMP2 to SDC2,17,297.0,MMP2,SDC2,299,italk
MMP7 to ERBB4,19,298.0,MMP7,ERBB4,300,italk
RPS19 to C5AR1,24,298.5,RPS19,C5AR1,301,italk
AFDN to NECTIN3,24,299.5,AFDN,NECTIN3,302,italk
PSEN1 to NCSTN,24,302.5,PSEN1,NCSTN,303,italk
BMP2 to ENG,26,304.0,BMP2,ENG,304,italk
LAMC1 to ITGA2,21,305.0,LAMC1,ITGA2,305,italk
LPL to LRP1,24,306.5,LPL,LRP1,306,italk
APOD to LEPR,23,307.0,APOD,LEPR,307,italk
PDGFD to PDGFRB,15,308.0,PDGFD,PDGFRB,308,italk
LAMC2 to ITGA2,21,310.0,LAMC2,ITGA2,309,italk
HRAS to INSR,25,310.0,HRAS,INSR,310,italk
GPI to AMFR,26,310.5,GPI,AMFR,311,italk
DUSP18 to ITGA1,24,312.5,DUSP18,ITGA1,312,italk
NRG4 to ERBB4,21,313.0,NRG4,ERBB4,313,italk
NRG3 to ERBB4,16,314.5,NRG3,ERBB4,314,italk
ADAM15 to ITGA9,26,314.5,ADAM15,ITGA9,315,italk
ADAM15 to ITGA5,24,315.5,ADAM15,ITGA5,316,italk
UBA52 to BMPR1B,16,315.5,UBA52,BMPR1B,317,italk
LRPAP1 to LDLR,23,316.0,LRPAP1,LDLR,318,italk
COL6A1 to ITGA2,17,316.0,COL6A1,ITGA2,319,italk
TNC to NT5E,23,316.0,TNC,NT5E,320,italk
INHBB to ACVR2A,25,317.0,INHBB,ACVR2A,321,italk
SERPINE2 to LRP1,15,319.0,SERPINE2,LRP1,322,italk
IL6 to IL6ST,21,319.0,IL6,IL6ST,323,italk
VEGFA to NRP2,20,320.0,VEGFA,NRP2,324,italk
PLAU to ITGA5,22,320.0,PLAU,ITGA5,325,italk
FARP2 to PLXNA4,22,322.5,FARP2,PLXNA4,326,italk
EFNB2 to EPHB2,23,323.0,EFNB2,EPHB2,327,italk
THBS1 to SDC4,23,323.0,THBS1,SDC4,328,italk
PLAT to LRP1,20,323.5,PLAT,LRP1,329,italk
TFPI to SDC4,23,324.0,TFPI,SDC4,330,italk
SPP1 to ITGA5,18,324.0,SPP1,ITGA5,331,italk
BMP2 to BMPR1B,16,325.0,BMP2,BMPR1B,332,italk
RIMS2 to ABCA1,21,325.0,RIMS2,ABCA1,333,italk
ASIP to ATRN,19,326.0,ASIP,ATRN,334,italk
NLGN1 to NRXN3,23,328.0,NLGN1,NRXN3,335,italk
SFTPD to LY96,23,330.0,SFTPD,LY96,336,italk
PTN to PTPRS,18,330.5,PTN,PTPRS,337,italk
SPP1 to ITGA9,19,331.0,SPP1,ITGA9,338,italk
LIN7C to ABCA1,21,331.0,LIN7C,ABCA1,339,italk
FBN1 to ITGA5,18,332.5,FBN1,ITGA5,340,italk
TNC to SDC4,23,333.0,TNC,SDC4,341,italk
HMGB1 to THBD,21,334.0,HMGB1,THBD,342,italk
ADAM12 to SDC4,23,336.0,ADAM12,SDC4,343,italk
SEMA3B to NRP2,20,336.5,SEMA3B,NRP2,344,italk
UBA52 to ACVR1,23,337.0,UBA52,ACVR1,345,italk
BMP7 to BMPR2,18,337.0,BMP7,BMPR2,346,italk
FGF18 to FGFR1,17,337.0,FGF18,FGFR1,347,italk
IL1RN to IL1R1,17,339.0,IL1RN,IL1R1,348,italk
COL7A1 to ITGB1,21,339.0,COL7A1,ITGB1,349,italk
JAG2 to NOTCH2,18,339.0,JAG2,NOTCH2,350,italk
GNAI2 to PTPRU,23,340.0,GNAI2,PTPRU,351,italk
SLPI to CD4,23,340.0,SLPI,CD4,352,italk
COL4A6 to ITGB1,22,341.0,COL4A6,ITGB1,353,italk
EFNA5 to EPHB2,23,342.0,EFNA5,EPHB2,354,italk
FGF2 to CD44,16,342.0,FGF2,CD44,355,italk
BGN to LY96,15,342.0,BGN,LY96,356,italk
SLIT2 to GPC1,20,342.5,SLIT2,GPC1,357,italk
NLGN1 to NRXN2,13,343.0,NLGN1,NRXN2,358,italk
FGF2 to FGFR1,16,343.0,FGF2,FGFR1,359,italk
FGF2 to NRP1,16,343.5,FGF2,NRP1,360,italk
HLA-DRB1 to CD4,23,345.0,HLA-DRB1,CD4,361,italk
FGF2 to SDC2,16,345.0,FGF2,SDC2,362,italk
GNAI2 to C5AR1,24,345.5,GNAI2,C5AR1,363,italk
APP to NCSTN,24,345.5,APP,NCSTN,364,italk
MELTF to TFRC,18,346.5,MELTF,TFRC,365,italk
TGM2 to SDC4,21,347.0,TGM2,SDC4,366,italk
COL4A6 to ITGAV,22,348.5,COL4A6,ITGAV,367,italk
TGFB2 to ACVR1,23,349.0,TGFB2,ACVR1,368,italk
APP to GPC1,20,350.0,APP,GPC1,369,italk
C4BPA to CD40,18,350.5,C4BPA,CD40,370,italk
IL15 to IL15RA,24,350.5,IL15,IL15RA,371,italk
GNAI2 to F2R,20,351.0,GNAI2,F2R,372,italk
GNAS to PTGIR,20,351.5,GNAS,PTGIR,373,italk
INHBB to ACVR1B,23,352.0,INHBB,ACVR1B,374,italk
WNT5A to RYK,15,352.0,WNT5A,RYK,375,italk
LIF to LIFR,18,353.0,LIF,LIFR,376,italk
FN1 to ITGA2,21,353.0,FN1,ITGA2,377,italk
SEMA6D to TYROBP,24,353.0,SEMA6D,TYROBP,378,italk
DCN to ERBB4,19,353.0,DCN,ERBB4,379,italk
ASIP to MGRN1,19,353.0,ASIP,MGRN1,380,italk
FN1 to C5AR1,24,353.5,FN1,C5AR1,381,italk
SEMA3F to NRP1,17,354.0,SEMA3F,NRP1,382,italk
NRG1 to GPC1,20,354.5,NRG1,GPC1,383,italk
LTF to TFRC,22,355.5,LTF,TFRC,384,italk
BMP7 to BMPR1A,18,355.5,BMP7,BMPR1A,385,italk
BMP7 to ACVR2A,18,356.0,BMP7,ACVR2A,386,italk
IL16 to CD4,23,357.0,IL16,CD4,387,italk
IL6 to F3,21,359.0,IL6,F3,388,italk
LAMA1 to ITGB1,25,359.0,LAMA1,ITGB1,389,italk
NUCB2 to ERAP1,24,359.0,NUCB2,ERAP1,390,italk
COL4A5 to ITGA2,21,359.0,COL4A5,ITGA2,391,italk
SEMA6A to PLXNA2,23,359.0,SEMA6A,PLXNA2,392,italk
EDN2 to EDNRA,13,362.0,EDN2,EDNRA,393,italk
IL18 to IL1RAPL1,22,362.0,IL18,IL1RAPL1,394,italk
HRAS to AGTR1,17,363.0,HRAS,AGTR1,395,italk
ADM to RAMP2,15,364.0,ADM,RAMP2,396,italk
OMG to LINGO1,18,364.5,OMG,LINGO1,397,italk
GNAI2 to S1PR3,14,365.5,GNAI2,S1PR3,398,italk
MMP1 to CD44,14,366.0,MMP1,CD44,399,italk
LAMA5 to ITGA2,21,366.0,LAMA5,ITGA2,400,italk
LAMA1 to ITGA1,25,368.0,LAMA1,ITGA1,401,italk
COL6A2 to ITGA2,18,368.0,COL6A2,ITGA2,402,italk
NTN1 to UNC5D,18,368.5,NTN1,UNC5D,403,italk
VEGFA to GPC1,19,370.0,VEGFA,GPC1,404,italk
TGFB1 to CD109,21,370.0,TGFB1,CD109,405,italk
RGMA to BMPR2,21,371.0,RGMA,BMPR2,406,italk
MDK to SDC4,23,372.0,MDK,SDC4,407,italk
LAMA1 to SDC2,25,372.0,LAMA1,SDC2,408,italk
IGFBP4 to LRP6,21,373.0,IGFBP4,LRP6,409,italk
