pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
CCL18 to ERG28,18,454.0,CCL18,ERG28,502,italk
VWF to SIRPA,16,457.5,VWF,SIRPA,503,italk
SEMA6A to PLXNA4,21,462.0,SEMA6A,PLXNA4,504,italk
LRPAP1 to SORT1,22,463.0,LRPAP1,SORT1,505,italk
BMP3 to ACVR1,15,463.0,BMP3,ACVR1,506,italk
COL4A3 to ITGA2,20,463.0,COL4A3,ITGA2,507,italk
LAMA1 to ITGB8,23,467.0,LAMA1,ITGB8,508,italk
JAG1 to NOTCH3,14,470.0,JAG1,NOTCH3,509,italk
LAMA1 to GPC1,19,480.0,LAMA1,GPC1,510,italk
MDK to SDC3,16,483.0,MDK,SDC3,511,italk
SEMA4C to PLXNB2,16,484.5,SEMA4C,PLXNB2,512,italk
SEMA3C to PLXND1,19,486.0,SEMA3C,PLXND1,513,italk
WNT5A to FZD1,13,489.0,WNT5A,FZD1,514,italk
TNFSF14 to TNFRSF14,13,496.0,TNFSF14,TNFRSF14,515,italk
APP to TNFRSF21,16,497.5,APP,TNFRSF21,516,italk
SEMA3E to PLXND1,19,500.0,SEMA3E,PLXND1,517,italk
COL4A6 to ITGA2,18,510.5,COL4A6,ITGA2,518,italk
COL1A2 to ITGA2,17,511.0,COL1A2,ITGA2,519,italk
DUSP18 to ITGA2,19,512.0,DUSP18,ITGA2,520,italk
ECM1 to CACHD1,13,512.0,ECM1,CACHD1,521,italk
SEMA3F to NRP2,14,513.5,SEMA3F,NRP2,522,italk
COL3A1 to ITGA2,18,517.0,COL3A1,ITGA2,523,italk
ZP3 to MERTK,20,525.5,ZP3,MERTK,524,italk
FN1 to COL13A1,13,527.0,FN1,COL13A1,525,italk
NTN1 to UNC5B,13,528.0,NTN1,UNC5B,526,italk
GNAI2 to UNC5B,13,530.0,GNAI2,UNC5B,527,italk
HSPG2 to COL13A1,13,530.0,HSPG2,COL13A1,528,italk
TCTN1 to TMEM67,16,530.5,TCTN1,TMEM67,529,italk
TNC to CNTN1,13,533.0,TNC,CNTN1,530,italk
DLL1 to NOTCH3,14,533.5,DLL1,NOTCH3,531,italk
PSEN1 to NOTCH3,14,534.5,PSEN1,NOTCH3,532,italk
FGF13 to FGFR4,14,536.0,FGF13,FGFR4,533,italk
FGF14 to FGFR4,14,538.0,FGF14,FGFR4,534,italk
COL7A1 to ITGA2,16,541.0,COL7A1,ITGA2,535,italk
PTN to PLXNB2,15,546.0,PTN,PLXNB2,536,italk
LAMA1 to ITGA2,20,547.5,LAMA1,ITGA2,537,italk
FGF12 to FGFR4,13,548.0,FGF12,FGFR4,538,italk
SCGB1A1 to LMBR1L,14,550.5,SCGB1A1,LMBR1L,539,italk
