pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
JAG2 to NOTCH2,18,107.5,JAG2,NOTCH2,100,cellphonedb
COL6A2 to ITGA2_ITGB1,18,107.5,COL6A2,ITGA2_ITGB1,101,cellphonedb
COL7A1 to ITGA1_ITGB1,21,108.0,COL7A1,ITGA1_ITGB1,102,cellphonedb
LAMC1 to ITGA2_ITGB1,21,108.0,LAMC1,ITGA2_ITGB1,103,cellphonedb
COL4A6 to ITGA1_ITGB1,22,109.5,COL4A6,ITGA1_ITGB1,104,cellphonedb
COL21A1 to ITGA11_ITGB1,21,111.0,COL21A1,ITGA11_ITGB1,105,cellphonedb
BMP7 to BMPR1A_BMPR2,18,111.5,BMP7,BMPR1A_BMPR2,106,cellphonedb
COL27A1 to ITGA11_ITGB1,18,111.5,COL27A1,ITGA11_ITGB1,107,cellphonedb
EDN2 to EDNRA,13,112.0,EDN2,EDNRA,108,cellphonedb
LIF to IL6ST_LIFR,18,113.5,LIF,IL6ST_LIFR,109,cellphonedb
COL28A1 to ITGA11_ITGB1,21,114.0,COL28A1,ITGA11_ITGB1,110,cellphonedb
NCAM1 to FGFR1,14,114.5,NCAM1,FGFR1,111,cellphonedb
TGFB1 to ACVR1_TGFBR2,23,115.0,TGFB1,ACVR1_TGFBR2,112,cellphonedb
COL17A1 to ITGA11_ITGB1,19,115.0,COL17A1,ITGA11_ITGB1,113,cellphonedb
COL1A1 to ITGA11_ITGB1,19,115.0,COL1A1,ITGA11_ITGB1,114,cellphonedb
COL12A1 to ITGA11_ITGB1,21,115.0,COL12A1,ITGA11_ITGB1,115,cellphonedb
FGF2 to FGFR1,16,116.0,FGF2,FGFR1,116,cellphonedb
TGFB2 to ACVR1_TGFBR2,23,116.0,TGFB2,ACVR1_TGFBR2,117,cellphonedb
FGF2 to CD44,16,116.0,FGF2,CD44,118,cellphonedb
VEGFA to EPHB2,22,118.0,VEGFA,EPHB2,119,cellphonedb
COL14A1 to ITGA11_ITGB1,16,118.5,COL14A1,ITGA11_ITGB1,120,cellphonedb
ALOX5 to ALOX5AP,21,119.0,ALOX5,ALOX5AP,121,cellphonedb
CDH1 to ITGA2_ITGB1,21,119.0,CDH1,ITGA2_ITGB1,122,cellphonedb
EREG to ERBB4,18,119.0,EREG,ERBB4,123,cellphonedb
COL16A1 to ITGA11_ITGB1,20,121.0,COL16A1,ITGA11_ITGB1,124,cellphonedb
CADM4 to CADM3,16,121.0,CADM4,CADM3,125,cellphonedb
FGF18 to FGFR1,17,121.0,FGF18,FGFR1,126,cellphonedb
COL4A3 to ITGA11_ITGB1,20,121.5,COL4A3,ITGA11_ITGB1,127,cellphonedb
COL19A1 to ITGA11_ITGB1,20,121.5,COL19A1,ITGA11_ITGB1,128,cellphonedb
BTC to EGFR,22,122.0,BTC,EGFR,129,cellphonedb
COL7A1 to ITGA11_ITGB1,17,122.0,COL7A1,ITGA11_ITGB1,130,cellphonedb
LGALS9 to SLC1A5,21,122.0,LGALS9,SLC1A5,131,cellphonedb
BMP7 to PTPRK,18,122.5,BMP7,PTPRK,132,cellphonedb
COL26A1 to ITGA1_ITGB1,18,122.5,COL26A1,ITGA1_ITGB1,133,cellphonedb
BMP7 to ACVR2A_BMPR1A,18,123.0,BMP7,ACVR2A_BMPR1A,134,cellphonedb
INHBB to ACVR1B_ACVR2A,23,125.0,INHBB,ACVR1B_ACVR2A,135,cellphonedb
COL12A1 to ITGA2_ITGB1,21,126.0,COL12A1,ITGA2_ITGB1,136,cellphonedb
TNFSF10 to TNFRSF10D,17,126.0,TNFSF10,TNFRSF10D,137,cellphonedb
COL18A1 to ITGA2_ITGB1,20,129.0,COL18A1,ITGA2_ITGB1,138,cellphonedb
SEMA3A to NRP1_PLXNA4,22,131.0,SEMA3A,NRP1_PLXNA4,139,cellphonedb
COL26A1 to ITGA11_ITGB1,15,131.0,COL26A1,ITGA11_ITGB1,140,cellphonedb
COL6A1 to ITGA11_ITGB1,17,132.0,COL6A1,ITGA11_ITGB1,141,cellphonedb
COL28A1 to ITGA2_ITGB1,21,132.0,COL28A1,ITGA2_ITGB1,142,cellphonedb
COL6A2 to ITGA11_ITGB1,17,132.0,COL6A2,ITGA11_ITGB1,143,cellphonedb
COL21A1 to ITGA2_ITGB1,21,133.0,COL21A1,ITGA2_ITGB1,144,cellphonedb
COL1A2 to ITGA11_ITGB1,15,134.0,COL1A2,ITGA11_ITGB1,145,cellphonedb
EFNB1 to EPHB2,17,134.0,EFNB1,EPHB2,146,cellphonedb
BMP6 to BMPR1A_BMPR2,22,134.5,BMP6,BMPR1A_BMPR2,147,cellphonedb
IL6 to HRH1,21,136.0,IL6,HRH1,148,cellphonedb
