pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
COL4A2 to CD44,25,3.0,COL4A2,CD44,1,cellchatdb
COL6A2 to CD44,21,4.0,COL6A2,CD44,2,cellchatdb
FN1 to CD44,26,6.5,FN1,CD44,3,cellchatdb
COL4A1 to CD44,25,9.0,COL4A1,CD44,4,cellchatdb
LAMB3 to CD44,26,9.0,LAMB3,CD44,5,cellchatdb
APP to CD74,26,9.5,APP,CD74,6,cellchatdb
MDK to LRP1,26,10.5,MDK,LRP1,7,cellchatdb
LAMC2 to CD44,26,11.0,LAMC2,CD44,8,cellchatdb
LAMC1 to CD44,26,12.0,LAMC1,CD44,9,cellchatdb
COL1A2 to CD44,19,14.0,COL1A2,CD44,10,cellchatdb
COL1A1 to CD44,24,15.0,COL1A1,CD44,11,cellchatdb
LAMA3 to CD44,26,15.5,LAMA3,CD44,12,cellchatdb
AREG to EGFR,26,15.5,AREG,EGFR,13,cellchatdb
MDK to SDC2,26,18.0,MDK,SDC2,14,cellchatdb
COL4A5 to CD44,26,19.5,COL4A5,CD44,15,cellchatdb
LAMA2 to CD44,26,20.0,LAMA2,CD44,16,cellchatdb
GDF15 to TGFBR2,26,21.0,GDF15,TGFBR2,17,cellchatdb
COL6A1 to CD44,20,21.5,COL6A1,CD44,18,cellchatdb
COL4A3 to CD44,25,22.0,COL4A3,CD44,19,cellchatdb
COL4A2 to ITGA1_ITGB1,25,23.0,COL4A2,ITGA1_ITGB1,20,cellchatdb
LAMA5 to CD44,26,25.0,LAMA5,CD44,21,cellchatdb
GAS6 to AXL,26,26.5,GAS6,AXL,22,cellchatdb
FN1 to ITGAV_ITGB1,26,26.5,FN1,ITGAV_ITGB1,23,cellchatdb
MDK to NCL,26,27.0,MDK,NCL,24,cellchatdb
FN1 to ITGA8_ITGB1,23,27.0,FN1,ITGA8_ITGB1,25,cellchatdb
LAMA4 to CD44,24,27.5,LAMA4,CD44,26,cellchatdb
NRXN3 to NLGN1,26,28.0,NRXN3,NLGN1,27,cellchatdb
COL4A4 to CD44,23,28.0,COL4A4,CD44,28,cellchatdb
LAMB2 to CD44,25,28.0,LAMB2,CD44,29,cellchatdb
COL6A2 to ITGA1_ITGB1,21,29.0,COL6A2,ITGA1_ITGB1,30,cellchatdb
LAMB1 to CD44,21,31.0,LAMB1,CD44,31,cellchatdb
NAMPT to INSR,26,43.5,NAMPT,INSR,32,cellchatdb
LAMB3 to ITGA1_ITGB1,26,45.0,LAMB3,ITGA1_ITGB1,33,cellchatdb
COL1A2 to ITGA1_ITGB1,19,46.0,COL1A2,ITGA1_ITGB1,34,cellchatdb
COL4A1 to ITGA1_ITGB1,25,47.0,COL4A1,ITGA1_ITGB1,35,cellchatdb
TNC to ITGA8_ITGB1,23,47.0,TNC,ITGA8_ITGB1,36,cellchatdb
PROS1 to AXL,26,47.0,PROS1,AXL,37,cellchatdb
HBEGF to EGFR,26,48.5,HBEGF,EGFR,38,cellchatdb
LAMC1 to ITGA1_ITGB1,26,50.0,LAMC1,ITGA1_ITGB1,39,cellchatdb
LAMC2 to ITGA1_ITGB1,26,50.0,LAMC2,ITGA1_ITGB1,40,cellchatdb
SEMA3C to NRP1_PLXNA2,25,52.0,SEMA3C,NRP1_PLXNA2,41,cellchatdb
LAMB3 to SV2C,26,52.0,LAMB3,SV2C,42,cellchatdb
LAMC2 to SV2C,26,53.5,LAMC2,SV2C,43,cellchatdb
NAMPT to ITGA5_ITGB1,24,53.5,NAMPT,ITGA5_ITGB1,44,cellchatdb
LAMC1 to SV2C,26,54.0,LAMC1,SV2C,45,cellchatdb
ADGRE5 to CD55,26,54.0,ADGRE5,CD55,46,cellchatdb
LAMA3 to SV2C,26,58.5,LAMA3,SV2C,47,cellchatdb
COL4A2 to ITGA9_ITGB1,25,61.0,COL4A2,ITGA9_ITGB1,48,cellchatdb
COL4A5 to ITGA1_ITGB1,26,61.5,COL4A5,ITGA1_ITGB1,49,cellchatdb
FN1 to ITGA5_ITGB1,24,62.0,FN1,ITGA5_ITGB1,50,cellchatdb
COL1A1 to ITGA1_ITGB1,24,62.5,COL1A1,ITGA1_ITGB1,51,cellchatdb
LAMA2 to SV2C,26,64.0,LAMA2,SV2C,52,cellchatdb
SPP1 to CD44,19,65.0,SPP1,CD44,53,cellchatdb
LAMA3 to ITGA1_ITGB1,26,65.5,LAMA3,ITGA1_ITGB1,54,cellchatdb
COL6A1 to ITGA1_ITGB1,20,66.0,COL6A1,ITGA1_ITGB1,55,cellchatdb
JAG1 to NOTCH2,26,66.5,JAG1,NOTCH2,56,cellchatdb
LAMA2 to ITGA1_ITGB1,26,66.5,LAMA2,ITGA1_ITGB1,57,cellchatdb
LAMA5 to SV2C,26,68.5,LAMA5,SV2C,58,cellchatdb
COL4A1 to ITGA9_ITGB1,25,69.0,COL4A1,ITGA9_ITGB1,59,cellchatdb
LGALS9 to CD44,23,73.0,LGALS9,CD44,60,cellchatdb
COL4A4 to ITGA1_ITGB1,23,75.0,COL4A4,ITGA1_ITGB1,61,cellchatdb
LAMA5 to ITGA1_ITGB1,26,76.0,LAMA5,ITGA1_ITGB1,62,cellchatdb
THBS1 to CD47,26,77.0,THBS1,CD47,63,cellchatdb
LAMB1 to ITGA1_ITGB1,21,77.0,LAMB1,ITGA1_ITGB1,64,cellchatdb
CD46 to JAG1,26,78.5,CD46,JAG1,65,cellchatdb
LAMB1 to SV2C,21,79.0,LAMB1,SV2C,66,cellchatdb
LAMB2 to SV2C,25,81.0,LAMB2,SV2C,67,cellchatdb
SEMA4A to NRP1_PLXNA2,25,82.0,SEMA4A,NRP1_PLXNA2,68,cellchatdb
COL6A2 to ITGA9_ITGB1,21,82.0,COL6A2,ITGA9_ITGB1,69,cellchatdb
EFNA5 to EPHA3,22,84.0,EFNA5,EPHA3,70,cellchatdb
LAMB2 to ITGA1_ITGB1,25,86.0,LAMB2,ITGA1_ITGB1,71,cellchatdb
LAMA4 to ITGA1_ITGB1,24,87.5,LAMA4,ITGA1_ITGB1,72,cellchatdb
ANGPTL4 to SDC2,25,88.0,ANGPTL4,SDC2,73,cellchatdb
ANGPTL4 to CDH11,25,89.0,ANGPTL4,CDH11,74,cellchatdb
COL4A3 to ITGA1_ITGB1,25,93.0,COL4A3,ITGA1_ITGB1,75,cellchatdb
LAMC1 to ITGA9_ITGB1,26,96.5,LAMC1,ITGA9_ITGB1,76,cellchatdb
SEMA3B to NRP1_PLXNA2,24,97.5,SEMA3B,NRP1_PLXNA2,77,cellchatdb
LAMA4 to SV2C,24,98.0,LAMA4,SV2C,78,cellchatdb
LAMC2 to ITGA9_ITGB1,26,99.0,LAMC2,ITGA9_ITGB1,79,cellchatdb
PDGFA to PDGFRB,25,100.0,PDGFA,PDGFRB,80,cellchatdb
DLL1 to NOTCH2,25,100.0,DLL1,NOTCH2,81,cellchatdb
FN1 to SDC4,23,101.0,FN1,SDC4,82,cellchatdb
LAMB3 to ITGA9_ITGB1,26,101.5,LAMB3,ITGA9_ITGB1,83,cellchatdb
NRG1 to ERBB4,21,104.0,NRG1,ERBB4,84,cellchatdb
SPP1 to ITGAV_ITGB1,19,105.0,SPP1,ITGAV_ITGB1,85,cellchatdb
COL1A1 to ITGA9_ITGB1,24,105.0,COL1A1,ITGA9_ITGB1,86,cellchatdb
TGFB2 to TGFBR1_TGFBR2,26,105.0,TGFB2,TGFBR1_TGFBR2,87,cellchatdb
COL1A2 to ITGA9_ITGB1,19,106.0,COL1A2,ITGA9_ITGB1,88,cellchatdb
SPP1 to ITGAV_ITGB5,19,107.0,SPP1,ITGAV_ITGB5,89,cellchatdb
COL4A5 to ITGA9_ITGB1,26,107.0,COL4A5,ITGA9_ITGB1,90,cellchatdb
TNC to ITGA9_ITGB1,26,109.5,TNC,ITGA9_ITGB1,91,cellchatdb
