library,genotype,barcodes,median_counts,median_genes,median_pct_mt,kept_repository_rule,kept_paper_rule,kept_by_both,thresholds,expected_doublet_rate,doublet_call_method,doublets_removed,cells_analysed
Expt1_Confetti_mesenchyme,Confetti,6435,4529,2111,1.18,6057,5390,5300,"log1p(counts) median+/-5.0MAD -> [500,57870]; log1p(genes) median+/-5.0MAD -> [342,12972] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=2.61 bracketed to [5.0,20.0] -> 5.00; pct_top20 median+5MAD -> 31.93",0.0485,top 4.85% of scores (automatic rejected: it called 0.07%),306,5751
Expt1_Red2Kras_mesenchyme,Red2Kras,6791,3943,1824,1.4,6260,4797,4681,"log1p(counts) median+/-5.0MAD -> [500,156066]; log1p(genes) median+/-5.0MAD -> [200,26096] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=3.40 bracketed to [5.0,20.0] -> 5.00; pct_top20 median+5MAD -> 39.25",0.0501,top 5.01% of scores (automatic rejected: it called 0.00%),321,5939
