resolution,subcluster,n_cells,n_supporting_genes,supported,examples
0.2,0,1732,92,True,"['Dnm3', 'Sde2', 'Lamc3', 'Slc25a25', 'Nr4a2', 'D430041D05Rik', 'B4galt5', 'Ptpn1']"
0.2,1,3068,135,True,"['Ankrd44', 'Rftn2', 'Ralb', 'Nckap5', 'Ralgps2', 'Mpzl1', 'Usp6nl', 'Adamtsl2']"
0.2,2,1403,69,True,"['Hecw2', 'Plcl1', 'Igfbp5', 'Ackr3', 'Kcnt2', 'Pla2g4a', 'Ptgs2', 'Olfml2b']"
0.2,3,78,2,True,"['Lxn', 'Ccdc42']"
0.5,0,858,40,True,"['Slc25a25', 'Nr4a2', 'Hps3', 'Nup210l', 'Nr4a3', 'Rnf19b', 'Il6', 'Serpine1']"
0.5,1,1443,73,True,"['Hecw2', 'Plcl1', 'Igfbp5', 'Ackr3', 'Kcnt2', 'Pla2g4a', 'Ptgs2', 'Olfml2b']"
0.5,2,777,141,True,"['Tram2', 'Arid5a', 'Dner', 'Ube2f', 'Ptgs2', 'Suco', 'Adss', 'Hmcn2']"
0.5,3,1802,75,True,"['Ralgps2', 'Usp6nl', 'Fign', 'Lnpk', 'Ccdc141', 'Prr5l', 'Mertk', 'Bcl2l1']"
0.5,4,448,72,True,"['Tram2', 'Hecw2', 'Plcl1', 'Adam23', 'Dner', 'Entpd2', 'Hmcn2', 'Lamc3']"
0.5,5,875,11,True,"['Spats2l', 'Mdk', 'Rem1', 'Nkain4', 'Brinp1', 'St8sia2', 'Adamts15', 'Gm48742']"
0.5,6,78,2,True,"['Lxn', 'Ccdc42']"
1.0,0,526,66,True,"['Arid5a', 'Adamts4', 'Slc25a25', 'Stxbp1', 'Nr4a2', 'Mdk', 'Gabpb1', 'B4galt5']"
1.0,1,480,37,True,"['Phyhd1', 'Rem1', 'Hps3', 'Lxn', 'Gipc2', 'Lyn', 'Smu1', 'Slc31a1']"
1.0,2,477,136,True,"['Il1rl2', 'Tmeff2', 'Hecw2', 'Plcl1', 'Igfbp5', 'Ackr3', 'Cd55', 'Kcnt2']"
1.0,3,439,5,True,"['Ptgs2', 'Lum', 'Ebf1', 'Ccl11', 'Has1']"
1.0,4,327,164,True,"['Tram2', 'Il1rl2', 'Hecw2', 'Plcl1', 'Igfbp5', 'Kcne4', 'Ackr3', 'Gpr39']"
1.0,5,819,191,True,"['Fam126b', 'Plekhm3', 'Cyp27a1', 'Des', 'Dgkd', 'Plekha6', 'Rgs2', 'Swt1']"
1.0,6,470,1,True,['B530045E10Rik']
1.0,7,635,151,True,"['Tram2', 'Arid5a', 'Dner', 'Ube2f', 'Ptgs2', 'Suco', 'Adss', 'Hmcn2']"
1.0,8,431,86,True,"['Tram2', 'Kcnq5', 'Hecw2', 'Plcl1', 'Adam23', 'Dner', 'Plekha6', 'Pla2g4a']"
1.0,9,342,71,True,"['Hecw2', 'Plcl1', 'Kcnt2', 'Olfml2b', 'Entpd2', 'B3galt1', 'Mdk', 'Nkain4']"
1.0,10,292,146,True,"['Ndufs1', 'Cyp27a1', 'Plekha6', 'Rgs2', 'Colgalt2', 'Sdhc', 'Usp6nl', 'Pfkfb3']"
1.0,11,687,12,True,"['Mdk', 'Rem1', 'Nkain4', 'Brinp1', 'St8sia2', 'Adcy7', 'Adamts15', 'Gm48742']"
1.0,12,278,40,True,"['Kcnb2', 'Fign', 'Ccdc141', 'Prr5l', 'Mertk', 'Ralgapb', 'Pag1', 'Hltf']"
1.0,13,78,2,True,"['Lxn', 'Ccdc42']"
