run_accession	experiment_accession	sample_accession	sample_title	submitted_ftp
SRR29997489	SRX25477430	SAMN42826587	WT4 AT2 CD44 neg	
SRR29997491	SRX25477428	SAMN42826589	WT2 AT2 CD44 neg	
SRR29997477	SRX25477442	SAMN42826575	SPC Mut4 AT2 CD44 pos	
SRR29997479	SRX25477440	SAMN42826577	SPC Mut2 AT2 CD44 pos	
SRR29997478	SRX25477441	SAMN42826576	SPC Mut3 AT2 CD44 pos	
SRR29997482	SRX25477437	SAMN42826580	SPC Mut3 AT2 CD44 neg	
SRR29997484	SRX25477435	SAMN42826582	SPC Mut1 AT2 CD44 neg	
SRR29997486	SRX25477433	SAMN42826584	WT3 AT2 CD44 pos	
SRR29997480	SRX25477439	SAMN42826578	SPC Mut1 AT2 CD44 pos	
SRR29997487	SRX25477432	SAMN42826585	WT2 AT2 CD44 pos	
SRR29997488	SRX25477431	SAMN42826586	WT1 AT2 CD44 pos	
SRR29997490	SRX25477429	SAMN42826588	WT3 AT2 CD44 neg	
SRR29997492	SRX25477427	SAMN42826590	WT1 AT2 CD44 neg	
SRR29997481	SRX25477438	SAMN42826579	SPC Mut4 AT2 CD44 neg	
SRR29997483	SRX25477436	SAMN42826581	SPC Mut2 AT2 CD44 neg	
SRR29997485	SRX25477434	SAMN42826583	WT4 AT2 CD44 pos	
