donor,disease,label,cells,recovered_donor_cells,recovered_cell_fraction
VUILD53,IPF,SCGB3A2+,19,1116,0.017025089605734768
VUILD53,IPF,SCGB3A2+ SCGB1A1+,43,1116,0.03853046594982079
VUILD53,IPF,Smooth Muscle Cells,29,1116,0.025985663082437275
VUILD53,IPF,T Cells,4,1116,0.0035842293906810036
VUILD53,IPF,Transitional AT2,1,1116,0.0008960573476702509
VUILD53,IPF,cDCs,6,1116,0.005376344086021506
VUILD53,IPF,pDCs,2,1116,0.0017921146953405018
VUILD59,IPF,AT1,23,15142,0.001518953903051116
VUILD59,IPF,AT2,1838,15142,0.12138422929599789
VUILD59,IPF,B Cells,9,15142,0.0005943732664113062
VUILD59,IPF,Basal,551,15142,0.03638885219918109
VUILD59,IPF,Ciliated,1269,15142,0.08380663056399419
VUILD59,IPF,Differentiating Ciliated,261,15142,0.01723682472592788
VUILD59,IPF,Endothelial Cells,1410,15142,0.09311847840443799
VUILD59,IPF,Fibroblasts,38,15142,0.0025095760137366268
VUILD59,IPF,KRT5-/KRT17+,77,15142,0.005085193501518954
VUILD59,IPF,Lymphatic Endothelial Cells,478,15142,0.03156782459384493
VUILD59,IPF,MUC5AC+ High,14,15142,0.0009245806366398098
VUILD59,IPF,MUC5B+,578,15142,0.038171971998415
VUILD59,IPF,Macrophages,5372,15142,0.35477479857350414
VUILD59,IPF,Mesothelial Cells,32,15142,0.0021133271694624223
VUILD59,IPF,Monocytes,40,15142,0.002641658961828028
VUILD59,IPF,Myofibroblasts,324,15142,0.021397437590807027
VUILD59,IPF,NK Cells,71,15142,0.0046889446572447495
VUILD59,IPF,PLIN2+ Fibroblasts,250,15142,0.016510368511425174
VUILD59,IPF,Plasma Cells,7,15142,0.0004622903183199049
VUILD59,IPF,Proliferating Epithelial Cells,102,15142,0.006736230352661471
VUILD59,IPF,Proliferating Macrophages,497,15142,0.03282261260071325
VUILD59,IPF,Proliferating T Cells,7,15142,0.0004622903183199049
VUILD59,IPF,SCGB3A2+,641,15142,0.04233258486329415
VUILD59,IPF,SCGB3A2+ SCGB1A1+,58,15142,0.0038304054946506406
VUILD59,IPF,Smooth Muscle Cells,290,15142,0.019152027473253203
VUILD59,IPF,T Cells,243,15142,0.01604807819310527
VUILD59,IPF,Transitional AT2,500,15142,0.03302073702285035
VUILD59,IPF,cDCs,154,15142,0.010170387003037908
VUILD59,IPF,pDCs,8,15142,0.0005283317923656056
VUILD60,IPF,AT1,36,8463,0.004253810705423609
VUILD60,IPF,AT2,137,8463,0.01618811296230651
