subcluster,n_cells,n_labelled,labelled_fraction,top_label,purity,label_entropy,entropy_flag,n_samples,max_sample_fraction,dominant_sample
0,772,556,0.72,iMON,0.845,0.651,HIGH,12,0.754,EEM-scRNA-162
1,1684,1223,0.726,iMAC,0.632,0.791,HIGH,33,0.175,EEM-scRNA-167
2,1288,984,0.764,cMON,0.959,0.203,low,33,0.203,EEM-scRNA-166
3,928,715,0.77,pMON,0.98,0.106,low,33,0.093,EEM-scRNA-158
4,693,465,0.671,cDC2,0.699,0.909,HIGH,33,0.091,EEM-scRNA-250
5,689,485,0.704,cDC1,0.93,0.355,low,33,0.083,EEM-scRNA-250
6,147,98,0.667,cDC2,0.276,1.878,HIGH,30,0.102,EEM-scRNA-170
7,164,129,0.787,iMAC,0.256,1.776,HIGH,30,0.091,EEM-scRNA-180
8,97,82,0.845,cDC2,0.988,0.066,low,29,0.113,EEM-scRNA-162
