sub_r0.2,AF1,CAP1,Neutrophil,Plasma_cell,T_lymphocyte,Venous_endothelium,aMAC,cDC1,cDC2,cMON,iMAC,iMON,maDC,pMON
0,0,0,1,0,0,0,0,9,16,40,15,470,5,0
1,0,0,0,1,0,0,0,12,9,6,773,418,1,3
2,0,0,1,0,0,0,0,0,1,944,0,11,0,27
3,1,0,0,0,0,0,0,0,1,12,0,0,0,701
4,0,0,0,0,0,0,0,12,325,4,1,30,92,1
5,0,0,1,0,0,0,2,451,18,1,2,5,5,0
6,0,0,1,0,8,0,0,17,27,6,7,7,2,23
7,0,1,0,0,1,1,0,26,10,23,33,7,0,27
8,0,0,1,0,0,0,0,0,81,0,0,0,0,0
