0,1,2,3,4,5,6,7,8
Isg15,C1qa,Lyz2,Itgal,Bhlhe40,Cst3,Ets1,Adgrf5,Siglech
Irf7,C1qc,Fn1,Gngt2,Lsp1,Wdfy4,Ptprcap,Epas1,Bst2
Oasl2,C1qb,Plac8,Ace,Cd209a,Ckb,Gimap1,Cldn5,Tcf4
Ifit2,Apoe,Ifitm6,Pou2f2,Syngr2,Cd24a,Gimap4,Calcrl,Ccr9
Ifit3,Cd63,S100a6,Adgre4,Etv3,Naaa,Ltb,Sptbn1,Rpl31
Iigp1,Ms4a7,S100a4,Nr4a1,Tnip3,Ptms,Cd2,Slco2a1,Irf8
Ifit1,Selenop,Emilin2,Treml4,H2-DMb2,Jaml,Gimap6,Cdh5,Ly6d
Cxcl10,Timp2,Ccl6,Spn,Rpsa,Arsb,Ablim1,Tspan7,St8sia4
H3f3b,Fth1,Hp,Ptprc,Ifi30,Xcr1,Gimap3,Pecam1,Gm21762
Ifi204,Lgmn,Thbs1,Msn,Avpi1,Septin3,Trbc2,Bmpr2,Ptprcap
