"cohort","compartment","set","omissions","direction_reversals","min_p","max_p","max_FDR_candidate_family","below_floor_omissions","worst_donor"
"GSE136831","AT2","HALLMARK_ALLOGRAFT_REJECTION",13,0,0.177555943710211,0.433600568225814,0.555105153293542,3,"396C"
"GSE136831","AT2","HALLMARK_ANDROGEN_RESPONSE",13,0,0.146240720987157,0.606891934487926,0.606891934487926,3,"022I"
"GSE136831","AT2","HALLMARK_ANGIOGENESIS",13,0,0.0379898521305598,0.350200901289842,0.555105153293542,3,"022I"
"GSE136831","AT2","HALLMARK_COAGULATION",13,0,0.0712255329330529,0.579394063205513,0.651818321106202,3,"158I"
"GSE136831","AT2","HALLMARK_COMPLEMENT",13,0,0.160659792934914,0.652205677124983,0.652205677124983,3,"158I"
"GSE136831","AT2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",13,0,0.131492592173138,0.506235478724746,0.56951491356534,3,"022I"
"GSE136831","AT2","HALLMARK_ESTROGEN_RESPONSE_EARLY",13,0,0.0947339308932116,0.431748452561644,0.555105153293542,3,"022I"
"GSE136831","AT2","HALLMARK_MYOGENESIS",13,0,0.00685969795610805,0.13112774077096,0.495004741391302,3,"158I"
"GSE136831","AT2","HALLMARK_P53_PATHWAY",13,0,0.142687858989515,0.523471136939968,0.584199563876683,3,"225I"
"GSE136831","fibroblasts","GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID",22,0,0.000641877481218613,0.00230237363176437,0.0127469485076837,0,"192C"
"GSE136831","fibroblasts","GOBP_COLLAGEN_FIBRIL_ORGANIZATION",22,0,0.00475145042219991,0.0372221339354752,0.0470174323395476,0,"098C"
"GSE136831","fibroblasts","GOBP_CYTOPLASMIC_TRANSLATION",22,0,0.0345577423917206,0.361380130630578,0.361380130630578,0,"192C"
"GSE136831","fibroblasts","GOBP_DETOXIFICATION",22,0,0.00142895061277166,0.0102763190058916,0.0308289570176748,0,"192C"
"GSE136831","fibroblasts","GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY",22,0,0.000845888526334639,0.00783619257654051,0.0219943603364217,0,"222C"
"GSE136831","fibroblasts","GOBP_FOAM_CELL_DIFFERENTIATION",22,0,0.0014084610056084,0.00989414885009261,0.0215872338547475,0,"1372C"
"GSE136831","fibroblasts","GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM",22,0,9.3895270270438e-05,0.00614337805243039,0.0150127148173015,0,"222C"
"GSE136831","fibroblasts","GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",22,0,0.00216838436377249,0.0153623658395435,0.0352505656568877,0,"222C"
"GSE136831","fibroblasts","GOBP_PLASMINOGEN_ACTIVATION",22,0,0.0220525058081785,0.188408224637264,0.215323685299731,0,"192C"
"GSE136831","fibroblasts","GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION",22,0,0.0543690591408208,0.172464566910502,0.179683127403227,0,"222C"
"GSE136831","fibroblasts","GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE",22,0,0.00572065401055349,0.0231628284546489,0.0370605255274383,0,"192C"
"GSE136831","fibroblasts","GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS",22,0,7.03879624761123e-05,0.000478087903094466,0.00672341538658569,0,"192C"
"GSE136831","fibroblasts","GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",22,0,0.00402457245698812,0.0456656133799793,0.0576828800589213,0,"192C"
"GSE136831","fibroblasts","GOBP_REGULATION_OF_LIPID_STORAGE",22,0,0.00275272087931608,0.0311162444190806,0.0414883258921075,0,"1372C"
"GSE136831","fibroblasts","GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION",22,0,0.000487189211434021,0.00487837087831808,0.0147339019276026,0,"098C"
"GSE136831","fibroblasts","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS",22,0,0.0028722995963862,0.0146877356903699,0.0352505656568877,0,"192C"
"GSE136831","fibroblasts","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",22,0,3.57841980924687e-05,0.000560284615548807,0.00672341538658569,0,"192C"
"GSE136831","fibroblasts","GOBP_ZYMOGEN_ACTIVATION",22,0,0.00424182394270367,0.0247320553779089,0.0370980830668634,0,"192C"
"GSE136831","fibroblasts","HALLMARK_APICAL_JUNCTION",22,0,0.0265555107357919,0.123491003508572,0.128860177574162,0,"098C"
"GSE136831","fibroblasts","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",22,0,0.0296622511659702,0.097897583096605,0.106797363378115,0,"098C"
"GSE136831","fibroblasts","HALLMARK_INFLAMMATORY_RESPONSE",22,0,0.0232195130962659,0.309657675191315,0.323121052373546,0,"192C"
"GSE136831","fibroblasts","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",22,0,0.00187623862549227,0.0193358431118423,0.0370605255274383,0,"192C"
"GSE136831","fibroblasts","HALLMARK_TNFA_SIGNALING_VIA_NFKB",22,0,0.0353103230692763,0.291963538897039,0.31850567879677,0,"192C"
"GSE136831","fibroblasts","HALLMARK_XENOBIOTIC_METABOLISM",22,0,0.000997872805957891,0.0207447488332899,0.0370605255274383,0,"192C"
"GSE136831","macrophages","GOBP_ACTIN_FILAMENT_SEVERING",59,0,0.0130372202491507,0.0249591735000598,0.107112370508945,0,"084C"
"GSE136831","macrophages","GOBP_ACTIN_NUCLEATION",59,0,0.00603638996396909,0.0268651211442058,0.107112370508945,0,"483C"
"GSE136831","macrophages","GOBP_AEROBIC_RESPIRATION",59,0,0.0484648796913581,0.0853769218555099,0.125614670061356,0,"084C"
"GSE136831","macrophages","GOBP_AMINOGLYCAN_CATABOLIC_PROCESS",59,0,0.00703059579202492,0.0204169850086907,0.107112370508945,0,"439C"
"GSE136831","macrophages","GOBP_AMP_METABOLIC_PROCESS",59,0,0.00925656151210508,0.0280943458485881,0.107112370508945,0,"483C"
"GSE136831","macrophages","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN",59,0,0.0570693063930827,0.0957082852899428,0.130561291018496,0,"396C"
"GSE136831","macrophages","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN",59,0,0.0307881436110074,0.0575194407174017,0.112493773438458,0,"084C"
"GSE136831","macrophages","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN",59,0,0.0728128365286027,0.117874539950059,0.14811308905094,0,"396C"
