"cohort","compartment","label","n_IPF","n_control","tested"
"GSE135893","AT2","AT2",8,6,TRUE
"GSE135893","fibroblasts","Fibroblasts",0,1,FALSE
"GSE135893","fibroblasts","HAS1 High Fibroblasts",1,0,FALSE
"GSE135893","fibroblasts","Myofibroblasts",5,1,FALSE
"GSE135893","fibroblasts","PLIN2+ Fibroblasts",2,0,FALSE
"GSE135893","macrophages","Macrophages",12,9,TRUE
"GSE135893","macrophages","Proliferating Macrophages",3,1,FALSE
