"NGenes","Correlation","Direction","PValue","FDR","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","compartment","label","FDR_exploratory_subtype_family"
85,0.0482107255985005,"Up",0.0144878664786077,0.0434635994358231,"HALLMARK_COAGULATION",8,6,12,12888,"voom_TMM",0.0434635994358231,"GSE135893","AT2","AT2",0.230062840079445
24,0.0842097450948278,"Up",0.150820838191703,0.226231257287554,"HALLMARK_ANGIOGENESIS",8,6,12,12888,"voom_TMM",0.226231257287554,"GSE135893","AT2","AT2",0.611662288221905
107,0.012552417988843,"Up",0.00630228054544544,0.0434635994358231,"HALLMARK_MYOGENESIS",8,6,12,12888,"voom_TMM",0.0434635994358231,"GSE135893","AT2","AT2",0.230033239908759
176,0.0169757574887602,"Up",0.0614890210065046,0.138350297264635,"HALLMARK_P53_PATHWAY",8,6,12,12888,"voom_TMM",0.138350297264635,"GSE135893","AT2","AT2",0.408063503043167
91,0.0758622013405708,"Up",0.657365007785238,0.657365007785238,"HALLMARK_ANDROGEN_RESPONSE",8,6,12,12888,"voom_TMM",0.657365007785238,"GSE135893","AT2","AT2",0.952160802367319
159,0.0273273585211623,"Up",0.615611108404632,0.657365007785238,"HALLMARK_ESTROGEN_RESPONSE_EARLY",8,6,12,12888,"voom_TMM",0.657365007785238,"GSE135893","AT2","AT2",0.952160802367319
120,0.0896494077403203,"Up",0.00971654456561846,0.0434635994358231,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",8,6,12,12888,"voom_TMM",0.0434635994358231,"GSE135893","AT2","AT2",0.230062840079445
137,0.0199553945588054,"Up",0.200553099681953,0.257853985305368,"HALLMARK_COMPLEMENT",8,6,12,12888,"voom_TMM",0.257853985305368,"GSE135893","AT2","AT2",0.744425912378775
103,0.0338817914417783,"Up",0.13487145704689,0.226231257287554,"HALLMARK_ALLOGRAFT_REJECTION",8,6,12,12888,"voom_TMM",0.226231257287554,"GSE135893","AT2","AT2",0.579153903789585
178,0.00849812104054434,"Up",0.0278423613661059,0.301017631831972,"HALLMARK_E2F_TARGETS",12,9,19,14017,"voom_TMM",0.301017631831972,"GSE135893","macrophages","Macrophages",0.274678589046674
