"cohort","compartment","set","omissions","direction_reversals","min_p","max_p","max_FDR_candidate_family","below_floor_omissions","worst_donor"
"GSE135893","AT2","HALLMARK_ALLOGRAFT_REJECTION",14,0,0.0764146113865233,0.211239505721252,0.316859258581878,0,"THD0001"
"GSE135893","AT2","HALLMARK_ANDROGEN_RESPONSE",14,0,0.515864526019291,0.852212232637637,0.852212232637637,0,"VUILD53"
"GSE135893","AT2","HALLMARK_ANGIOGENESIS",14,0,0.103534598158741,0.194473839255794,0.316859258581878,0,"THD0001"
"GSE135893","AT2","HALLMARK_COAGULATION",14,0,0.00511392896964889,0.0268926857013416,0.0806780571040248,0,"VUILD61"
"GSE135893","AT2","HALLMARK_COMPLEMENT",14,0,0.111851885626606,0.300044725527074,0.385771789963381,0,"THD0001"
"GSE135893","AT2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",14,0,0.00570609609319402,0.0164147685475925,0.0673366792873661,0,"VUILD59"
"GSE135893","AT2","HALLMARK_ESTROGEN_RESPONSE_EARLY",14,0,0.442722842578196,0.829893583994853,0.845536364113253,0,"VUILD64"
"GSE135893","AT2","HALLMARK_MYOGENESIS",14,0,0.00417847089839881,0.010669800955569,0.0673366792873661,0,"VUHD071"
"GSE135893","AT2","HALLMARK_P53_PATHWAY",14,0,0.034754203942776,0.0923753036136409,0.191898011364713,0,"VUHD071"
"GSE135893","fibroblasts","GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID",10,0,0.0290722725766727,0.0973046594250466,0.703482987734162,3,"VUHD67"
"GSE135893","fibroblasts","GOBP_COLLAGEN_FIBRIL_ORGANIZATION",10,0,0.467845134533051,0.773869334792144,0.985456011234368,3,"VUHD65"
"GSE135893","fibroblasts","GOBP_CYTOPLASMIC_TRANSLATION",10,0,0.251018191353106,0.828550332358761,0.866211711102341,3,"VUHD65"
"GSE135893","fibroblasts","GOBP_DETOXIFICATION",10,0,0.218500929552388,0.789927227850054,0.955385933794522,3,"TILD015"
"GSE135893","fibroblasts","GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY",10,2,0.576145791143013,0.995457936772648,0.995457936772648,3,"VUILD59"
"GSE135893","fibroblasts","GOBP_FOAM_CELL_DIFFERENTIATION",10,1,0.195301999631277,0.938254775078922,0.985456011234368,3,"VUHD67"
"GSE135893","fibroblasts","GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM",10,0,0.282582981995315,0.825926350559287,0.985456011234368,3,"VUHD65"
"GSE135893","fibroblasts","GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",10,0,0.0921591580413075,0.256087966934007,0.805572487537954,3,"VUHD67"
"GSE135893","fibroblasts","GOBP_PLASMINOGEN_ACTIVATION",10,4,0.697492082142732,0.99785555313242,0.99785555313242,3,"VUHD67"
"GSE135893","fibroblasts","GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION",10,0,0.00432855087220319,0.18764403607674,0.703482987734162,3,"VUHD66"
"GSE135893","fibroblasts","GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS",10,0,0.340397155172596,0.74760095258216,0.985456011234368,3,"VUILD53"
"GSE135893","fibroblasts","GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",10,0,0.0109539670623071,0.0304619617859824,0.592897291107785,3,"VUHD66"
"GSE135893","fibroblasts","GOBP_REGULATION_OF_LIPID_STORAGE",10,5,0.527221872863369,0.942610097702439,0.987336363629245,3,"VUHD67"
"GSE135893","fibroblasts","GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION",10,0,0.0981356507206869,0.783783553186052,0.985456011234368,3,"VUHD66"
"GSE135893","fibroblasts","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS",10,1,0.474950276022411,0.961819773623785,0.987336363629245,3,"TILD028"
"GSE135893","fibroblasts","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",10,5,0.654646024090353,0.905626928857914,0.985456011234368,3,"TILD001"
"GSE135893","fibroblasts","GOBP_ZYMOGEN_ACTIVATION",10,2,0.525591403966971,0.982362147652167,0.985456011234368,3,"TILD015"
"GSE135893","fibroblasts","HALLMARK_APICAL_JUNCTION",10,0,0.201396554377072,0.57652348026515,0.985456011234368,3,"VUHD67"
"GSE135893","fibroblasts","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",10,0,0.141635059775936,0.384383566992421,0.847055950623621,3,"VUHD65"
"GSE135893","fibroblasts","HALLMARK_INFLAMMATORY_RESPONSE",10,0,0.115890208165286,0.40419821402127,0.832090123086954,3,"VUHD65"
"GSE135893","fibroblasts","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",10,0,0.0719662953311566,0.367313578344068,0.832090123086954,3,"VUHD65"
"GSE135893","fibroblasts","HALLMARK_TNFA_SIGNALING_VIA_NFKB",10,0,0.081246942035995,0.280199126100158,0.805572487537954,3,"VUHD65"
"GSE135893","fibroblasts","HALLMARK_XENOBIOTIC_METABOLISM",10,0,0.239667797839935,0.556231388884453,0.985456011234368,3,"VUHD66"
"GSE135893","macrophages","GOBP_ACTIN_FILAMENT_SEVERING",21,0,0.251357084094771,0.43105580397189,0.994247049154543,0,"VUILD65"
"GSE135893","macrophages","GOBP_ACTIN_NUCLEATION",21,0,0.0464659059472347,0.151222259963576,0.655604161302511,0,"THD0005"
"GSE135893","macrophages","GOBP_AEROBIC_RESPIRATION",21,2,0.644953226286873,0.981828628989265,0.998854917801185,0,"VUILD59"
"GSE135893","macrophages","GOBP_AMINOGLYCAN_CATABOLIC_PROCESS",21,0,0.276594390265636,0.643374379013583,0.994247049154543,0,"THD0002"
"GSE135893","macrophages","GOBP_AMP_METABOLIC_PROCESS",21,0,0.00522114877323953,0.0716639688751601,0.490089077468837,0,"THD0005"
"GSE135893","macrophages","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN",21,0,0.479290608161843,0.969996716300572,0.997564526532845,0,"THD0001"
"GSE135893","macrophages","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN",21,0,0.328918108577342,0.749495483886055,0.994247049154543,0,"THD0001"
"GSE135893","macrophages","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN",21,2,0.60305072540617,0.981786831948784,0.997314210268041,0,"TILD010"
"GSE135893","macrophages","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II",21,12,0.759997857340504,0.994666271503853,0.998854917801185,0,"TILD006"
"GSE135893","macrophages","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",21,1,0.519899702682467,0.959895562183191,0.996144076226255,0,"VUHD66"
"GSE135893","macrophages","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",21,9,0.708499016883676,0.990391444162501,0.998854917801185,0,"VUILD61"
