"compartment","set","NGenes","Correlation","Direction","PValue","FDR","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","frozen_candidate","FDR_global","eligible","not_tested_reason"
"fibroblasts","HALLMARK_APICAL_JUNCTION",121,0.010297647309301,"Up",0.450369157261687,0.799293302199632,7,3,8,10280,"voom_TMM",0.799293302199632,"GSE135893",TRUE,0.831526932534085,TRUE,""
"fibroblasts","GOBP_CYTOPLASMIC_TRANSLATION",150,0.287677193918803,"Down",0.449931057617397,0.799293302199632,7,3,8,10280,"voom_TMM",0.799293302199632,"GSE135893",TRUE,0.831526932534085,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION",17,0.0991415215861038,"Down",0.451774475156314,0.799293302199632,7,3,8,10280,"voom_TMM",0.799293302199632,"GSE135893",TRUE,0.831526932534085,TRUE,""
"fibroblasts","GOBP_FOAM_CELL_DIFFERENTIATION",22,0.0433210754631935,"Down",0.709191856142779,0.959494864193172,7,3,8,10280,"voom_TMM",0.959494864193172,"GSE135893",TRUE,0.940704731361216,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",16,0.000429435934027496,"Up",0.0102993741868426,0.236885606297379,7,3,8,10280,"voom_TMM",0.236885606297379,"GSE135893",TRUE,0.291653744849021,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_LIPID_STORAGE",32,0.0261505458362269,"Up",0.931768336670415,0.971821522370965,7,3,8,10280,"voom_TMM",0.971821522370965,"GSE135893",TRUE,1,TRUE,""
"fibroblasts","GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY",23,0.0715814220187118,"Down",0.908344830591552,0.971821522370965,7,3,8,10280,"voom_TMM",0.971821522370965,"GSE135893",TRUE,1,TRUE,""
"fibroblasts","GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM",42,0.0392277759714897,"Up",0.57321684367305,0.872708535192683,7,3,8,10280,"voom_TMM",0.872708535192683,"GSE135893",TRUE,0.893233609159232,TRUE,""
"fibroblasts","GOBP_COLLAGEN_FIBRIL_ORGANIZATION",51,0.0875014662741019,"Down",0.607101589699258,0.872708535192683,7,3,8,10280,"voom_TMM",0.872708535192683,"GSE135893",TRUE,0.909371669445764,TRUE,""
"fibroblasts","GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS",24,0.0638157651564992,"Up",0.544398673280206,0.872708535192683,7,3,8,10280,"voom_TMM",0.872708535192683,"GSE135893",TRUE,0.8863927116229,TRUE,""
