"compartment","set","NGenes","Direction","PValue","FDR","Correlation","correlation_setting","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","frozen_candidate","FDR_global","eligible","not_tested_reason"
"AT2","HALLMARK_COAGULATION",72,"Up",6.18135248978373e-05,0.0387941682258827,0.01,"fixed_0.01",3,10,11,11555,"voom_TMM",0.0387941682258827,"GSE136831",TRUE,0.00404344397124927,TRUE,""
"AT2","HALLMARK_ANGIOGENESIS",22,"Up",0.0103492033085515,0.999078347605805,0.01,"fixed_0.01",3,10,11,11555,"voom_TMM",0.999078347605805,"GSE136831",TRUE,0.17717367925803,TRUE,""
"AT2","HALLMARK_MYOGENESIS",89,"Up",0.00636248208391211,0.99827343896581,0.01,"fixed_0.01",3,10,11,11555,"voom_TMM",0.99827343896581,"GSE136831",TRUE,0.131429283904906,TRUE,""
"AT2","HALLMARK_P53_PATHWAY",161,"Up",0.0412007985060544,0.999078347605805,0.01,"fixed_0.01",3,10,11,11555,"voom_TMM",0.999078347605805,"GSE136831",TRUE,0.352155273194722,TRUE,""
"AT2","HALLMARK_ANDROGEN_RESPONSE",90,"Up",0.0679925265012104,0.999078347605805,0.01,"fixed_0.01",3,10,11,11555,"voom_TMM",0.999078347605805,"GSE136831",TRUE,0.437738033616845,TRUE,""
"AT2","HALLMARK_ESTROGEN_RESPONSE_EARLY",143,"Up",0.231725317990139,0.999078347605805,0.01,"fixed_0.01",3,10,11,11555,"voom_TMM",0.999078347605805,"GSE136831",TRUE,0.69347449724414,TRUE,""
"AT2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",100,"Up",0.00513338057683502,0.894919347228238,0.01,"fixed_0.01",3,10,11,11555,"voom_TMM",0.894919347228238,"GSE136831",TRUE,0.118773873302884,TRUE,""
"AT2","HALLMARK_COMPLEMENT",133,"Up",0.123938787088391,0.999078347605805,0.01,"fixed_0.01",3,10,11,11555,"voom_TMM",0.999078347605805,"GSE136831",TRUE,0.55207201629915,TRUE,""
"AT2","HALLMARK_ALLOGRAFT_REJECTION",96,"Up",0.0564083776702337,0.999078347605805,0.01,"fixed_0.01",3,10,11,11555,"voom_TMM",0.999078347605805,"GSE136831",TRUE,0.400911856587167,TRUE,""
"fibroblasts","HALLMARK_TNFA_SIGNALING_VIA_NFKB",183,"Down",2.96939956992218e-08,5.2826705926034e-05,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",5.2826705926034e-05,"GSE136831",TRUE,6.44910173781221e-06,TRUE,""
"fibroblasts","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",45,"Down",5.86432248024532e-05,0.0161114517575917,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0161114517575917,"GSE136831",TRUE,0.0039331788179215,TRUE,""
"fibroblasts","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",190,"Up",1.12022244273967e-05,0.00618451046104999,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.00618451046104999,"GSE136831",TRUE,0.0010322606283228,TRUE,""
"fibroblasts","HALLMARK_INFLAMMATORY_RESPONSE",144,"Down",0.000291580688564478,0.0402576921447863,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0402576921447863,"GSE136831",TRUE,0.0138519046627344,TRUE,""
"fibroblasts","HALLMARK_XENOBIOTIC_METABOLISM",147,"Down",0.000307665618664285,0.0402576921447863,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0402576921447863,"GSE136831",TRUE,0.0143626985065437,TRUE,""
"fibroblasts","HALLMARK_APICAL_JUNCTION",155,"Up",0.0370000879602525,0.399035306014989,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.399035306014989,"GSE136831",TRUE,0.333409806220065,TRUE,""
"fibroblasts","GOBP_CYTOPLASMIC_TRANSLATION",151,"Down",2.98203251064262e-08,5.2826705926034e-05,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",5.2826705926034e-05,"GSE136831",TRUE,6.44910173781221e-06,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION",23,"Down",3.23740388707125e-06,0.00382337399063115,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.00382337399063115,"GSE136831",TRUE,0.000364965627566958,TRUE,""
"fibroblasts","GOBP_FOAM_CELL_DIFFERENTIATION",31,"Down",4.19290628096079e-05,0.0135049699576764,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0135049699576764,"GSE136831",TRUE,0.0029621485239561,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",25,"Down",0.00178891213108032,0.107425689498603,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.107425689498603,"GSE136831",TRUE,0.0541631481515948,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_LIPID_STORAGE",40,"Down",7.49549219480593e-05,0.0177043525641316,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0177043525641316,"GSE136831",TRUE,0.00475176851105766,TRUE,""
"fibroblasts","GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY",30,"Up",6.36636535721941e-05,0.0161114517575917,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0161114517575917,"GSE136831",TRUE,0.0041389186313162,TRUE,""
"fibroblasts","GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM",52,"Up",1.6250149887382e-05,0.00719678513137432,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.00719678513137432,"GSE136831",TRUE,0.00136668919330625,TRUE,""
"fibroblasts","GOBP_COLLAGEN_FIBRIL_ORGANIZATION",61,"Up",2.78369559821483e-05,0.00986263350447514,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.00986263350447514,"GSE136831",TRUE,0.00210705873244875,TRUE,""
"fibroblasts","GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS",29,"Down",2.48149570034093e-05,0.0097688214070088,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0097688214070088,"GSE136831",TRUE,0.00191944598076736,TRUE,""
"fibroblasts","GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",30,"Down",0.00596338749751279,0.216372518504565,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.216372518504565,"GSE136831",TRUE,0.126895617090649,TRUE,""
"fibroblasts","GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID",22,"Down",0.000299539341035236,0.0402576921447863,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0402576921447863,"GSE136831",TRUE,0.0140452141457982,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS",25,"Down",0.00313546432945241,0.154290973878471,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.154290973878471,"GSE136831",TRUE,0.0820407790103881,TRUE,""
"fibroblasts","GOBP_ZYMOGEN_ACTIVATION",40,"Down",9.4928063522624e-06,0.00618451046104999,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.00618451046104999,"GSE136831",TRUE,0.000922892375366281,TRUE,""
"fibroblasts","GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE",17,"Down",0.000428500909498268,0.0506059574117454,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0506059574117454,"GSE136831",TRUE,0.0193226559061836,TRUE,""
"fibroblasts","GOBP_PLASMINOGEN_ACTIVATION",16,"Down",0.000627966364367927,0.0700403656272821,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0700403656272821,"GSE136831",TRUE,0.0263026069691973,TRUE,""
"fibroblasts","GOBP_DETOXIFICATION",105,"Down",9.52535028637605e-05,0.021092697540394,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.021092697540394,"GSE136831",TRUE,0.00582712215262349,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",103,"Down",0.00023917211236461,0.0385175815503551,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.0385175815503551,"GSE136831",TRUE,0.0118990933085811,TRUE,""
"fibroblasts","GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION",30,"Up",0.0422478510310417,0.422713659472773,0.01,"fixed_0.01",18,4,20,15656,"voom_TMM",0.422713659472773,"GSE136831",TRUE,0.35503606453287,TRUE,""
"macrophages","HALLMARK_E2F_TARGETS",196,"Up",5.32694594570189e-28,2.08603203233686e-24,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",2.08603203233686e-24,"GSE136831",TRUE,5.6449646186603e-24,TRUE,""
"macrophages","HALLMARK_MYC_TARGETS_V1",190,"Up",2.78444624108018e-24,5.45194574003499e-21,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",5.45194574003499e-21,"GSE136831",TRUE,1.47533884083633e-20,TRUE,""
"macrophages","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,"Up",7.65389614903233e-17,7.49316432990265e-14,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",7.49316432990265e-14,"GSE136831",TRUE,2.02770843728239e-13,TRUE,""
"macrophages","HALLMARK_MYC_TARGETS_V2",56,"Up",3.30497630035385e-13,8.08892949511606e-11,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",8.08892949511606e-11,"GSE136831",TRUE,2.18892711592811e-10,TRUE,""
"macrophages","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",186,"Up",8.66471167192655e-06,0.000326259720262158,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",0.000326259720262158,"GSE136831",TRUE,0.000858130369975754,TRUE,""
"macrophages","HALLMARK_G2M_CHECKPOINT",195,"Up",6.2047514695345e-12,9.34531029026812e-10,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",9.34531029026812e-10,"GSE136831",TRUE,2.52891351240989e-09,TRUE,""
"macrophages","HALLMARK_COAGULATION",123,"Up",2.19169498810449e-05,0.000697778664505463,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",0.000697778664505463,"GSE136831",TRUE,0.00174627005931905,TRUE,""
"macrophages","HALLMARK_DNA_REPAIR",143,"Up",5.35539354952862e-08,3.81304020726438e-06,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",3.81304020726438e-06,"GSE136831",TRUE,9.95633428848329e-06,TRUE,""
"macrophages","HALLMARK_MTORC1_SIGNALING",193,"Up",1.3585519409309e-09,1.29758278065498e-07,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",1.29758278065498e-07,"GSE136831",TRUE,3.51135973610848e-07,TRUE,""
"macrophages","HALLMARK_CHOLESTEROL_HOMEOSTASIS",71,"Up",6.09617338172624e-06,0.000251290683819368,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",0.000251290683819368,"GSE136831",TRUE,0.000659195401287275,TRUE,""
"macrophages","HALLMARK_GLYCOLYSIS",180,"Up",8.92335701521067e-07,4.59787711467961e-05,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",4.59787711467961e-05,"GSE136831",TRUE,0.000121231813192548,TRUE,""
"macrophages","HALLMARK_ESTROGEN_RESPONSE_LATE",181,"Up",0.000167777402717923,0.00379778213319877,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",0.00379778213319877,"GSE136831",TRUE,0.00888968568300917,TRUE,""
"macrophages","HALLMARK_ADIPOGENESIS",192,"Up",3.23423267775359e-06,0.000139178628198715,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",0.000139178628198715,"GSE136831",TRUE,0.000364965627566958,TRUE,""
"macrophages","HALLMARK_FATTY_ACID_METABOLISM",143,"Up",2.919685016814e-06,0.00012703873917604,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",0.00012703873917604,"GSE136831",TRUE,0.000336303283947587,TRUE,""
"macrophages","HALLMARK_ANGIOGENESIS",31,"Up",0.00717726411099731,0.0674008783181427,0.01,"fixed_0.01",32,27,57,24761,"voom_TMM",0.0674008783181427,"GSE136831",TRUE,0.14006900144427,TRUE,""
