"compartment","set","NGenes","Correlation","Direction","PValue","FDR","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","frozen_candidate","FDR_global","eligible","not_tested_reason"
"AT2","HALLMARK_COAGULATION",72,0.138255708325833,"Up",0.13884054929149,0.999964227244302,3,10,11,11555,"voom_TMM",0.999964227244302,"GSE136831",TRUE,0.98466876614658,TRUE,""
"AT2","HALLMARK_ANGIOGENESIS",22,0.0713375498225911,"Up",0.101756633131761,0.999964227244302,3,10,11,11555,"voom_TMM",0.999964227244302,"GSE136831",TRUE,0.98466876614658,TRUE,""
"AT2","HALLMARK_MYOGENESIS",89,0.0106360421629204,"Up",0.0210512944640644,0.999964227244302,3,10,11,11555,"voom_TMM",0.999964227244302,"GSE136831",TRUE,0.98466876614658,TRUE,""
"AT2","HALLMARK_P53_PATHWAY",161,0.0583911090663793,"Up",0.327027332980488,0.999964227244302,3,10,11,11555,"voom_TMM",0.999964227244302,"GSE136831",TRUE,0.995792328488876,TRUE,""
"AT2","HALLMARK_ANDROGEN_RESPONSE",90,0.0353838210781366,"Up",0.243180308683581,0.999964227244302,3,10,11,11555,"voom_TMM",0.999964227244302,"GSE136831",TRUE,0.985010367951267,TRUE,""
"AT2","HALLMARK_ESTROGEN_RESPONSE_EARLY",143,0.00956314887774533,"Up",0.251073586994525,0.999964227244302,3,10,11,11555,"voom_TMM",0.999964227244302,"GSE136831",TRUE,0.987296879796168,TRUE,""
"AT2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",100,0.120923816386962,"Up",0.295499778151155,0.999964227244302,3,10,11,11555,"voom_TMM",0.999964227244302,"GSE136831",TRUE,0.991237778555926,TRUE,""
"AT2","HALLMARK_COMPLEMENT",133,0.035359713765628,"Up",0.345401048286002,0.999964227244302,3,10,11,11555,"voom_TMM",0.999964227244302,"GSE136831",TRUE,0.996828503415802,TRUE,""
"AT2","HALLMARK_ALLOGRAFT_REJECTION",96,0.0529480148212652,"Up",0.300442486029117,0.999964227244302,3,10,11,11555,"voom_TMM",0.999964227244302,"GSE136831",TRUE,0.991237778555926,TRUE,""
"fibroblasts","HALLMARK_TNFA_SIGNALING_VIA_NFKB",183,0.17499739772248,"Down",0.1191611054173,0.809974608685031,18,4,20,15656,"voom_TMM",0.809974608685031,"GSE136831",TRUE,0.98466876614658,TRUE,""
"fibroblasts","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",45,0.0380979961286605,"Down",0.00792398955364934,0.561493899771592,18,4,20,15656,"voom_TMM",0.561493899771592,"GSE136831",TRUE,0.98466876614658,TRUE,""
"fibroblasts","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",190,0.0652363420367812,"Up",0.0537727053230195,0.791228922704295,18,4,20,15656,"voom_TMM",0.791228922704295,"GSE136831",TRUE,0.98466876614658,TRUE,""
"fibroblasts","HALLMARK_INFLAMMATORY_RESPONSE",144,0.062260673088748,"Down",0.087375601384057,0.809974608685031,18,4,20,15656,"voom_TMM",0.809974608685031,"GSE136831",TRUE,0.98466876614658,TRUE,""
"fibroblasts","HALLMARK_XENOBIOTIC_METABOLISM",147,0.0204526368355495,"Down",0.0101707411467458,0.600582264715337,18,4,20,15656,"voom_TMM",0.600582264715337,"GSE136831",TRUE,0.98466876614658,TRUE,""
"fibroblasts","HALLMARK_APICAL_JUNCTION",155,0.010773257967317,"Up",0.0548997538616892,0.791228922704295,18,4,20,15656,"voom_TMM",0.791228922704295,"GSE136831",TRUE,0.98466876614658,TRUE,""
"fibroblasts","GOBP_CYTOPLASMIC_TRANSLATION",151,0.208621852124612,"Down",0.137860961337576,0.809974608685031,18,4,20,15656,"voom_TMM",0.809974608685031,"GSE136831",TRUE,0.98466876614658,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION",23,0.0486272283015335,"Down",0.00189021891519887,0.396368174930692,18,4,20,15656,"voom_TMM",0.396368174930692,"GSE136831",TRUE,0.98466876614658,TRUE,""
"fibroblasts","GOBP_FOAM_CELL_DIFFERENTIATION",31,0.0366872721625662,"Down",0.00425101502079602,0.471552017674611,18,4,20,15656,"voom_TMM",0.471552017674611,"GSE136831",TRUE,0.98466876614658,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",25,0.027763434129163,"Down",0.0139258098980346,0.634625236679093,18,4,20,15656,"voom_TMM",0.634625236679093,"GSE136831",TRUE,0.98466876614658,TRUE,""
