cohort,compartment,label,n_IPF,n_control,mean_cell_fraction_IPF,mean_cell_fraction_control,delta_cell_fraction
GSE136831,AT2,ATII,3,10,1.0,1.0,0.0
GSE136831,fibroblasts,Fibroblast,18,4,0.426824224801214,0.8580726243032162,-0.43124839950200217
GSE136831,fibroblasts,Myofibroblast,18,4,0.573175775198786,0.14192737569678376,0.4312483995020023
GSE136831,macrophages,Macrophage,32,27,0.7013799320096168,0.6064967891694679,0.09488314284014887
GSE136831,macrophages,Macrophage_Alveolar,32,27,0.29862006799038326,0.3935032108305321,-0.09488314284014882
GSE135893,AT2,AT2,8,6,1.0,1.0,0.0
GSE135893,fibroblasts,Fibroblasts,7,3,0.11227771104305873,0.42027834505710615,-0.3080006340140474
GSE135893,fibroblasts,HAS1 High Fibroblasts,7,3,0.023920887344647868,0.0,0.023920887344647868
GSE135893,fibroblasts,Myofibroblasts,7,3,0.567071261117798,0.5680257485101453,-0.0009544873923472696
GSE135893,fibroblasts,PLIN2+ Fibroblasts,7,3,0.29673014049449536,0.011695906432748537,0.2850342340617468
GSE135893,macrophages,Macrophages,12,9,0.9622840302925049,0.9788567067026346,-0.016572676410129716
GSE135893,macrophages,Proliferating Macrophages,12,9,0.03771596970749513,0.02114329329736529,0.016572676410129838
