"NGenes","Correlation","Direction","PValue","FDR","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","compartment","label","FDR_exploratory_subtype_family"
34,0.0544889048124178,"Down",0.0636422416031988,0.104555111205255,"GOBP_ZYMOGEN_ACTIVATION",10,4,12,11289,"voom_TMM",0.104555111205255,"GSE136831","fibroblasts","Fibroblast",0.109989494918049
16,0.149829902903085,"Down",0.239798154986063,0.275767878233973,"GOBP_PLASMINOGEN_ACTIVATION",10,4,12,11289,"voom_TMM",0.275767878233973,"GSE136831","fibroblasts","Fibroblast",0.253239755601874
90,0.0316993050305742,"Down",0.0242905393054822,0.0628807991406506,"GOBP_DETOXIFICATION",10,4,12,11289,"voom_TMM",0.0628807991406506,"GSE136831","fibroblasts","Fibroblast",0.0724104051448237
89,0.0107069215810397,"Down",0.0241213205554449,0.0628807991406506,"GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",10,4,12,11289,"voom_TMM",0.0628807991406506,"GSE136831","fibroblasts","Fibroblast",0.0724104051448237
27,0.0279326945995541,"Up",0.108532911048988,0.138680941895929,"GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION",10,4,12,11289,"voom_TMM",0.138680941895929,"GSE136831","fibroblasts","Fibroblast",0.14082369450158
196,0.0907382046622068,"Up",0.00148188231405388,0.0560009918337446,"HALLMARK_E2F_TARGETS",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
190,0.30205215228317,"Up",0.0584455917517107,0.101927490917788,"HALLMARK_MYC_TARGETS_V1",32,27,57,23065,"voom_TMM",0.101927490917788,"GSE136831","macrophages","Macrophage",0.105591496997816
192,0.374633144399205,"Up",0.117044312046999,0.146305390058748,"HALLMARK_OXIDATIVE_PHOSPHORYLATION",32,27,57,23065,"voom_TMM",0.146305390058748,"GSE136831","macrophages","Macrophage",0.147742825254589
56,0.254612890762325,"Up",0.028084992976019,0.0813922017114734,"HALLMARK_MYC_TARGETS_V2",32,27,57,23065,"voom_TMM",0.0813922017114734,"GSE136831","macrophages","Macrophage",0.076235820750775
180,0.0783555318464096,"Up",0.0866520250604448,0.120654718438594,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",32,27,57,23065,"voom_TMM",0.120654718438594,"GSE136831","macrophages","Macrophage",0.124430194522773
194,0.0495791724913225,"Up",0.0324198765084184,0.0839735854546887,"HALLMARK_G2M_CHECKPOINT",32,27,57,23065,"voom_TMM",0.0839735854546887,"GSE136831","macrophages","Macrophage",0.0779341059096717
