"compartment","set","NGenes","Direction","PValue","FDR","Correlation","correlation_setting","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","frozen_candidate","FDR_global","eligible","not_tested_reason"
"AT2","HALLMARK_COAGULATION",85,"Up",2.33413132982369e-06,1.05035909842066e-05,0.01,"fixed_0.01",8,6,12,12888,"voom_TMM",1.05035909842066e-05,"GSE135893",TRUE,5.92869357775218e-05,TRUE,""
"AT2","HALLMARK_ANGIOGENESIS",24,"Up",0.0177930194103496,0.0266895291155245,0.01,"fixed_0.01",8,6,12,12888,"voom_TMM",0.0266895291155245,"GSE135893",TRUE,0.0821713987314329,TRUE,""
"AT2","HALLMARK_MYOGENESIS",107,"Up",0.000445108678140813,0.00133532603442244,0.01,"fixed_0.01",8,6,12,12888,"voom_TMM",0.00133532603442244,"GSE135893",TRUE,0.00513898201126212,TRUE,""
"AT2","HALLMARK_P53_PATHWAY",176,"Up",0.0132784703983375,0.0266895291155245,0.01,"fixed_0.01",8,6,12,12888,"voom_TMM",0.0266895291155245,"GSE135893",TRUE,0.0648602207918794,TRUE,""
"AT2","HALLMARK_ANDROGEN_RESPONSE",91,"Up",0.356632892968265,0.401212004589298,0.01,"fixed_0.01",8,6,12,12888,"voom_TMM",0.401212004589298,"GSE135893",TRUE,0.534683053030211,TRUE,""
"AT2","HALLMARK_ESTROGEN_RESPONSE_EARLY",159,"Up",0.459874499955866,0.459874499955866,0.01,"fixed_0.01",8,6,12,12888,"voom_TMM",0.459874499955866,"GSE135893",TRUE,0.608375640566615,TRUE,""
"AT2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",120,"Up",1.58278637422624e-12,1.42450773680361e-11,0.01,"fixed_0.01",8,6,12,12888,"voom_TMM",1.42450773680361e-11,"GSE135893",TRUE,4.02027739053464e-10,TRUE,""
"AT2","HALLMARK_COMPLEMENT",137,"Up",0.0895900728791231,0.115187236558873,0.01,"fixed_0.01",8,6,12,12888,"voom_TMM",0.115187236558873,"GSE135893",TRUE,0.244196225764662,TRUE,""
"AT2","HALLMARK_ALLOGRAFT_REJECTION",103,"Up",0.0173962854816543,0.0266895291155245,0.01,"fixed_0.01",8,6,12,12888,"voom_TMM",0.0266895291155245,"GSE135893",TRUE,0.0818269724507445,TRUE,""
"fibroblasts","HALLMARK_TNFA_SIGNALING_VIA_NFKB",166,"Up",5.76408065149184e-12,1.32573854984312e-10,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",1.32573854984312e-10,"GSE135893",TRUE,7.32038242739463e-10,TRUE,""
"fibroblasts","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",42,"Down",0.0416671542555697,0.106482727542012,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.106482727542012,"GSE135893",TRUE,0.137447495856035,TRUE,""
"fibroblasts","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",174,"Up",0.0399592949670352,0.106482727542012,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.106482727542012,"GSE135893",TRUE,0.136621132138711,TRUE,""
"fibroblasts","HALLMARK_INFLAMMATORY_RESPONSE",105,"Up",0.000946797168263753,0.00725877829002211,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.00725877829002211,"GSE135893",TRUE,0.00890690669403679,TRUE,""
"fibroblasts","HALLMARK_XENOBIOTIC_METABOLISM",134,"Down",0.357858736280063,0.608146513285518,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.608146513285518,"GSE135893",TRUE,0.534683053030211,TRUE,""
"fibroblasts","HALLMARK_APICAL_JUNCTION",121,"Up",0.423788268596692,0.6105928719429,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.6105928719429,"GSE135893",TRUE,0.576947089415473,TRUE,""
"fibroblasts","GOBP_CYTOPLASMIC_TRANSLATION",150,"Down",0.000888735711565466,0.00725877829002211,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.00725877829002211,"GSE135893",TRUE,0.00868226425913955,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION",17,"Down",0.237798898784702,0.514977982384579,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.514977982384579,"GSE135893",TRUE,0.447414224380105,TRUE,""
"fibroblasts","GOBP_FOAM_CELL_DIFFERENTIATION",22,"Down",0.627385631362765,0.848815854196682,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.848815854196682,"GSE135893",TRUE,0.762468662038958,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",16,"Up",0.00180921475912512,0.0104029848649694,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.0104029848649694,"GSE135893",TRUE,0.0139254711762964,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_LIPID_STORAGE",32,"Up",0.917299465054461,0.95899489528421,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.95899489528421,"GSE135893",TRUE,0.991464102654609,TRUE,""
"fibroblasts","GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY",23,"Down",0.863018485475738,0.95899489528421,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.95899489528421,"GSE135893",TRUE,0.944856445305335,TRUE,""
"fibroblasts","GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM",42,"Up",0.424760258742887,0.6105928719429,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.6105928719429,"GSE135893",TRUE,0.576947089415473,TRUE,""
"fibroblasts","GOBP_COLLAGEN_FIBRIL_ORGANIZATION",51,"Down",0.311654873942103,0.597338508389031,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.597338508389031,"GSE135893",TRUE,0.502899133272092,TRUE,""
"fibroblasts","GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS",24,"Up",0.37017613852162,0.608146513285518,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.608146513285518,"GSE135893",TRUE,0.543495602222494,TRUE,""
"fibroblasts","GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",26,"Down",0.0403408854740289,0.106482727542012,0.01,"fixed_0.01",7,3,8,10280,"voom_TMM",0.106482727542012,"GSE135893",TRUE,0.136621132138711,TRUE,""
