"NGenes","Correlation","Direction","PValue","FDR","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","specification"
198,0.148366089926229,"Up",0.0411638880821704,0.926485900511208,"HALLMARK_E2F_TARGETS",12,3,13,12410,"voom_TMM",0.926485900511208,"all_unadjusted"
189,0.0848201244277328,"Up",0.0436130311183304,0.926485900511208,"HALLMARK_G2M_CHECKPOINT",12,3,13,12410,"voom_TMM",0.926485900511208,"all_unadjusted"
38,0.105825259466866,"Up",0.0143504162343967,0.926485900511208,"GOBP_CELL_CYCLE_DNA_REPLICATION",12,3,13,12410,"voom_TMM",0.926485900511208,"all_unadjusted"
16,0.2360815424209,"Up",0.057828238330853,0.926485900511208,"GOBP_MITOTIC_DNA_REPLICATION",12,3,13,12410,"voom_TMM",0.926485900511208,"all_unadjusted"
198,0.146400863166905,"Up",0.221745747359283,0.998592224535951,"HALLMARK_E2F_TARGETS",12,3,9,12410,"voom_TMM",0.998592224535951,"all_adjusted"
189,0.0826194254416565,"Up",0.243221636066478,0.998592224535951,"HALLMARK_G2M_CHECKPOINT",12,3,9,12410,"voom_TMM",0.998592224535951,"all_adjusted"
38,0.0889069988646185,"Up",0.111508126971031,0.998592224535951,"GOBP_CELL_CYCLE_DNA_REPLICATION",12,3,9,12410,"voom_TMM",0.998592224535951,"all_adjusted"
16,0.156241215613017,"Up",0.296691508299667,0.998592224535951,"GOBP_MITOTIC_DNA_REPLICATION",12,3,9,12410,"voom_TMM",0.998592224535951,"all_adjusted"
198,0.164392660472491,"Up",0.308712213190505,0.999606327102418,"HALLMARK_E2F_TARGETS",8,3,6,12379,"voom_TMM",0.999606327102418,"heterozygote_adjusted"
189,0.101039660903195,"Up",0.312453576508922,0.999606327102418,"HALLMARK_G2M_CHECKPOINT",8,3,6,12379,"voom_TMM",0.999606327102418,"heterozygote_adjusted"
38,0.0945631558284736,"Up",0.153101080307908,0.999606327102418,"GOBP_CELL_CYCLE_DNA_REPLICATION",8,3,6,12379,"voom_TMM",0.999606327102418,"heterozygote_adjusted"
16,0.181869028845972,"Up",0.347612981585768,0.999606327102418,"GOBP_MITOTIC_DNA_REPLICATION",8,3,6,12379,"voom_TMM",0.999606327102418,"heterozygote_adjusted"
182,0.155207092716686,"Up",0.188097236521454,0.996438544769172,"HALLMARK_E2F_TARGETS",3,3,3,11000,"voom_TMM",0.996438544769172,"december_heterozygote"
175,0.0969109847380137,"Up",0.26082638405553,0.996438544769172,"HALLMARK_G2M_CHECKPOINT",3,3,3,11000,"voom_TMM",0.996438544769172,"december_heterozygote"
34,0.0957952252866708,"Up",0.134370943795664,0.996438544769172,"GOBP_CELL_CYCLE_DNA_REPLICATION",3,3,3,11000,"voom_TMM",0.996438544769172,"december_heterozygote"
16,0.207092690232704,"Up",0.184378629908871,0.996438544769172,"GOBP_MITOTIC_DNA_REPLICATION",3,3,3,11000,"voom_TMM",0.996438544769172,"december_heterozygote"
