disease,label,gene,donors,mean_of_donor_expression,mean_of_donor_detection,cohort
IPF,ATII,ACKR1,3,0.08710490021769464,0.024287978728843865,GSE136831
IPF,ATII,ACKR2,3,0.0,0.0,GSE136831
IPF,ATII,ACKR3,3,0.012801360016488133,0.0062893081761006,GSE136831
IPF,ATII,ACKR4,3,0.0,0.0,GSE136831
IPF,ATII,ACVR1,3,0.33995128303195205,0.1534974689369535,GSE136831
IPF,ATII,ACVR1B,3,0.3612522336427797,0.15801503298051844,GSE136831
IPF,ATII,ACVR1C,3,0.058615500028025735,0.043155903257145765,GSE136831
IPF,ATII,ACVRL1,3,0.0,0.0,GSE136831
IPF,ATII,ADGRA2,3,0.0687099599386374,0.034156567980774134,GSE136831
IPF,ATII,ADRA2A,3,0.0,0.0,GSE136831
IPF,ATII,ADRB2,3,0.2144602705412936,0.12525694124865774,GSE136831
IPF,ATII,ANTXR1,3,0.27548327912372866,0.11847164698062074,GSE136831
IPF,ATII,APCDD1,3,0.009009450459088434,0.005420054200542,GSE136831
IPF,ATII,AREG,3,4.03775870461232,0.5777240885616404,GSE136831
IPF,ATII,ATP6AP2,3,0.4582825941628001,0.16765863885053942,GSE136831
IPF,ATII,AVPR1A,3,0.0,0.0,GSE136831
IPF,ATII,CASP1,3,0.12262513632572263,0.04637469959605253,GSE136831
IPF,ATII,CAV1,3,0.267479997663378,0.1298077414736411,GSE136831
IPF,ATII,CCL2,3,0.29516321398985956,0.10454824359564342,GSE136831
IPF,ATII,CCR1,3,0.0,0.0,GSE136831
IPF,ATII,CCR10,3,0.0,0.0,GSE136831
IPF,ATII,CCR2,3,0.0,0.0,GSE136831
IPF,ATII,CCR3,3,0.0,0.0,GSE136831
IPF,ATII,CCR4,3,0.0,0.0,GSE136831
IPF,ATII,CCR5,3,0.0,0.0,GSE136831
IPF,ATII,CD36,3,1.70913399136359,0.3034412230914762,GSE136831
IPF,ATII,CD4,3,0.021262028992902735,0.0062893081761006,GSE136831
IPF,ATII,CD44,3,4.293812886786455,0.6297566088868436,GSE136831
IPF,ATII,CD82,3,0.14917497874743235,0.06805491639822057,GSE136831
IPF,ATII,CD9,3,4.841647692260698,0.636385948765148,GSE136831
IPF,ATII,CSF1,3,0.05295380946663173,0.029109781663854334,GSE136831
IPF,ATII,CSF1R,3,0.0,0.0,GSE136831
IPF,ATII,CXCL1,3,1.5448411316973314,0.16838216495372496,GSE136831
IPF,ATII,CXCL12,3,0.009561125229706034,0.0062893081761006,GSE136831
IPF,ATII,CXCL2,3,16.659233914895797,0.8409341923607916,GSE136831
IPF,ATII,CXCR1,3,0.0037493457391685,0.002710027100271,GSE136831
IPF,ATII,CXCR2,3,0.0,0.0,GSE136831
IPF,ATII,CXCR3,3,0.0,0.0,GSE136831
IPF,ATII,CXCR4,3,0.10978539833191697,0.0676816485145983,GSE136831
IPF,ATII,DPP4,3,0.7649959848292199,0.23667229125121436,GSE136831
IPF,ATII,EGFR,3,1.2404740234736904,0.34953213683080225,GSE136831
IPF,ATII,ENG,3,0.08030223680440186,0.0515237510865674,GSE136831
IPF,ATII,EPHA7,3,0.0,0.0,GSE136831
IPF,ATII,EPHB2,3,0.056748729002742936,0.017264917932198132,GSE136831
IPF,ATII,ERBB2,3,0.2107789593436953,0.0660786419184946,GSE136831
