config,histology,comp,label,gene,patients,cells,detection_fraction,pseudobulk_CPM
unc20_pooled,AAH,AT2,AT2 proliferating,TAGLN,4,20,0.45,92.58937768364524
unc20_pooled,AAH,AT2,AT2 proliferating,MYH11,4,20,0.05,5.786836105227827
unc20_pooled,AAH,AT2,AT2 proliferating,PECAM1,4,20,0.1,57.86836105227828
unc20_pooled,AAH,AT2,AT2 proliferating,VWF,4,20,0.05,5.786836105227827
unc20_pooled,AAH,AT2,AT2 proliferating,MKI67,4,20,1.0,856.4517435737184
unc20_pooled,AAH,AT2,AT2 proliferating,CLDN4,4,20,0.7,295.12864136661926
unc20_pooled,AAH,AT2,AT2 proliferating,KRT17,4,20,0.05,5.786836105227827
unc20_pooled,AAH,AT2,__broad__,EPCAM,8,8476,0.5956819254365266,368.02254482366203
unc20_pooled,AAH,AT2,__broad__,KRT8,8,8476,0.6451156205757432,824.8792873333306
unc20_pooled,AAH,AT2,__broad__,SFTPC,8,8476,0.9976403964134025,83439.15677453441
unc20_pooled,AAH,AT2,__broad__,SFTPA1,8,8476,0.9969325153374233,23816.129559809928
unc20_pooled,AAH,AT2,__broad__,ABCA3,8,8476,0.9288579518640868,1831.632941979516
unc20_pooled,AAH,AT2,__broad__,AGER,8,8476,0.5843558282208589,351.5887270386791
unc20_pooled,AAH,AT2,__broad__,HOPX,8,8476,0.7031618688060406,590.6846642241163
unc20_pooled,AAH,AT2,__broad__,SCGB1A1,8,8476,0.17272298253893345,47.62245649146742
unc20_pooled,AAH,AT2,__broad__,FOXJ1,8,8476,0.0292590844738084,4.952192769055728
unc20_pooled,AAH,AT2,__broad__,PTPRC,8,8476,0.03338839075035394,5.969766625711015
unc20_pooled,AAH,AT2,__broad__,LST1,8,8476,0.04471448796602171,8.140590853242292
unc20_pooled,AAH,AT2,__broad__,TYROBP,8,8476,0.14334591788579518,32.867635569965756
unc20_pooled,AAH,AT2,__broad__,C1QA,8,8476,0.20339782916470034,49.047059890784816
unc20_pooled,AAH,AT2,__broad__,C1QB,8,8476,0.1776781500707881,42.839859365187564
unc20_pooled,AAH,AT2,__broad__,CD68,8,8476,0.2566068900424729,64.1749912263934
unc20_pooled,AAH,AT2,__broad__,CSF1R,8,8476,0.0572203869749882,13.923802271899838
unc20_pooled,AAH,AT2,__broad__,PPARG,8,8476,0.05792826805096744,12.160007587030675
unc20_pooled,AAH,AT2,__broad__,FABP4,8,8476,0.036455875412930626,10.531889416382217
unc20_pooled,AAH,AT2,__broad__,COL1A1,8,8476,0.3558282208588957,127.06105556769013
unc20_pooled,AAH,AT2,__broad__,COL1A2,8,8476,0.2818546484190656,88.83419768600652
