unit_id,gsm,patient,histology,uncertainty_cutoff,label,compartment,lineage,cells,full_library_sum,panel_gene_coverage
GSM9237901_unc20_0,GSM9237901,3,normal,0.2,AT1,Epithelial,Alveolar epithelium,116,196977,0.8655
GSM9237901_unc20_1,GSM9237901,3,normal,0.2,AT2,Epithelial,Alveolar epithelium,165,288778,0.8655
GSM9237901_unc20_2,GSM9237901,3,normal,0.2,Adventitial fibroblasts,Stroma,Fibroblast lineage,11,23464,0.8655
GSM9237901_unc20_3,GSM9237901,3,normal,0.2,Alveolar fibroblasts,Stroma,Fibroblast lineage,106,149829,0.8655
GSM9237901_unc20_4,GSM9237901,3,normal,0.2,Alveolar macrophages,Immune,Myeloid,1,11440,0.8655
GSM9237901_unc20_5,GSM9237901,3,normal,0.2,B cells,Immune,Lymphoid,3,3858,0.8655
GSM9237901_unc20_6,GSM9237901,3,normal,0.2,CD4 T cells,Immune,Lymphoid,6,8978,0.8655
GSM9237901_unc20_7,GSM9237901,3,normal,0.2,CD8 T cells,Immune,Lymphoid,6,8286,0.8655
GSM9237901_unc20_8,GSM9237901,3,normal,0.2,Classical monocytes,Immune,Myeloid,2,2533,0.8655
GSM9237901_unc20_9,GSM9237901,3,normal,0.2,EC aerocyte capillary,Endothelial,Blood vessels,2,2120,0.8655
GSM9237901_unc20_10,GSM9237901,3,normal,0.2,EC arterial,Endothelial,Blood vessels,7,8058,0.8655
GSM9237901_unc20_11,GSM9237901,3,normal,0.2,EC general capillary,Endothelial,Blood vessels,3,3119,0.8655
GSM9237901_unc20_12,GSM9237901,3,normal,0.2,EC venous pulmonary,Endothelial,Blood vessels,7,7628,0.8655
GSM9237901_unc20_13,GSM9237901,3,normal,0.2,EC venous systemic,Endothelial,Blood vessels,3,5744,0.8655
GSM9237901_unc20_14,GSM9237901,3,normal,0.2,Interstitial Mph perivascular,Immune,Myeloid,1,1420,0.8655
GSM9237901_unc20_15,GSM9237901,3,normal,0.2,Lymphatic EC differentiating,Endothelial,Lymphatic EC,8,9856,0.8655
GSM9237901_unc20_16,GSM9237901,3,normal,0.2,Mast cells,Immune,Myeloid,7,12443,0.8655
GSM9237901_unc20_17,GSM9237901,3,normal,0.2,Monocyte-derived Mph,Immune,Myeloid,21,41951,0.8655
GSM9237901_unc20_18,GSM9237901,3,normal,0.2,Multiciliated (non-nasal),Epithelial,Airway epithelium,26,95412,0.8655
GSM9237901_unc20_19,GSM9237901,3,normal,0.2,Non-classical monocytes,Immune,Myeloid,3,4329,0.8655
GSM9237901_unc20_20,GSM9237901,3,normal,0.2,Pericytes,Stroma,Fibroblast lineage,4,6116,0.8655
GSM9237901_unc20_21,GSM9237901,3,normal,0.2,Plasma cells,Immune,Lymphoid,12,16242,0.8655
GSM9237901_unc20_22,GSM9237901,3,normal,0.2,Smooth muscle,Stroma,Smooth muscle,1,1479,0.8655
GSM9237901_unc30_0,GSM9237901,3,normal,0.3,AT1,Epithelial,Alveolar epithelium,117,200123,0.8655
GSM9237901_unc30_1,GSM9237901,3,normal,0.3,AT2,Epithelial,Alveolar epithelium,169,301251,0.8655
GSM9237901_unc30_2,GSM9237901,3,normal,0.3,Adventitial fibroblasts,Stroma,Fibroblast lineage,17,33460,0.8655
GSM9237901_unc30_3,GSM9237901,3,normal,0.3,Alveolar fibroblasts,Stroma,Fibroblast lineage,130,187672,0.8655
GSM9237901_unc30_4,GSM9237901,3,normal,0.3,Alveolar macrophages,Immune,Myeloid,2,14402,0.8655
GSM9237901_unc30_5,GSM9237901,3,normal,0.3,B cells,Immune,Lymphoid,5,12248,0.8655
GSM9237901_unc30_6,GSM9237901,3,normal,0.3,Basal resting,Epithelial,Airway epithelium,1,3066,0.8655
GSM9237901_unc30_7,GSM9237901,3,normal,0.3,CD4 T cells,Immune,Lymphoid,10,14657,0.8655
GSM9237901_unc30_8,GSM9237901,3,normal,0.3,CD8 T cells,Immune,Lymphoid,13,18168,0.8655
GSM9237901_unc30_9,GSM9237901,3,normal,0.3,Classical monocytes,Immune,Myeloid,2,2533,0.8655
GSM9237901_unc30_10,GSM9237901,3,normal,0.3,EC aerocyte capillary,Endothelial,Blood vessels,5,7841,0.8655
GSM9237901_unc30_11,GSM9237901,3,normal,0.3,EC arterial,Endothelial,Blood vessels,7,8058,0.8655
GSM9237901_unc30_12,GSM9237901,3,normal,0.3,EC general capillary,Endothelial,Blood vessels,5,5784,0.8655
GSM9237901_unc30_13,GSM9237901,3,normal,0.3,EC venous pulmonary,Endothelial,Blood vessels,8,8839,0.8655
GSM9237901_unc30_14,GSM9237901,3,normal,0.3,EC venous systemic,Endothelial,Blood vessels,7,13601,0.8655
GSM9237901_unc30_15,GSM9237901,3,normal,0.3,Interstitial Mph perivascular,Immune,Myeloid,2,2791,0.8655
GSM9237901_unc30_16,GSM9237901,3,normal,0.3,Lymphatic EC differentiating,Endothelial,Lymphatic EC,12,15215,0.8655
GSM9237901_unc30_17,GSM9237901,3,normal,0.3,Lymphatic EC mature,Endothelial,Lymphatic EC,1,1198,0.8655
GSM9237901_unc30_18,GSM9237901,3,normal,0.3,Mast cells,Immune,Myeloid,7,12443,0.8655
GSM9237901_unc30_19,GSM9237901,3,normal,0.3,Monocyte-derived Mph,Immune,Myeloid,52,102369,0.8655
GSM9237901_unc30_20,GSM9237901,3,normal,0.3,Multiciliated (non-nasal),Epithelial,Airway epithelium,27,98132,0.8655
GSM9237901_unc30_21,GSM9237901,3,normal,0.3,Myofibroblasts,Stroma,Fibroblast lineage,1,1473,0.8655
GSM9237901_unc30_22,GSM9237901,3,normal,0.3,Non-classical monocytes,Immune,Myeloid,4,6190,0.8655
GSM9237901_unc30_23,GSM9237901,3,normal,0.3,Pericytes,Stroma,Fibroblast lineage,5,7480,0.8655
GSM9237901_unc30_24,GSM9237901,3,normal,0.3,Plasma cells,Immune,Lymphoid,13,17287,0.8655
GSM9237901_unc30_25,GSM9237901,3,normal,0.3,Smooth muscle,Stroma,Smooth muscle,2,3262,0.8655
GSM9237901_unc30_26,GSM9237901,3,normal,0.3,pre-TB secretory,Epithelial,Airway epithelium,2,4662,0.8655
GSM9237902_unc20_0,GSM9237902,3,AIS,0.2,AT1,Epithelial,Alveolar epithelium,143,272593,0.8655
GSM9237902_unc20_1,GSM9237902,3,AIS,0.2,AT2,Epithelial,Alveolar epithelium,673,1491795,0.8655
GSM9237902_unc20_2,GSM9237902,3,AIS,0.2,Adventitial fibroblasts,Stroma,Fibroblast lineage,21,36629,0.8655
GSM9237902_unc20_3,GSM9237902,3,AIS,0.2,Alveolar fibroblasts,Stroma,Fibroblast lineage,102,151845,0.8655
GSM9237902_unc20_4,GSM9237902,3,AIS,0.2,B cells,Immune,Lymphoid,11,18125,0.8655
