subcluster,Spp1,Lpl,Chil3,Mmp9,Fdx1,Ccl2,Il1rn,S100a8,C1qa,Il18,Trem2,Marco,Mcemp1,Siglecf,Ear2,Plet1,Fabp4,Cd163,Mrc1,Folr2,Lyve1,C1qb,Ly6c2,Ccr2,Plac8,Cx3cr1,Ace,Nr4a1,Ear2,Xcr1,Clec9a,Cd209a,Itgax,H2-Ab1,Ccr7,Fscn1,Siglech,Bst2,S100a9,Retnlg,Csf3r,Mki67,Top2a
0,0.238,0.119,0.535,0.001,0.063,0.754,0.725,0.095,0.326,0.329,0.165,0.004,0.276,0.006,0.144,0.008,0.038,0.003,0.053,0.025,0.047,0.429,0.775,0.642,0.786,0.097,0.093,0.617,0.144,0.006,0.017,0.009,0.256,0.539,0.012,0.005,0.001,0.816,0.016,0.0,0.36,0.014,0.023
1,0.204,0.434,0.124,0.037,0.14,0.449,0.328,0.052,0.916,0.196,0.648,0.011,0.136,0.009,0.055,0.015,0.04,0.085,0.729,0.179,0.058,0.92,0.138,0.401,0.139,0.657,0.037,0.72,0.055,0.007,0.02,0.019,0.371,0.956,0.019,0.05,0.028,0.737,0.007,0.002,0.283,0.071,0.048
2,0.021,0.238,0.657,0.004,0.077,0.239,0.165,0.082,0.009,0.193,0.23,0.002,0.766,0.002,0.272,0.011,0.025,0.007,0.066,0.002,0.009,0.026,0.873,0.953,0.991,0.632,0.262,0.951,0.272,0.001,0.002,0.043,0.035,0.336,0.003,0.002,0.001,0.672,0.016,0.002,0.496,0.018,0.019
3,0.019,0.123,0.283,0.0,0.029,0.036,0.067,0.02,0.008,0.057,0.053,0.001,0.375,0.001,0.806,0.009,0.574,0.0,0.005,0.0,0.004,0.014,0.144,0.207,0.871,0.664,0.874,0.983,0.806,0.001,0.001,0.001,0.319,0.298,0.005,0.002,0.0,0.297,0.014,0.001,0.26,0.004,0.033
4,0.098,0.154,0.059,0.007,0.159,0.146,0.149,0.013,0.114,0.137,0.03,0.003,0.662,0.032,0.446,0.143,0.007,0.061,0.407,0.004,0.012,0.124,0.131,0.58,0.284,0.266,0.04,0.864,0.446,0.019,0.079,0.625,0.658,0.942,0.378,0.215,0.051,0.671,0.01,0.007,0.027,0.141,0.061
5,0.331,0.163,0.051,0.006,0.219,0.138,0.06,0.028,0.1,0.293,0.058,0.007,0.303,0.033,0.186,0.312,0.016,0.015,0.149,0.019,0.023,0.094,0.067,0.806,0.164,0.129,0.028,0.927,0.186,0.713,0.637,0.193,0.714,0.999,0.057,0.03,0.109,0.692,0.015,0.009,0.035,0.414,0.38
6,0.122,0.231,0.17,0.041,0.163,0.204,0.129,0.034,0.143,0.224,0.15,0.014,0.469,0.027,0.537,0.129,0.19,0.014,0.238,0.014,0.02,0.163,0.354,0.694,0.714,0.469,0.361,0.973,0.537,0.204,0.177,0.238,0.537,0.85,0.456,0.048,0.068,0.612,0.027,0.027,0.245,0.129,0.163
7,0.11,0.512,0.238,0.018,0.238,0.268,0.14,0.024,0.305,0.14,0.256,0.0,0.378,0.018,0.256,0.091,0.128,0.073,0.293,0.085,0.323,0.323,0.311,0.549,0.61,0.579,0.799,0.915,0.256,0.165,0.146,0.098,0.384,0.89,0.079,0.098,0.055,0.854,0.018,0.012,0.28,0.079,0.073
8,0.021,0.031,0.021,0.0,0.186,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.041,0.01,0.01,0.031,0.0,0.907,0.567,1.0,0.01,0.093,0.66,0.01,0.0,0.34,0.433,0.34,0.876,0.124,0.01,1.0,1.0,0.01,0.0,0.01,0.0,0.01
