group,n_cells,pct_Tnc,pct_Lcn2_or_Saa3,pct_double_positive,pct_expected_if_independent,observed_over_expected,reading
"Red2Kras, C1b private clusters",1854,27.78,29.5,9.65,8.2,1.178,consistent with separate cells
"Red2Kras, all other clusters",4085,17.01,4.5,0.73,0.77,0.958,consistent with separate cells
"Confetti, all clusters",5751,11.46,1.15,0.14,0.13,1.058,consistent with separate cells
