,hAT2,cAT2,DATP,AT1
hAT2,0.0,0.09888311615392766,0.09198407292880688,0.10269533284342898
cAT2,0.09888311615392766,0.0,0.017011161980438647,0.009123609958195918
DATP,0.09198407292880688,0.017011161980438647,0.0,0.866237596375239
AT1,0.10269533284342898,0.009123609958195918,0.866237596375239,0.0
