state,median,q25,q75,n
hAT2,0.15675755,0.10198386758565903,0.221589095890522,2626
DATP,0.47495943,0.39108722656965256,0.5568522065877914,668
AT1,0.48001838,0.4307510480284691,0.5351153016090393,106
