patient,histology,uncertainty,broad,count_sum,cells,detected_cells,sum_normalized_10000,fraction_of_observed_IL1B_counts,detection_fraction
3,AIS,0.2,AT2-like,2,673,2,12.83444790380919,0.0024691358024691358,0.0029717682020802376
3,AIS,0.2,Fibroblasts,12,123,1,63.291139240506325,0.014814814814814815,0.008130081300813009
3,AIS,0.2,Macrophages,0,31,0,0.0,0.0,0.0
3,AIS,0.2,Other assigned,7,114,4,41.48034268458653,0.008641975308641974,0.03508771929824561
3,AIS,0.2,Other epithelial,2,286,2,8.027813900619329,0.0024691358024691358,0.006993006993006993
3,AIS,0.2,Other myeloid,48,28,7,344.1343130232416,0.05925925925925926,0.25
3,AIS,0.2,Unassigned,739,1876,128,4877.010267482494,0.9123456790123456,0.06823027718550106
3,AIS,0.3,AT2-like,2,773,2,12.83444790380919,0.0024691358024691358,0.00258732212160414
3,AIS,0.3,Fibroblasts,12,206,1,63.291139240506325,0.014814814814814815,0.0048543689320388345
3,AIS,0.3,Macrophages,6,87,4,39.56084084923246,0.007407407407407408,0.04597701149425287
3,AIS,0.3,Other assigned,28,175,8,123.85435954254274,0.0345679012345679,0.045714285714285714
3,AIS,0.3,Other epithelial,2,333,2,8.027813900619329,0.0024691358024691358,0.006006006006006006
3,AIS,0.3,Other myeloid,128,39,14,955.8556782943017,0.1580246913580247,0.358974358974359
3,AIS,0.3,Unassigned,632,1518,113,4143.354044504245,0.7802469135802469,0.07444005270092227
3,LUAD,0.2,AT2-like,4,310,4,10.493156179199122,0.005405405405405406,0.012903225806451613
3,LUAD,0.2,Fibroblasts,0,80,0,0.0,0.0,0.0
3,LUAD,0.2,Macrophages,0,23,0,0.0,0.0,0.0
3,LUAD,0.2,Other assigned,0,144,0,0.0,0.0,0.0
3,LUAD,0.2,Other epithelial,23,365,5,80.7554356664256,0.031081081081081083,0.0136986301369863
3,LUAD,0.2,Other myeloid,53,32,7,365.69106706342393,0.07162162162162163,0.21875
3,LUAD,0.2,Unassigned,660,1190,94,3883.262120089146,0.8918918918918919,0.07899159663865546
3,LUAD,0.3,AT2-like,4,344,4,10.493156179199122,0.005405405405405406,0.011627906976744186
3,LUAD,0.3,Fibroblasts,0,137,0,0.0,0.0,0.0
3,LUAD,0.3,Macrophages,0,56,0,0.0,0.0,0.0
3,LUAD,0.3,Other assigned,18,193,3,45.99294551879029,0.024324324324324326,0.015544041450777202
3,LUAD,0.3,Other epithelial,23,392,5,80.7554356664256,0.031081081081081083,0.012755102040816327
3,LUAD,0.3,Other myeloid,82,40,12,565.8415615416302,0.11081081081081082,0.3
3,LUAD,0.3,Unassigned,613,982,86,3637.1186800921487,0.8283783783783784,0.08757637474541752
3,normal,0.2,AT2-like,1,165,1,7.027406886858749,0.0033783783783783786,0.006060606060606061
3,normal,0.2,Fibroblasts,0,117,0,0.0,0.0,0.0
3,normal,0.2,Macrophages,2,23,2,7.317424843198039,0.006756756756756757,0.08695652173913043
3,normal,0.2,Other assigned,0,62,0,0.0,0.0,0.0
3,normal,0.2,Other epithelial,0,142,0,0.0,0.0,0.0
3,normal,0.2,Other myeloid,29,12,3,202.61091936676755,0.09797297297297297,0.25
3,normal,0.2,Unassigned,264,668,38,1780.1126606316811,0.8918918918918919,0.05688622754491018
3,normal,0.3,AT2-like,1,169,1,7.027406886858749,0.0033783783783783786,0.005917159763313609
3,normal,0.3,Fibroblasts,0,148,0,0.0,0.0,0.0
3,normal,0.3,Macrophages,2,56,2,7.317424843198039,0.006756756756756757,0.03571428571428571
3,normal,0.3,Other assigned,0,93,0,0.0,0.0,0.0
3,normal,0.3,Other epithelial,0,147,0,0.0,0.0,0.0
3,normal,0.3,Other myeloid,29,13,3,202.61091936676755,0.09797297297297297,0.23076923076923078
3,normal,0.3,Unassigned,264,563,38,1780.1126606316811,0.8918918918918919,0.0674955595026643
4,AAH,0.2,AT2-like,31,3048,13,32.847921542404066,0.031568228105906315,0.00426509186351706
4,AAH,0.2,Fibroblasts,4,1523,4,14.25365695682937,0.004073319755600814,0.0026263952724885093
4,AAH,0.2,Macrophages,533,619,132,357.3940938793394,0.5427698574338086,0.21324717285945072
4,AAH,0.2,Other assigned,12,1480,11,45.30095759968973,0.012219959266802444,0.007432432432432433
4,AAH,0.2,Other epithelial,2,966,2,7.991051248458103,0.002036659877800407,0.002070393374741201
4,AAH,0.2,Other myeloid,19,366,11,76.78883145354189,0.019348268839103868,0.030054644808743168
4,AAH,0.2,Unassigned,381,6224,155,1205.384366276775,0.3879837067209776,0.024903598971722365
4,AAH,0.3,AT2-like,41,3308,18,82.41466888321598,0.04175152749490835,0.005441354292623942
4,AAH,0.3,Fibroblasts,4,1756,4,14.25365695682937,0.004073319755600814,0.002277904328018223
4,AAH,0.3,Macrophages,581,857,147,410.99113729007803,0.5916496945010183,0.17152858809801633
4,AAH,0.3,Other assigned,14,2067,13,53.08204837968187,0.014256619144602852,0.006289308176100629
4,AAH,0.3,Other epithelial,2,1041,2,7.991051248458103,0.002036659877800407,0.0019212295869356388
4,AAH,0.3,Other myeloid,24,395,14,104.37893766046491,0.024439918533604887,0.035443037974683546
4,AAH,0.3,Unassigned,316,4802,130,1066.849378538309,0.32179226069246436,0.027072053311120368
4,LUAD,0.2,AT2-like,84,5096,40,129.74708020670803,0.024117140396210164,0.007849293563579277
4,LUAD,0.2,Fibroblasts,44,2912,24,110.12368471440196,0.012632787826586276,0.008241758241758242
4,LUAD,0.2,Macrophages,1434,1151,276,996.8420771512399,0.4117140396210164,0.23979148566463945
4,LUAD,0.2,Other assigned,46,4888,34,186.51747549589896,0.01320700545506747,0.006955810147299509
4,LUAD,0.2,Other epithelial,29,2377,21,63.08698565595941,0.008326155612977318,0.008834665544804375
4,LUAD,0.2,Other myeloid,55,607,23,153.7757855081404,0.015790984783232844,0.03789126853377265
4,LUAD,0.2,Unassigned,1791,14889,558,3746.9206194064723,0.5142118863049095,0.03747733225871449
4,LUAD,0.3,AT2-like,127,5846,55,230.11064437883593,0.03646281940855584,0.009408142319534725
4,LUAD,0.3,Fibroblasts,61,3332,33,125.38235322690561,0.01751363766867643,0.009903961584633853
4,LUAD,0.3,Macrophages,1777,1587,335,1347.1465611013057,0.5101923629055412,0.21109010712035287
4,LUAD,0.3,Other assigned,65,6129,45,248.3769030673229,0.018662072925638817,0.007342143906020558
4,LUAD,0.3,Other epithelial,37,2698,27,81.12952737376767,0.010623026126902095,0.01000741289844329
4,LUAD,0.3,Other myeloid,61,663,28,179.00609579003765,0.01751363766867643,0.042232277526395176
4,LUAD,0.3,Unassigned,1355,11665,453,3175.861623200645,0.38903244329600917,0.038834119159879985
4,normal,0.2,AT2-like,85,7050,63,227.60417356106643,0.025350432448553534,0.008936170212765958
4,normal,0.2,Fibroblasts,26,3886,25,76.16368800291046,0.007754249925439905,0.006433350488934638
4,normal,0.2,Macrophages,1385,2026,422,1243.2930385333025,0.4130629287205488,0.20829220138203355
4,normal,0.2,Other assigned,37,5103,29,183.89266308691074,0.01103489412466448,0.005682931608857535
4,normal,0.2,Other epithelial,26,2797,20,101.11460640008218,0.007754249925439905,0.007150518412584912
4,normal,0.2,Other myeloid,79,888,39,317.5003193824349,0.023560990158067403,0.04391891891891892
4,normal,0.2,Unassigned,1715,16493,565,5204.553369739298,0.511482254697286,0.03425695749711999
4,normal,0.3,AT2-like,102,7567,74,270.94950794528944,0.03042051893826424,0.009779304876437162
