sample,cells,det_Axin2,det_Nkd1,det_Tcf7l2,det_Lef1,det_Notum,det_Wif1,det_Il1r1,det_Il1rap,det_Sftpc,det_Krt8,det_Myd88,det_Nfkbia,wnt_any_of_6,wnt_two_or_more,wnt_three_or_more,il1_any
EEM-scRNA-113,3956,0.1519,0.3688,0.2722,0.0361,0.0222,0.0091,0.1355,0.0948,0.368,0.1102,0.2685,0.7374,0.572,0.2197,0.0597,0.1992
EEM-scRNA-116,5686,0.149,0.4184,0.3206,0.026,0.0466,0.019,0.3041,0.1581,0.0589,0.0856,0.2744,0.7921,0.6367,0.2617,0.0703,0.3728
EEM-scRNA-117,6172,0.1795,0.4302,0.3636,0.0164,0.0334,0.0194,0.319,0.1607,0.128,0.0956,0.2234,0.7824,0.6727,0.2837,0.0744,0.4015
EEM-scRNA-118,6317,0.1407,0.334,0.2427,0.0163,0.0161,0.0127,0.2435,0.1031,0.2438,0.0858,0.1548,0.6631,0.5158,0.1988,0.0435,0.2965
EEM-scRNA-124,5572,0.1111,0.2715,0.2078,0.0122,0.0097,0.0077,0.2064,0.0797,0.1403,0.045,0.1517,0.6219,0.4451,0.1455,0.028,0.2509
EEM-scRNA-125,6114,0.1436,0.2695,0.1847,0.0173,0.0306,0.0111,0.2198,0.0792,0.2048,0.0824,0.1595,0.669,0.4782,0.149,0.0276,0.2677
