"compartment","label","donor","disease","cells"
"macrophages","Macrophage","160C","control",2666
"macrophages","Macrophage","166I","IPF",2495
"macrophages","Macrophage","174I","IPF",1503
"macrophages","Macrophage","177I","IPF",1360
"macrophages","Macrophage","179I","IPF",2283
"macrophages","Macrophage","192C","control",2797
"macrophages","Macrophage","208C","control",1407
"macrophages","Macrophage","209I","IPF",2228
"macrophages","Macrophage","210I","IPF",1379
"macrophages","Macrophage","212I","IPF",1788
"macrophages","Macrophage","214I","IPF",560
"macrophages","Macrophage","218C","control",3659
"macrophages","Macrophage","221I","IPF",2746
"macrophages","Macrophage","222C","control",2583
"macrophages","Macrophage","222I","IPF",3723
"macrophages","Macrophage","225I","IPF",5193
"macrophages","Macrophage","226C","control",9042
"macrophages","Macrophage","228I","IPF",2032
"macrophages","Macrophage","253C","control",226
"macrophages","Macrophage","296C","control",636
"macrophages","Macrophage","29I","IPF",463
"macrophages","Macrophage","388C","control",811
"macrophages","Macrophage","396C","control",368
"macrophages","Macrophage","439C","control",1129
"macrophages","Macrophage","454C","control",467
"macrophages","Macrophage","465C","control",183
"macrophages","Macrophage","47I","IPF",975
"macrophages","Macrophage","483C","control",690
"macrophages","Macrophage","484C","control",276
"macrophages","Macrophage","49I","IPF",1896
"macrophages","Macrophage","59I","IPF",266
"macrophages","Macrophage_Alveolar","001C","control",480
"macrophages","Macrophage_Alveolar","002C","control",142
"macrophages","Macrophage_Alveolar","003C","control",953
"macrophages","Macrophage_Alveolar","010I","IPF",771
"macrophages","Macrophage_Alveolar","021I","IPF",210
"macrophages","Macrophage_Alveolar","022I","IPF",1079
"macrophages","Macrophage_Alveolar","025I","IPF",1761
"macrophages","Macrophage_Alveolar","034C","control",120
"macrophages","Macrophage_Alveolar","040I","IPF",1700
"macrophages","Macrophage_Alveolar","041I","IPF",360
"macrophages","Macrophage_Alveolar","051I","IPF",74
"macrophages","Macrophage_Alveolar","053I","IPF",525
"macrophages","Macrophage_Alveolar","063I","IPF",2047
"macrophages","Macrophage_Alveolar","065C","control",366
"macrophages","Macrophage_Alveolar","084C","control",191
"macrophages","Macrophage_Alveolar","092C","control",2633
"macrophages","Macrophage_Alveolar","098C","control",4160
"macrophages","Macrophage_Alveolar","123I","IPF",246
"macrophages","Macrophage_Alveolar","133C","control",1136
"macrophages","Macrophage_Alveolar","135I","IPF",349
"macrophages","Macrophage_Alveolar","1372C","control",844
"macrophages","Macrophage_Alveolar","137C","control",217
"macrophages","Macrophage_Alveolar","145I","IPF",1337
"macrophages","Macrophage_Alveolar","157I","IPF",825
"macrophages","Macrophage_Alveolar","158I","IPF",1374
"macrophages","Macrophage_Alveolar","160C","control",1141
"macrophages","Macrophage_Alveolar","166I","IPF",1361
"macrophages","Macrophage_Alveolar","174I","IPF",1470
"macrophages","Macrophage_Alveolar","177I","IPF",3049
"macrophages","Macrophage_Alveolar","179I","IPF",707
"macrophages","Macrophage_Alveolar","192C","control",287
"macrophages","Macrophage_Alveolar","208C","control",340
"macrophages","Macrophage_Alveolar","209I","IPF",591
"macrophages","Macrophage_Alveolar","210I","IPF",486
"macrophages","Macrophage_Alveolar","212I","IPF",596
"macrophages","Macrophage_Alveolar","218C","control",160
"macrophages","Macrophage_Alveolar","221I","IPF",575
"macrophages","Macrophage_Alveolar","222C","control",2779
"macrophages","Macrophage_Alveolar","222I","IPF",824
"macrophages","Macrophage_Alveolar","225I","IPF",2893
"macrophages","Macrophage_Alveolar","226C","control",225
"macrophages","Macrophage_Alveolar","228I","IPF",183
"macrophages","Macrophage_Alveolar","253C","control",124
"macrophages","Macrophage_Alveolar","296C","control",1276
"macrophages","Macrophage_Alveolar","29I","IPF",451
"macrophages","Macrophage_Alveolar","388C","control",953
"macrophages","Macrophage_Alveolar","396C","control",587
"macrophages","Macrophage_Alveolar","439C","control",2474
"macrophages","Macrophage_Alveolar","454C","control",61
"macrophages","Macrophage_Alveolar","465C","control",822
"macrophages","Macrophage_Alveolar","47I","IPF",850
"macrophages","Macrophage_Alveolar","483C","control",1141
"macrophages","Macrophage_Alveolar","484C","control",273
"macrophages","Macrophage_Alveolar","49I","IPF",563
"macrophages","Macrophage_Alveolar","59I","IPF",77
