experiment	gsm	library_name	attributes	original_files
SRX25477427	GSM8422162	GSM8422162	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C WT"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:41:56"", ""filename"": ""HTS053_13_R261_CD44minus_S13_R1_001.fastq.gz"", ""md5"": ""8ad1dea99d8dc55f16521a4df26a181d"", ""semantic_name"": ""fastq"", ""size"": ""824552090"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:42:01"", ""filename"": ""HTS053_13_R261_CD44minus_S13_R2_001.fastq.gz"", ""md5"": ""ee0df3d8e7617a6b32aba2ab0ee5c9d9"", ""semantic_name"": ""fastq"", ""size"": ""839925792"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477428	GSM8422163	GSM8422163	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C WT"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:41:52"", ""filename"": ""HTS053_15_R262_CD44minus_S15_R1_001.fastq.gz"", ""md5"": ""93ccc61f8e28a0203b57fb3dda8b3af1"", ""semantic_name"": ""fastq"", ""size"": ""868728701"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:41:46"", ""filename"": ""HTS053_15_R262_CD44minus_S15_R2_001.fastq.gz"", ""md5"": ""c3610cddd660ae46f21e956b6c2ef61c"", ""semantic_name"": ""fastq"", ""size"": ""836696896"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477429	GSM8422164	GSM8422164	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C WT"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:43:31"", ""filename"": ""HTS053_17_R267_CD44minus_S17_R1_001.fastq.gz"", ""md5"": ""eb55eeba39abe2e2aac6ce7aeea814c1"", ""semantic_name"": ""fastq"", ""size"": ""968660277"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:43:42"", ""filename"": ""HTS053_17_R267_CD44minus_S17_R2_001.fastq.gz"", ""md5"": ""5a2bfc6209f9ef11d7dc6d373f4c7bb8"", ""semantic_name"": ""fastq"", ""size"": ""1008903637"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477430	GSM8422165	GSM8422165	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C WT"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:42:37"", ""filename"": ""HTS053_19_R268_CD44minus_S19_R1_001.fastq.gz"", ""md5"": ""6b4a338259154ac2b37c6cb991823dad"", ""semantic_name"": ""fastq"", ""size"": ""994332917"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:42:48"", ""filename"": ""HTS053_19_R268_CD44minus_S19_R2_001.fastq.gz"", ""md5"": ""36070d2d03a1bd6ff876f751a23fc8ab"", ""semantic_name"": ""fastq"", ""size"": ""1029730639"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477431	GSM8422166	GSM8422166	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C WT"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:42:57"", ""filename"": ""HTS053_14_R261_CD44plus_S14_R1_001.fastq.gz"", ""md5"": ""f9c8090bf7d0da8c7436d623f051d6b4"", ""semantic_name"": ""fastq"", ""size"": ""868675647"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:43:07"", ""filename"": ""HTS053_14_R261_CD44plus_S14_R2_001.fastq.gz"", ""md5"": ""3f8f31c59629702dd35579e382e087b8"", ""semantic_name"": ""fastq"", ""size"": ""894551160"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477432	GSM8422167	GSM8422167	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C WT"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:41:49"", ""filename"": ""HTS053_16_R262_CD44plus_S16_R1_001.fastq.gz"", ""md5"": ""f609d0a3365df5b002182601770bffbd"", ""semantic_name"": ""fastq"", ""size"": ""846506733"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:41:52"", ""filename"": ""HTS053_16_R262_CD44plus_S16_R2_001.fastq.gz"", ""md5"": ""ad35777df6dcf2f9f56ded71949df43f"", ""semantic_name"": ""fastq"", ""size"": ""882042692"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477433	GSM8422168	GSM8422168	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C WT"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:42:13"", ""filename"": ""HTS053_18_R267_CD44plus_S18_R1_001.fastq.gz"", ""md5"": ""dc988c6c050d6da8e57ac6d154f9e815"", ""semantic_name"": ""fastq"", ""size"": ""955469697"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:42:17"", ""filename"": ""HTS053_18_R267_CD44plus_S18_R2_001.fastq.gz"", ""md5"": ""ab33bfcd2473c68c62730d6b06413880"", ""semantic_name"": ""fastq"", ""size"": ""995626156"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477434	GSM8422169	GSM8422169	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C WT"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:43:03"", ""filename"": ""HTS053_20_R268_CD44plus_S20_R1_001.fastq.gz"", ""md5"": ""12fbf4dbd9c29cbb7523ef47276c97d7"", ""semantic_name"": ""fastq"", ""size"": ""1127597408"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:43:07"", ""filename"": ""HTS053_20_R268_CD44plus_S20_R2_001.fastq.gz"", ""md5"": ""4e4651411bbeb5ceee6ce1daccfdf9ad"", ""semantic_name"": ""fastq"", ""size"": ""1176814209"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477435	GSM8422170	GSM8422170	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C Mutant"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:41:46"", ""filename"": ""HTS053_27_OG7_CD44minus_S27_R1_001.fastq.gz"", ""md5"": ""309b4b633cdd533f913ef98ffca1acb7"", ""semantic_name"": ""fastq"", ""size"": ""876662817"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:41:43"", ""filename"": ""HTS053_27_OG7_CD44minus_S27_R2_001.fastq.gz"", ""md5"": ""72119a6d01242ae01ef1b8682d0c161d"", ""semantic_name"": ""fastq"", ""size"": ""851276316"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477436	GSM8422171	GSM8422171	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C Mutant"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:41:14"", ""filename"": ""HTS053_25_OG6_CD44minus_S25_R1_001.fastq.gz"", ""md5"": ""35ac715f97afc24127049a1a37f5a3a1"", ""semantic_name"": ""fastq"", ""size"": ""1196499228"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:41:17"", ""filename"": ""HTS053_25_OG6_CD44minus_S25_R2_001.fastq.gz"", ""md5"": ""10836f863112d8dcc419cd930a089530"", ""semantic_name"": ""fastq"", ""size"": ""1262150733"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
