compartment,genotype,call,n_cells,pct_of_compartment,n_clusters,weakest_mode_fraction
fibroblasts,Areg-flox/+,adventitial fibroblast,1210,38.36,3,0.65
fibroblasts,Areg-flox/+,alveolar fibroblast,1087,34.46,3,0.614
fibroblasts,Areg-flox/+,reprogrammed fibroblast,857,27.17,2,0.375
fibroblasts,Areg-flox/flox,adventitial fibroblast,1615,35.35,3,0.65
fibroblasts,Areg-flox/flox,alveolar fibroblast,2034,44.53,3,0.614
fibroblasts,Areg-flox/flox,reprogrammed fibroblast,919,20.12,2,0.375
