compartment,B lymphocytes,Endothelial cells,Epithelial cells,Fibroblasts,MAST cells,Myeloid cells,T/NK cells
endothelial,457,1616,727,101,33,2889,153
epithelial,333,27,9347,425,97,480,537
lymphoid,1072,13,38,38,31,14,10573
mesenchymal,131,6,21,2434,32,109,167
myeloid,531,55,99,74,349,1858,4528
neutrophil,244,49,376,45,122,16604,2481
other immune,66,23,57,48,270,33,667
unassigned,3112,133,308,74,1954,3479,6248
