cohort,unit,module,difference_17,difference_29,both_seeds_evaluable,same_direction
GSE247130,SeV_control,DATP_marker_panel,0.406361515436084,0.4070998890846219,True,True
GSE247130,SeV_control,AT1_early_panel,0.2479323179559416,0.2142395772166764,True,True
GSE247130,SeV_control,AT1_late_panel,0.0086653729897875,0.0166030534351145,True,True
GSE247130,SeV_control,DATP_figure7_panel,0.4043583949602848,0.4210162893369,True,True
GSE247130,SeV_control,DATP_label_free_panel,0.0776291720467973,0.0783823753289402,True,True
GSE247130,SeV_control,AT2_common_panel,-0.3195710507395234,-0.2480149409538722,True,True
GSE247130,SeV_control,DATP_PATS_holdout_panel,0.1946054407794342,0.1826357625975946,True,True
GSE247130,SeV_control,ADI_published_400,0.0803000132806379,0.0695737930129969,True,True
GSE247130,SeV_control,ADI_published_holdout,0.0760991926794104,0.0653142936965603,True,True
GSE247130,SeV_control,AT2_published_400,-0.0884579463259369,-0.0731560725099223,True,True
GSE247130,SeV_control,AT2_published_holdout,-0.0888126234823231,-0.0733622336494499,True,True
GSE247130,SeV_control,AT1_published_400,0.0409951112962976,0.0454067388374684,True,True
GSE247130,SeV_control,AT1_published_holdout,0.0389919626071442,0.043415069802904,True,True
GSE247130,SeV_control,HALLMARK_HYPOXIA,0.0185023302644491,0.0147011726428163,True,True
GSE247130,SeV_control,HALLMARK_INFLAMMATORY_RESPONSE,0.0104087748933356,0.0160191831674928,True,True
GSE247130,SeV_control,HALLMARK_P53_PATHWAY,0.0282081799147643,0.0187099296559492,True,True
GSE247130,SeV_Cebpa_mutant,DATP_marker_panel,0.3540375741595253,0.3567241938594799,True,True
GSE247130,SeV_Cebpa_mutant,AT1_early_panel,0.0829738040103894,0.0585639096865446,True,True
GSE247130,SeV_Cebpa_mutant,AT1_late_panel,-0.0020343690313202,0.0119362167067033,True,False
GSE247130,SeV_Cebpa_mutant,DATP_figure7_panel,0.397529565212492,0.392412679069278,True,True
GSE247130,SeV_Cebpa_mutant,DATP_label_free_panel,0.034520097020097,0.0416166207851869,True,True
GSE247130,SeV_Cebpa_mutant,AT2_common_panel,-0.1492427435643898,-0.1303275576002525,True,True
GSE247130,SeV_Cebpa_mutant,DATP_PATS_holdout_panel,0.1042085706719853,0.1156633380676006,True,True
GSE247130,SeV_Cebpa_mutant,ADI_published_400,0.0633024112172631,0.0745295718824957,True,True
GSE247130,SeV_Cebpa_mutant,ADI_published_holdout,0.0593536349164866,0.0706585155666576,True,True
GSE247130,SeV_Cebpa_mutant,AT2_published_400,-0.022820456035359,-0.024290088859441,True,True
GSE247130,SeV_Cebpa_mutant,AT2_published_holdout,-0.0228357168918015,-0.0243069009267699,True,True
GSE247130,SeV_Cebpa_mutant,AT1_published_400,0.0472995121589339,0.0462170258005895,True,True
