a	b	n_a	n_b	n_overlap	jaccard
shared_remodelling	development_specific	12	94	0	0.0000
shared_remodelling	lesion_specific	12	91	0	0.0000
shared_remodelling	injury_residual	12	386	0	0.0000
shared_remodelling	AT1_published_400	12	400	6	0.0148
shared_remodelling	AT2_published_400	12	400	0	0.0000
shared_remodelling	HALLMARK_P53_PATHWAY	12	200	1	0.0047
shared_remodelling	HALLMARK_HYPOXIA	12	199	1	0.0048
shared_remodelling	HALLMARK_INFLAMMATORY_RESPONSE	12	197	1	0.0048
shared_remodelling	source_D	12	99	5	0.0472
shared_remodelling	source_I	12	398	12	0.0302
shared_remodelling	source_L	12	98	7	0.0680
development_specific	lesion_specific	94	91	0	0.0000
development_specific	injury_residual	94	386	0	0.0000
development_specific	AT1_published_400	94	400	30	0.0647
development_specific	AT2_published_400	94	400	16	0.0335
development_specific	HALLMARK_P53_PATHWAY	94	200	2	0.0068
development_specific	HALLMARK_HYPOXIA	94	199	2	0.0069
development_specific	HALLMARK_INFLAMMATORY_RESPONSE	94	197	2	0.0069
development_specific	source_D	94	99	94	0.9495
development_specific	source_I	94	398	0	0.0000
development_specific	source_L	94	98	0	0.0000
lesion_specific	injury_residual	91	386	0	0.0000
lesion_specific	AT1_published_400	91	400	2	0.0041
lesion_specific	AT2_published_400	91	400	0	0.0000
lesion_specific	HALLMARK_P53_PATHWAY	91	200	11	0.0393
lesion_specific	HALLMARK_HYPOXIA	91	199	8	0.0284
lesion_specific	HALLMARK_INFLAMMATORY_RESPONSE	91	197	4	0.0141
lesion_specific	source_D	91	99	0	0.0000
lesion_specific	source_I	91	398	0	0.0000
lesion_specific	source_L	91	98	91	0.9286
injury_residual	AT1_published_400	386	400	113	0.1679
injury_residual	AT2_published_400	386	400	10	0.0129
injury_residual	HALLMARK_P53_PATHWAY	386	200	25	0.0446
injury_residual	HALLMARK_HYPOXIA	386	199	14	0.0245
injury_residual	HALLMARK_INFLAMMATORY_RESPONSE	386	197	8	0.0139
injury_residual	source_D	386	99	0	0.0000
injury_residual	source_I	386	398	386	0.9698
injury_residual	source_L	386	98	0	0.0000
AT1_published_400	AT2_published_400	400	400	68	0.0929
AT1_published_400	HALLMARK_P53_PATHWAY	400	200	17	0.0292
AT1_published_400	HALLMARK_HYPOXIA	400	199	12	0.0204
AT1_published_400	HALLMARK_INFLAMMATORY_RESPONSE	400	197	10	0.0170
AT1_published_400	source_D	400	99	34	0.0731
AT1_published_400	source_I	400	398	119	0.1753
AT1_published_400	source_L	400	98	4	0.0081
AT2_published_400	HALLMARK_P53_PATHWAY	400	200	6	0.0101
AT2_published_400	HALLMARK_HYPOXIA	400	199	10	0.0170
AT2_published_400	HALLMARK_INFLAMMATORY_RESPONSE	400	197	6	0.0102
AT2_published_400	source_D	400	99	16	0.0331
AT2_published_400	source_I	400	398	10	0.0127
AT2_published_400	source_L	400	98	0	0.0000
HALLMARK_P53_PATHWAY	HALLMARK_HYPOXIA	200	199	14	0.0364
HALLMARK_P53_PATHWAY	HALLMARK_INFLAMMATORY_RESPONSE	200	197	12	0.0312
HALLMARK_P53_PATHWAY	source_D	200	99	2	0.0067
HALLMARK_P53_PATHWAY	source_I	200	398	26	0.0455
HALLMARK_P53_PATHWAY	source_L	200	98	12	0.0420
HALLMARK_HYPOXIA	HALLMARK_INFLAMMATORY_RESPONSE	199	197	11	0.0286
HALLMARK_HYPOXIA	source_D	199	99	2	0.0068
HALLMARK_HYPOXIA	source_I	199	398	15	0.0258
HALLMARK_HYPOXIA	source_L	199	98	9	0.0312
HALLMARK_INFLAMMATORY_RESPONSE	source_D	197	99	2	0.0068
HALLMARK_INFLAMMATORY_RESPONSE	source_I	197	398	9	0.0154
HALLMARK_INFLAMMATORY_RESPONSE	source_L	197	98	5	0.0172
source_D	source_I	99	398	5	0.0102
source_D	source_L	99	98	0	0.0000
source_I	source_L	398	98	7	0.0143
