plate	day	segmentation_model	imaging_rows
plate1	day07	SAM1	232
plate1	day14	SAM1	232
plate2	day07	SAM1	230
plate2	day14	SAM1	230
plate3	day07	SAM1	240
plate3	day14	SAM1	239
plate4	day07	SAM1	240
plate4	day14	SAM1	240
