setting	scale	evaluation	comparison	fold	relative_error_reduction
primary	inherited_log2	within_group	proliferation_over_baseline	plate1-rep1	0.0326337680499
primary	inherited_log2	within_group	proliferation_over_baseline	plate1-rep2	0.096584700575
primary	inherited_log2	within_group	proliferation_over_baseline	plate1-rep3	0.0104138196539
primary	inherited_log2	within_group	proliferation_over_baseline	plate1-rep4	0.0411184813154
primary	inherited_log2	within_group	proliferation_over_baseline	plate2-rep2	-0.162705857828
primary	inherited_log2	within_group	proliferation_over_baseline	plate2-rep3	-0.0787395346628
primary	inherited_log2	within_group	proliferation_over_baseline	plate2-rep4	0.034692785712
primary	inherited_log2	within_group	proliferation_over_baseline	plate3-rep1	0.0308777391997
primary	inherited_log2	within_group	proliferation_over_baseline	plate3-rep2	0.082808369659
primary	inherited_log2	within_group	proliferation_over_baseline	plate3-rep3	0.0569289102951
primary	inherited_log2	within_group	proliferation_over_baseline	plate3-rep4	0.0487125111136
primary	inherited_log2	within_group	proliferation_over_baseline	plate4-rep1	-0.1166039044
primary	inherited_log2	within_group	proliferation_over_baseline	plate4-rep2	-0.00371160293168
primary	inherited_log2	within_group	proliferation_over_baseline	plate4-rep3	-0.223856241196
primary	inherited_log2	within_group	proliferation_over_baseline	plate4-rep4	-0.067486198181
primary	inherited_log2	within_group	remaining_over_proliferation	plate1-rep1	0.110986577995
primary	inherited_log2	within_group	remaining_over_proliferation	plate1-rep2	0.14979796343
primary	inherited_log2	within_group	remaining_over_proliferation	plate1-rep3	-0.0107153028526
primary	inherited_log2	within_group	remaining_over_proliferation	plate1-rep4	0.0148470206588
primary	inherited_log2	within_group	remaining_over_proliferation	plate2-rep2	0.0117964537753
primary	inherited_log2	within_group	remaining_over_proliferation	plate2-rep3	0.00848120181939
primary	inherited_log2	within_group	remaining_over_proliferation	plate2-rep4	0.00821860813683
primary	inherited_log2	within_group	remaining_over_proliferation	plate3-rep1	0.0783643431075
primary	inherited_log2	within_group	remaining_over_proliferation	plate3-rep2	0.179940819084
primary	inherited_log2	within_group	remaining_over_proliferation	plate3-rep3	-0.0826408886078
primary	inherited_log2	within_group	remaining_over_proliferation	plate3-rep4	0.0492611715522
primary	inherited_log2	within_group	remaining_over_proliferation	plate4-rep1	0.111832808092
primary	inherited_log2	within_group	remaining_over_proliferation	plate4-rep2	-0.0824840711377
primary	inherited_log2	within_group	remaining_over_proliferation	plate4-rep3	-0.177715709036
primary	inherited_log2	within_group	remaining_over_proliferation	plate4-rep4	0.0557929100403
