setting	scale	plate	model	wells	sse	rmse	r2_against_heldout_mean
drop_TIGIT	inherited_log2	plate1	baseline+proliferation	210	0.642170205882	0.0552987645553	-0.681012280892
drop_TIGIT	inherited_log2	plate1	baseline+remaining_growth	210	0.650574690565	0.0556594530783	-0.703012744068
drop_TIGIT	inherited_log2	plate1	baseline+proliferation+remaining_growth	210	0.378209388527	0.0424381560417	0.00995932069265
drop_TIGIT	inherited_log2	plate2	baseline	157	0.314845637574	0.0447815389037	-3.68994677952
drop_TIGIT	inherited_log2	plate2	baseline+proliferation	157	0.318811602378	0.0450627024146	-3.74902386887
drop_TIGIT	inherited_log2	plate2	baseline+remaining_growth	157	0.276643471515	0.0419769023168	-3.1208865662
drop_TIGIT	inherited_log2	plate2	baseline+proliferation+remaining_growth	157	0.138210402294	0.0296702044772	-1.05878485765
drop_TIGIT	inherited_log2	plate3	baseline	215	0.627142164026	0.0540087057593	-0.20075355297
drop_TIGIT	inherited_log2	plate3	baseline+proliferation	215	0.570999265155	0.051534556713	-0.0932599268664
drop_TIGIT	inherited_log2	plate3	baseline+remaining_growth	215	0.837823785566	0.0624247932843	-0.604133711601
drop_TIGIT	inherited_log2	plate3	baseline+proliferation+remaining_growth	215	0.404388206881	0.0433690601794	0.225740822345
drop_TIGIT	inherited_log2	plate4	baseline	216	0.625951384829	0.05383236088	-12.1495516716
drop_TIGIT	inherited_log2	plate4	baseline+proliferation	216	0.471628189532	0.0467275490522	-8.90763723563
drop_TIGIT	inherited_log2	plate4	baseline+remaining_growth	216	0.739413722787	0.0585082189061	-14.5330896139
drop_TIGIT	inherited_log2	plate4	baseline+proliferation+remaining_growth	216	0.356662039433	0.0406351220685	-6.49250825303
drop_both	deposited_numeric	plate1	baseline	202	26.7107040319	0.363636092926	-0.657024239444
drop_both	deposited_numeric	plate1	baseline+proliferation	202	28.4198329239	0.375089645548	-0.763051695669
drop_both	deposited_numeric	plate1	baseline+remaining_growth	202	28.3335832489	0.374520044334	-0.757701114042
drop_both	deposited_numeric	plate1	baseline+proliferation+remaining_growth	202	16.2179325889	0.283349245622	-0.00609506141791
drop_both	deposited_numeric	plate2	baseline	151	12.8884974234	0.292154561101	-4.57492750984
drop_both	deposited_numeric	plate2	baseline+proliferation	151	13.0198928328	0.293640010636	-4.63176267521
drop_both	deposited_numeric	plate2	baseline+remaining_growth	151	11.140308557	0.271618993926	-3.81874733744
drop_both	deposited_numeric	plate2	baseline+proliferation+remaining_growth	151	4.99838148383	0.181939177011	-1.16205299372
drop_both	deposited_numeric	plate3	baseline	208	23.7238116373	0.337722943724	-0.239165529458
drop_both	deposited_numeric	plate3	baseline+proliferation	208	21.5216120068	0.321666424257	-0.124138066215
drop_both	deposited_numeric	plate3	baseline+remaining_growth	208	35.9251063589	0.415592176893	-0.876475590124
drop_both	deposited_numeric	plate3	baseline+proliferation+remaining_growth	208	14.8271587523	0.266991417612	0.22553321926
drop_both	deposited_numeric	plate4	baseline	208	26.8708023451	0.359425304808	-12.3723897562
drop_both	deposited_numeric	plate4	baseline+proliferation	208	19.8251552223	0.308728434488	-8.866088076
drop_both	deposited_numeric	plate4	baseline+remaining_growth	208	30.7873454387	0.384728584641	-14.3214770991
drop_both	deposited_numeric	plate4	baseline+proliferation+remaining_growth	208	13.8841664277	0.258361762134	-5.90952516139
drop_both	inherited_log2	plate1	baseline	202	0.607910847387	0.0548585420926	-0.676321416798
drop_both	inherited_log2	plate1	baseline+proliferation	202	0.64727473025	0.0566068047833	-0.784867793581
drop_both	inherited_log2	plate1	baseline+remaining_growth	202	0.648719259183	0.0566699345429	-0.788851099353
drop_both	inherited_log2	plate1	baseline+proliferation+remaining_growth	202	0.371468411404	0.0428830098256	-0.0243285777458
drop_both	inherited_log2	plate2	baseline	151	0.294676839362	0.0441758106595	-4.3387076515
drop_both	inherited_log2	plate2	baseline+proliferation	151	0.296867347978	0.044339699221	-4.37839344811
drop_both	inherited_log2	plate2	baseline+remaining_growth	151	0.256908051138	0.0412477614193	-3.65444444603
drop_both	inherited_log2	plate2	baseline+proliferation+remaining_growth	151	0.115260429562	0.0276281396959	-1.08819172403
drop_both	inherited_log2	plate3	baseline	208	0.587627161835	0.0531519574968	-0.217455745551
drop_both	inherited_log2	plate3	baseline+proliferation	208	0.527507682375	0.0503596527669	-0.0928992062317
drop_both	inherited_log2	plate3	baseline+remaining_growth	208	0.848974807094	0.0638874764683	-0.758920151848
drop_both	inherited_log2	plate3	baseline+proliferation+remaining_growth	208	0.361654071644	0.0416979795468	0.250719068108
drop_both	inherited_log2	plate4	baseline	208	0.622612765945	0.0547113389117	-13.3191164862
drop_both	inherited_log2	plate4	baseline+proliferation	208	0.458083747095	0.0469289431714	-9.53520726503
drop_both	inherited_log2	plate4	baseline+remaining_growth	208	0.71471606466	0.0586185544538	-15.4373478094
drop_both	inherited_log2	plate4	baseline+proliferation+remaining_growth	208	0.320865977676	0.0392762637311	-6.37941391842
primary	deposited_numeric	plate1	baseline	232	29.5071521684	0.356631463455	-0.706314730102
primary	deposited_numeric	plate1	baseline+proliferation	232	30.8384181354	0.364587734436	-0.783298056596
primary	deposited_numeric	plate1	baseline+remaining_growth	232	30.9096079223	0.365008313098	-0.787414759599
primary	deposited_numeric	plate1	baseline+proliferation+remaining_growth	232	17.5490928166	0.275032073495	-0.0148141508866
primary	deposited_numeric	plate2	baseline	174	14.9785575214	0.29340017709	-3.96914276247
primary	deposited_numeric	plate2	baseline+proliferation	174	14.9370858086	0.292993721331	-3.95538450428
primary	deposited_numeric	plate2	baseline+remaining_growth	174	13.3913534514	0.277419900953	-3.44258714414
primary	deposited_numeric	plate2	baseline+proliferation+remaining_growth	174	6.58381379642	0.194519948397	-1.1841829982
primary	deposited_numeric	plate3	baseline	239	27.2756335032	0.337822423106	-0.290528837626
primary	deposited_numeric	plate3	baseline+proliferation	239	24.8639076464	0.322541604118	-0.176419599201
primary	deposited_numeric	plate3	baseline+remaining_growth	239	39.2927188404	0.405468471451	-0.859109404969
primary	deposited_numeric	plate3	baseline+proliferation+remaining_growth	239	17.5514563093	0.270992722573	0.169564274029
primary	deposited_numeric	plate4	baseline	240	29.7975188879	0.352358239154	-10.9237684793
primary	deposited_numeric	plate4	baseline+proliferation	240	22.6483830371	0.307194177442	-8.06297187961
primary	deposited_numeric	plate4	baseline+remaining_growth	240	35.1879842803	0.382905472888	-13.0808159024
primary	deposited_numeric	plate4	baseline+proliferation+remaining_growth	240	16.8324448459	0.264830487025	-5.73566735665
primary	inherited_log2	plate1	baseline	232	0.673999084425	0.0538996147236	-0.728408484575
primary	inherited_log2	plate1	baseline+proliferation	232	0.702567746415	0.0550300758839	-0.80167018317
primary	inherited_log2	plate1	baseline+remaining_growth	232	0.709272704007	0.0552920422038	-0.818864428472
primary	inherited_log2	plate1	baseline+proliferation+remaining_growth	232	0.403395958362	0.0416986292652	-0.0344717273173
primary	inherited_log2	plate2	baseline	174	0.342377470569	0.0443586137347	-3.79531785248
