field	value	sample_count
!Sample_characteristics_ch1	batch: plate1-1	60
!Sample_characteristics_ch1	batch: plate1-2	58
!Sample_characteristics_ch1	batch: plate1-3	56
!Sample_characteristics_ch1	batch: plate1-4	58
!Sample_characteristics_ch1	batch: plate2-2	59
!Sample_characteristics_ch1	batch: plate2-3	57
!Sample_characteristics_ch1	batch: plate2-4	58
!Sample_characteristics_ch1	batch: plate3-1	60
!Sample_characteristics_ch1	batch: plate3-2	60
!Sample_characteristics_ch1	batch: plate3-3	60
!Sample_characteristics_ch1	batch: plate3-4	60
!Sample_characteristics_ch1	batch: plate4-1	60
!Sample_characteristics_ch1	batch: plate4-2	60
!Sample_characteristics_ch1	batch: plate4-3	60
!Sample_characteristics_ch1	batch: plate4-4	60
!Sample_characteristics_ch1	cell type: lung mouse alveolar type 2 cells and primary human fibroblasts	886
!Sample_characteristics_ch1	genotype: Acoxl CRISPR/Cas9 knockout	2
!Sample_characteristics_ch1	genotype: Acp6 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Adk CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ager CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ank3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Antxr1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Apc CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Areg CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Atf6 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Atg16l1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Atp11a CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Atp6v0e CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Atp6v1c2 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Bap1 CRISPR/Cas9 knockout	3
