setting	scale	evaluation	fold	model	wells	sse	mse	heldout_targets	unseen_targets	wells_with_unseen_target
drop_both	deposited_numeric	within_group	plate1-rep3	baseline+proliferation+remaining_growth	48	1.39305037928	0.0290218829018	47	0	0
drop_both	deposited_numeric	within_group	plate1-rep4	baseline+proliferation+remaining_growth	50	1.59914851366	0.0319829702732	49	0	0
drop_both	deposited_numeric	within_group	plate2-rep2	baseline+proliferation+remaining_growth	52	0.980501630774	0.0188558005918	52	0	0
drop_both	deposited_numeric	within_group	plate2-rep3	baseline+proliferation+remaining_growth	49	0.729191050159	0.0148814500033	49	0	0
drop_both	deposited_numeric	within_group	plate2-rep4	baseline+proliferation+remaining_growth	50	0.614953619046	0.0122990723809	50	0	0
drop_both	deposited_numeric	within_group	plate3-rep1	baseline+proliferation+remaining_growth	52	2.83752416515	0.0545677724067	51	0	0
drop_both	deposited_numeric	within_group	plate3-rep2	baseline+proliferation+remaining_growth	52	1.70165866991	0.0327242051906	51	0	0
drop_both	deposited_numeric	within_group	plate3-rep3	baseline+proliferation+remaining_growth	52	1.65291331047	0.031786794432	51	0	0
drop_both	deposited_numeric	within_group	plate3-rep4	baseline+proliferation+remaining_growth	52	1.91262443923	0.036781239216	51	0	0
drop_both	deposited_numeric	within_group	plate4-rep1	baseline+proliferation+remaining_growth	52	0.44451884846	0.00854843939347	49	0	0
drop_both	deposited_numeric	within_group	plate4-rep2	baseline+proliferation+remaining_growth	52	0.623408984977	0.0119886343265	49	0	0
drop_both	deposited_numeric	within_group	plate4-rep3	baseline+proliferation+remaining_growth	52	0.656602667493	0.0126269743749	49	0	0
drop_both	deposited_numeric	within_group	plate4-rep4	baseline+proliferation+remaining_growth	52	0.546739647092	0.0105142239825	49	0	0
drop_both	deposited_numeric	plate_shift	plate1	baseline	202	26.7107040319	0.132231208078	51	49	194
drop_both	deposited_numeric	plate_shift	plate2	baseline	151	12.8884974234	0.0853542875722	52	51	148
drop_both	deposited_numeric	plate_shift	plate3	baseline	208	23.7238116373	0.114056786718	51	51	208
