scope	group	libraries	eligible	targets	TDTOMATO	top_target	top_target_wells	epi_total_min	epi_total_median	epi_total_max	fib_total_min	fib_total_median	fib_total_max	epi_fraction_min	epi_fraction_median	epi_fraction_max	xenome_numReadsInput_min	xenome_numReadsInput_median	xenome_numReadsInput_max	organoids_area_mean_day07_min	organoids_area_mean_day07_median	organoids_area_mean_day07_max	organoids_area_mean_day14_min	organoids_area_mean_day14_median	organoids_area_mean_day14_max	organoids_count_day07_min	organoids_count_day07_median	organoids_count_day07_max	organoids_count_day14_min	organoids_count_day14_median	organoids_count_day14_max	log2_area_change_min	log2_area_change_median	log2_area_change_max	xenome_numReadsGraft_fraction_min	xenome_numReadsGraft_fraction_median	xenome_numReadsGraft_fraction_max	xenome_numReadsHost_fraction_min	xenome_numReadsHost_fraction_median	xenome_numReadsHost_fraction_max	xenome_numReadsAmbiguous_fraction_min	xenome_numReadsAmbiguous_fraction_median	xenome_numReadsAmbiguous_fraction_max	xenome_numReadsBoth_fraction_min	xenome_numReadsBoth_fraction_median	xenome_numReadsBoth_fraction_max	xenome_numReadsNeither_fraction_min	xenome_numReadsNeither_fraction_median	xenome_numReadsNeither_fraction_max
plate	plate1	232	232	53	8	TIGIT	22	92	1119441.5	13236235	42	392154.5	2293570	0.4246803753933684	0.7463804033097399	0.954692956028719	631	7546178.0	36100768	6.08598795745337	6.818777884741565	8.46507053444079	7.37441771882202	8.34501074227692	9.81409381323736	17.0	103.0	259.0	10.0	121.0	203.0	0.14393489604780774	0.254440680858377	0.4603203422184796	0.05757610991220535	0.17204946645985814	0.36109216769605906	0.3374116650944084	0.6035819347860318	0.7973946946923517	0.0075303790390537015	0.031192185250264664	0.10753264677778958	0.024396104651871503	0.10004698798802449	0.272078923322927	0.0530431341817014	0.08513165171066736	0.27937832529924655
plate	plate2	174	174	54	6	TIGIT	17	405	1462214.5	13249748	111	601683.0	7261526	0.525139768526147	0.6990105649014757	0.8700999534095112	29966	6667119.0	40575574	6.48010964290748	6.861278143375914	7.33007750277967	8.01247029430217	8.34192712502831	8.96971975764613	25.0	110.0	165.0	27.0	128.0	168.0	0.15939688010820907	0.2472274405031254	0.37743602307996227	0.04046510838167158	0.21630484774849756	0.334237074257466	0.36626506024096384	0.5717698704638635	0.7583825217235098	0.012347326970566641	0.03149336214126813	0.07297728875780506	0.015337355044927507	0.09901551211597055	0.35649757357453227	0.03198332204765381	0.06854666436955648	0.3668490956417273
plate	plate3	240	239	53	8	TIGIT	24	4	952510.5	7344909	1	280403.0	4409390	0.3259928990723554	0.7886076834655049	0.9185062190455224	92	5500968.5	20378115	5.58950610546415	6.791440637150675	7.32262459387542	6.75526340290737	8.76332851075479	9.1835938542601	3.0	102.0	177.0	2.0	152.0	204.0	0.21473282398212	0.32473957309638823	0.5095781678919065	0.05914765234043322	0.15603476583133224	0.4298990161727486	0.3036846106536372	0.5784749124387294	0.8016686473070039	0.009213592759200043	0.037552440748196914	0.15416659185175874	0.017637990233789792	0.12452223557492395	0.3613349791151931	0.02825158252518008	0.06254589057794745	0.2579105920184995
plate	plate4	240	240	51	8	TIGIT	24	25	1332579.5	9133999	10	421249.0	3871694	0.6336622064872182	0.76204506327299	0.9332785534204656	260	6975643.0	26131294	6.29644991997491	6.626959585791511	7.00901871931005	8.58084807311843	8.787492976747405	9.12019548548297	19.0	99.0	162.0	27.0	154.5	190.0	0.2768713878119029	0.360999007739657	0.4273307403168216	0.0804333182643056	0.17388567726467	0.27728484947879467	0.3674331576492841	0.5784410591659567	0.7877221042758304	0.014302674246423936	0.0362870451160273	0.08995376052624748	0.02073302549927607	0.12979844156638592	0.3781487824098289	0.032500084852769305	0.0632348580784074	0.12155891464557983
unit	plate1-rep1	60	60	53	2	TIGIT	6	61256	1270187.0	7587488	22993	342120.5	1351826	0.5566237154246565	0.7711913891173539	0.954692956028719	634895	8320928.5	29870579	6.15607959648935	6.788639388019995	8.131859545277	7.58605180806375	8.287857643495819	9.78836221103578	17.0	101.0	259.0	10.0	119.0	180.0	0.14393489604780774	0.2483840497302925	0.4603203422184796	0.05757610991220535	0.15957977192742678	0.3187770249624825	0.4592318414856	0.6235891292328499	0.7655981650535921	0.0075303790390537015	0.029008860481100435	0.0559997742726781	0.05153683264645197	0.08994399796939032	0.18792272197555246	0.055614576644125	0.08542176009699752	0.27025098638357525
unit	plate1-rep2	58	58	53	2	TIGIT	4	11825	1450377.0	5677029	4106	459231.0	2042104	0.4808178408923826	0.7613715613114557	0.945021995168997	121521	9817288.0	32141238	6.08598795745337	6.818700670980365	8.08491337248978	7.37441771882202	8.300958683556114	9.7719442051694	25.0	106.0	245.0	24.0	120.0	203.0	0.1620558061575741	0.2478877732440692	0.4408561261650341	0.06487726860572446	0.16061050196741122	0.36109216769605906	0.44430518738505725	0.6397876302894019	0.7713060731703011	0.013975435574950252	0.0271388094610258	0.05875832019399187	0.024396104651871503	0.08166930706251424	0.19108267093945316	0.0530431341817014	0.07930000258812589	0.11550175617160147
unit	plate1-rep3	56	56	49	2	TIGIT	6	92	647798.0	1321933	42	332897.0	565753	0.4246803753933684	0.6419550187753428	0.9216701062554034	631	5170634.0	7646768	6.20153607408341	6.8332870021968795	8.46507053444079	7.70626083112822	8.349108911691076	9.7268053146696	20.0	103.0	244.0	22.0	119.5	183.0	0.14877043060838435	0.25517365307494533	0.41782593791031664	0.08508641562936906	0.19960689910938634	0.3215724181128895	0.3374116650944084	0.5321101024333023	0.6542009496346909	0.011564945878367724	0.03833037225986305	0.10753264677778958	0.08411953666991914	0.13015063359219625	0.272078923322927	0.06254454258470306	0.09257116685966939	0.27937832529924655
unit	plate1-rep4	58	58	51	2	TIGIT	6	10697	1655133.5	13236235	3745	494726.5	2293570	0.5327711433696031	0.7719274925662944	0.9441508731363958	158497	8539343.5	36100768	6.1030045022359	6.82141634150328	8.3511544459281	7.91624793875365	8.39309419312484	9.81409381323736	17.0	103.5	223.0	23.0	126.0	181.0	0.18294680524457707	0.26012526905466427	0.4576598663738638	0.05872948147355538	0.16093558366727595	0.2818774458747332	0.44197051048284824	0.6028969234029651	0.7973946946923517	0.013832579925863484	0.031192185250264664	0.0907714341596371	0.037621304898555065	0.0963943646091762	0.23060543555490173	0.06163602946064749	0.08498856339120824	0.19549381792154735
unit	plate2-rep2	59	59	54	2	TIGIT	5	758	1157591.0	7961317	282	542012.0	2601123	0.525139768526147	0.689824712635476	0.8652068815845152	286023	5187684.0	23538843	6.48010964290748	6.86281790209969	7.16555024443231	8.01247029430217	8.24732820876833	8.56489066046801	29.0	112.0	165.0	28.0	127.0	159.0	0.17804645727531954	0.2351406553943276	0.3088659178220685	0.04788073347295779	0.2204000504367798	0.3223715801429044	0.36626506024096384	0.5436842989780518	0.6921775419660218	0.015915519372279578	0.03197116833771552	0.06032505892748236	0.03134432832668677	0.10493392765037003	0.31455451903742276	0.03198332204765381	0.08271510038138993	0.24039162368244002
unit	plate2-rep3	57	57	51	2	TIGIT	6	83090	2588006.0	13249748	26597	1260775.0	7261526	0.5460553317889962	0.6712210203668117	0.8675517266015397	2094212	10021415.0	40575574	6.50463175885587	6.84968130162228	7.28466265231055	8.13526275096841	8.42664827062302	8.96971975764613	25.0	107.0	142.0	27.0	129.0	168.0	0.19241799637275614	0.2651566686200324	0.37743602307996227	0.09784252979163523	0.2654346591265926	0.334237074257466	0.4600370845057181	0.5754407863196276	0.7080157810408948	0.014431620718797165	0.02959411945415472	0.07297728875780506	0.015337355044927507	0.08381159586476405	0.29813314347372033	0.03618544827362273	0.05515819750488154	0.07724691463127
