symbol	feature_id
Itgb6	ENSMUSG00000026971
Krt8	ENSMUSG00000049382
Krt19	ENSMUSG00000020911
Cldn4	ENSMUSG00000047501
Ager	ENSMUSG00000015452
Sftpc	ENSMUSG00000022097
Cdkn1a	ENSMUSG00000023067
Krt7	ENSMUSG00000023039
