symbol	feature_id	retained	logFC	FDR
Itgb6	ENSMUSG00000026971	True	-0.811384330855072	0.143215839482932
Krt8	ENSMUSG00000049382	True	-0.565972926844468	0.170847337792879
Krt19	ENSMUSG00000020911	True	-0.604238049998378	0.206089701267462
Cldn4	ENSMUSG00000047501	True	-0.980733302945048	0.115684224327714
Ager	ENSMUSG00000015452	True	0.255461442095947	0.707328896478624
Sftpc	ENSMUSG00000022097	True	0.659063588926568	0.387363335290008
Cdkn1a	ENSMUSG00000023067	True	-0.902880759378536	0.104132329142235
Krt7	ENSMUSG00000023039	True	-0.52551846419124	0.127528303291277
