gene_set	source_symbols	mapped_symbols	tested_symbols	unique_tested_genes	fraction_tested	eligible
TGFbeta	49	49	47	47	0.959183673469388	TRUE
Gene Ontology 0006986	102	102	94	94	0.92156862745098	TRUE
T-UPR	8	7	6	6	0.75	FALSE
