gene_set	symbol	feature_id	retained
Gene Ontology 0006986	Hspa13	ENSMUSG00000032932	TRUE
Gene Ontology 0006986	Hspa14	ENSMUSG00000109865	FALSE
Gene Ontology 0006986	Hspa1a	ENSMUSG00000091971	TRUE
Gene Ontology 0006986	Hspa1b	ENSMUSG00000090877	TRUE
Gene Ontology 0006986	Hspa1l	ENSMUSG00000007033	FALSE
Gene Ontology 0006986	Hspa2	ENSMUSG00000059970	TRUE
Gene Ontology 0006986	Hspa4l	ENSMUSG00000025757	TRUE
Gene Ontology 0006986	Hspa5	ENSMUSG00000026864	TRUE
Gene Ontology 0006986	Hspa8	ENSMUSG00000015656	TRUE
Gene Ontology 0006986	Hspa9	ENSMUSG00000024359	TRUE
Gene Ontology 0006986	Hspb1	ENSMUSG00000004951	TRUE
Gene Ontology 0006986	Hspb8	ENSMUSG00000041548	TRUE
Gene Ontology 0006986	Hspd1	ENSMUSG00000025980	TRUE
Gene Ontology 0006986	Hsph1	ENSMUSG00000029657	TRUE
Gene Ontology 0006986	Ifng	ENSMUSG00000055170	FALSE
Gene Ontology 0006986	Jkamp	ENSMUSG00000005078	TRUE
Gene Ontology 0006986	Manf	ENSMUSG00000032575	TRUE
Gene Ontology 0006986	Mfn2	ENSMUSG00000029020	TRUE
Gene Ontology 0006986	Nfe2l2	ENSMUSG00000015839	TRUE
Gene Ontology 0006986	Optn	ENSMUSG00000026672	TRUE
Gene Ontology 0006986	Pacrg	ENSMUSG00000037196	TRUE
Gene Ontology 0006986	Parp16	ENSMUSG00000032392	TRUE
Gene Ontology 0006986	Pmp22	ENSMUSG00000018217	TRUE
Gene Ontology 0006986	Ppp1r15a	ENSMUSG00000040435	TRUE
Gene Ontology 0006986	Ptpn1	ENSMUSG00000027540	TRUE
Gene Ontology 0006986	Qrich1	ENSMUSG00000006673	TRUE
Gene Ontology 0006986	Rhbdd1	ENSMUSG00000026142	TRUE
Gene Ontology 0006986	Selenos	ENSMUSG00000075701	TRUE
Gene Ontology 0006986	Serp1	ENSMUSG00000027808	TRUE
Gene Ontology 0006986	Serp2	ENSMUSG00000052584	TRUE
Gene Ontology 0006986	Stc2	ENSMUSG00000020303	TRUE
Gene Ontology 0006986	Stt3b	ENSMUSG00000032437	TRUE
Gene Ontology 0006986	Stub1	ENSMUSG00000039615	FALSE
Gene Ontology 0006986	Syvn1	ENSMUSG00000024807	TRUE
Gene Ontology 0006986	Tbl2	ENSMUSG00000005374	TRUE
Gene Ontology 0006986	Thbs1	ENSMUSG00000040152	TRUE
Gene Ontology 0006986	Thbs4	ENSMUSG00000021702	FALSE
Gene Ontology 0006986	Tm7sf3	ENSMUSG00000040234	TRUE
Gene Ontology 0006986	Tmbim6	ENSMUSG00000023010	TRUE
Gene Ontology 0006986	Tmed2	ENSMUSG00000029390	TRUE
Gene Ontology 0006986	Tmem129	ENSMUSG00000019295	TRUE
Gene Ontology 0006986	Tmtc4	ENSMUSG00000041594	TRUE
Gene Ontology 0006986	Tram1	ENSMUSG00000025935	TRUE
Gene Ontology 0006986	Ube2j2	ENSMUSG00000023286	TRUE
Gene Ontology 0006986	Ubxn4	ENSMUSG00000026353	TRUE
Gene Ontology 0006986	Umod	ENSMUSG00000030963	FALSE
Gene Ontology 0006986	Upf2	ENSMUSG00000043241	TRUE
Gene Ontology 0006986	Upf3a	ENSMUSG00000038398	TRUE
Gene Ontology 0006986	Upf3b	ENSMUSG00000036572	TRUE
Gene Ontology 0006986	Vapb	ENSMUSG00000054455	TRUE
Gene Ontology 0006986	Wfs1	ENSMUSG00000039474	TRUE
Gene Ontology 0006986	Xbp1	ENSMUSG00000020484	TRUE
Gene Ontology 0006986	Yod1	ENSMUSG00000046404	TRUE
T-UPR	Atf4	ENSMUSG00000042406	TRUE
T-UPR	Bax	ENSMUSG00000003873	TRUE
T-UPR	Bbc3	ENSMUSG00000002083	TRUE
T-UPR	Bcl2l11	ENSMUSG00000027381	TRUE
T-UPR	Ddit3	ENSMUSG00000116429	FALSE
T-UPR	Pmaip1	ENSMUSG00000024521	TRUE
T-UPR	Spa5	unmapped	FALSE
T-UPR	Txnip	ENSMUSG00000038393	TRUE
