component	variance_fraction
1	0.894658919975975
2	0.0289265060447968
3	0.0241843095332882
4	0.0214784640333768
5	0.0129394319810004
6	0.00773897979418271
7	0.00415363052011684
8	0.0031846978655802
9	0.00273506025168296
10	6.47031202769037e-32
