	(Intercept)	batchS135	sexM	groupKIRA8
1	1	0	0	0
2	1	0	0	0
3	1	0	1	0
4	1	0	0	1
5	1	0	0	1
6	1	0	1	1
7	1	1	1	0
8	1	1	1	0
9	1	1	1	1
10	1	1	1	1
