deposit,file,suffix,assumed_well,cpm10k_Cldn4,cpm10k_Fos,cpm10k_Cebpa
GSE310539,totalaggr,1,wildtype_PBS,0.022,5.12,0.881
GSE310539,totalaggr,2,wildtype_SeV,0.236,5.511,0.737
GSE310539,totalaggr,3,AP1mut_PBS,0.023,1.395,1.355
GSE310539,totalaggr,4,AP1mut_SeV,0.12,1.371,1.176
GSE247130,7wk,2,7wk_control,0.086,6.549,0.059
GSE247130,7wk,1,7wk_mutant,0.055,7.252,0.646
GSE247130,P9,1,P9_mutant,0.242,11.088,0.964
GSE247130,P9,2,P9_control,0.404,9.708,0.066
GSE247130,SeV,1,SeV_mutant,0.065,2.7,0.204
GSE247130,SeV,2,SeV_control,0.273,2.105,0.046
