gene,flox_plus,flox_flox,c2_verdict,retention_pct,reading
Runx1,0.5599,0.5434,Areg-independent,97.1,retained
Pdgfrb,0.4519,0.3886,Areg-independent,86.0,retained
Acta2,0.2786,0.2149,collapses,77.1,falls by about a quarter
Tnc,0.1828,0.1381,collapses,75.5,falls by about a quarter
Fst,0.3361,0.1425,collapses,42.4,falls by more than half
Runx2,0.1754,0.0691,collapses,39.4,falls by more than half
