role	endpoint	units	median_difference	positive_units	positive_fraction	minimum_leave_one_out_median	criterion_met
D1	destination	9	0.027348780487804869	9	1	0.02625019913846377	True
D1	start	9	0.037170079454033278	9	1	0.036460203403275937	True
D2	destination	11	0.037911577323606394	11	1	0.037213373911456127	True
D2	start	11	0.033167443226578608	10	0.90909090909090906	0.032553824680165988	True
V1	destination	3	-0.0009140661342003642	1	0.33333333333333331	-0.0029293497059889317	False
V1	start	3	0.0026936437355641329	2	0.66666666666666663	0.00078605947683202393	True
