role	endpoint	omitted_unit	median_difference
D1	destination	D10-E1	0.028042197422856907
D1	destination	D11-E1	0.02625019913846377
D1	destination	D11-E2	0.02625019913846377
D1	destination	D12-E1	0.028042197422856907
D1	destination	D12-E2	0.028042197422856907
D1	destination	D13-E1	0.028042197422856907
D1	destination	D13-E2	0.02625019913846377
D1	destination	D15-E1	0.02625019913846377
D1	destination	D15-E2	0.026943616073515808
D1	start	D10-E1	0.038264549990355334
D1	start	D11-E1	0.036460203403275937
D1	start	D11-E2	0.036460203403275937
D1	start	D12-E1	0.038264549990355334
D1	start	D12-E2	0.038264549990355334
D1	start	D13-E1	0.038264549990355334
D1	start	D13-E2	0.036460203403275937
D1	start	D15-E1	0.036460203403275937
D1	start	D15-E2	0.037554673939597993
D2	destination	donor11	0.037213373911456127
D2	destination	donor12	0.037213373911456127
D2	destination	donor14	0.043438543669049701
D2	destination	donor15	0.037213373911456127
D2	destination	donor16	0.044136747081199967
D2	destination	donor17	0.037213373911456127
D2	destination	donor3	0.044136747081199967
D2	destination	donor4	0.037213373911456127
D2	destination	donor5	0.044136747081199967
D2	destination	donor6	0.044136747081199967
D2	destination	donor8	0.044136747081199967
D2	start	donor11	0.032553824680165988
D2	start	donor12	0.032553824680165988
D2	start	donor14	0.038050286325540028
D2	start	donor15	0.032553824680165988
D2	start	donor16	0.037436667779127408
D2	start	donor17	0.032553824680165988
D2	start	donor3	0.038050286325540028
D2	start	donor4	0.032553824680165988
D2	start	donor5	0.038050286325540028
D2	start	donor6	0.038050286325540028
D2	start	donor8	0.038050286325540028
V1	destination	Control-Mouse1	-0.0029293497059889317
V1	destination	Control-Mouse3	-0.00044004264790037384
V1	destination	Control-Mouse4	0.0015752409238881937
V1	start	Control-Mouse1	0.00078605947683202393
V1	start	Control-Mouse3	0.0032033834244080128
V1	start	Control-Mouse4	0.0051109676831401218
