unit	start	intermediate	destination	eligible	role
D10-E1	374	84	66	True	D1
D10-E2	59	74	14	False	D1
D11-E1	45	98	40	True	D1
D11-E2	189	93	42	True	D1
D12-E1	347	109	62	True	D1
D12-E2	169	87	40	True	D1
D13-E1	189	116	98	True	D1
D13-E2	167	78	70	True	D1
D15-E1	380	59	50	True	D1
D15-E2	269	82	60	True	D1
donor1	28	21	24	False	D2
donor10	46	24	72	False	D2
donor11	69	101	60	True	D2
donor12	68	78	46	True	D2
donor13	68	28	61	False	D2
donor14	177	58	59	True	D2
donor15	94	66	45	True	D2
donor16	88	46	70	True	D2
donor17	212	422	158	True	D2
donor2	24	32	37	False	D2
donor3	58	91	71	True	D2
donor4	52	77	69	True	D2
donor5	124	144	300	True	D2
donor6	142	136	191	True	D2
donor7	19	30	46	False	D2
donor8	69	54	65	True	D2
donor9	27	47	86	False	D2
Control-Mouse1	200	35	36	True	V1
Control-Mouse2	36	4	26	False	V1
Control-Mouse3	227	53	94	True	V1
Control-Mouse4	135	72	161	True	V1
