donor	capture	age_pcw	GEO_sample	GEO_age_pcw
donor1	10X180_1	5	GSM6645130	5.0
donor10	10x285_3	10	GSM6645155	10.0
donor10	10x285_4	10	GSM6645156	10.0
donor11	10X272_1	11.5	GSM6645149	11.5
donor11	10X272_2	11.5	GSM6645150	11.5
donor11	10X272_3	11.5	GSM6645151	11.5
donor11	10X272_4	11.5	GSM6645152	11.5
donor12	10X274_2	11.5	GSM6645153	11.5
donor12	10X274_3	11.5	GSM6645154	11.5
donor13	10X189_1	12	GSM6645131	12.0
donor13	10X189_2	12	GSM6645132	12.0
donor14	10X263_1	12	GSM6645146	12.0
donor14	10X263_2	12	GSM6645147	12.0
donor14	10X263_3	12	GSM6645148	12.0
donor15	10X214_1	13	GSM6645133	13.0
donor15	10X214_2	13	GSM6645134	13.0
donor16	10X247_1	13	GSM6645135	13.0
donor16	10X247_2	13	GSM6645136	13.0
donor16	10X247_3	13	GSM6645137	13.0
donor16	10X247_4	13	GSM6645138	13.0
donor17	10X253_3	14	GSM6645139	14.0
donor17	10X253_4	14	GSM6645140	14.0
donor17	10X253_5	14	GSM6645141	14.0
donor17	10X253_6	14	GSM6645142	14.0
donor17	10X253_7	14	GSM6645143	14.0
donor17	10X253_8	14	GSM6645144	14.0
donor17	10X256_1	14	GSM6645145	14.0
donor2	10x303_3	5.5	GSM6645163	5.5
donor2	10x303_4	5.5	GSM6645164	5.5
donor3	10X151_1	6	GSM6645127	6.0
donor4	10x289_3	6	GSM6645157	6.0
donor4	10x289_4	6	GSM6645158	6.0
donor5	10x299_3	7	GSM6645159	7.0
donor5	10x299_4	7	GSM6645160	7.0
donor6	10x299_5	7	GSM6645161	7.0
donor6	10x299_6	7	GSM6645162	7.0
donor7	10X158_3	8	GSM6645128	8.0
donor8	10X140_1	8.5	GSM6645126	8.5
donor9	10X166_2	8.5	GSM6645129	8.5
