display_order	cumulative_gate	genes_remaining
1	Common one-to-one orthologs	11590
2	After fixed marker / symbol exclusions	11468
3	Intermediate detection in both contexts	7102
4	Repair: intermediate > AT2	4529
5	Repair: intermediate > AT1	2422
6	Development: intermediate > distal	609
7	Development: intermediate > proximal	134
