deposit,well,injured,role,cells,rna_budget_retention,after_filter,labelled,reference,labelled_pct
GSE310539,wildtype_PBS,False,negative control,7340,0.762,5492,18,5474,0.33
GSE310539,wildtype_SeV,True,test,8093,0.793,4578,80,4498,1.75
GSE310539,AP1mut_PBS,False,negative control,13622,0.6,8134,18,8116,0.22
GSE310539,AP1mut_SeV,True,test,10794,0.736,7444,55,7389,0.74
GSE247130,P9_control,False,excluded by R11,12186,0.914,10475,387,10088,3.69
GSE247130,P9_Cebpa_mutant,False,excluded by R11,11272,0.938,10252,827,9425,8.07
GSE247130,7wk_control,False,negative control,7589,0.88,6483,55,6428,0.85
GSE247130,7wk_Cebpa_mutant,False,negative control,10838,0.844,9016,140,8876,1.55
GSE247130,SeV_control,True,test,11773,0.6,6344,44,6297,0.69
GSE247130,SeV_Cebpa_mutant,True,test,10636,0.779,7851,400,7408,5.09
