sample_id,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9
EEM-scRNA-113,34.551,2.403,4.775,0.0,13.889,2.372,7.772,3.371,2.31,0.437,1.998,0.094,0.406,1.467,1.904,6.273,0.125,1.436,0.78,0.499,0.062,0.031,0.343,2.341,5.556,1.186,1.03,1.124,1.467
EEM-scRNA-116,3.736,10.918,1.557,0.0,2.646,3.18,17.3,6.916,1.379,0.378,1.134,0.133,3.958,2.446,6.204,3.069,0.044,1.712,1.868,1.601,0.022,0.022,18.857,1.268,3.691,0.4,1.579,1.757,2.224
EEM-scRNA-117,0.251,19.469,3.969,0.021,1.462,2.193,21.537,6.267,1.212,3.698,1.003,1.024,1.817,2.277,8.314,1.985,0.021,0.606,1.065,0.919,0.0,0.0,13.286,0.856,1.88,0.668,1.253,1.065,1.88
EEM-scRNA-118,0.44,13.962,2.914,0.0,4.34,2.034,14.948,3.941,2.39,1.635,1.279,0.294,0.734,4.612,3.438,4.633,4.298,0.545,1.069,0.86,0.105,0.147,17.547,5.681,2.662,1.426,0.964,0.881,2.222
EEM-scRNA-124,0.054,13.562,2.151,0.0,6.754,1.117,15.005,3.813,1.443,2.179,1.035,0.354,0.218,2.151,7.081,2.397,0.0,0.735,0.408,1.334,0.0,0.0,24.782,7.081,1.77,1.008,0.844,0.708,2.015
EEM-scRNA-125,0.065,16.376,3.534,0.0,4.051,2.499,27.192,4.137,2.521,1.767,1.077,1.293,0.172,1.767,4.891,3.103,0.0,1.314,1.314,0.237,0.043,0.0,14.911,1.961,1.767,1.077,0.625,0.84,1.465
EEM-scRNA-126,0.364,25.326,3.123,0.0,5.39,2.011,17.668,4.406,1.112,2.203,0.321,7.957,0.021,1.305,9.519,1.476,0.0,1.519,1.155,0.0,0.021,0.342,6.652,2.674,2.053,1.176,0.406,0.428,1.369
EEM-scRNA-127,0.279,33.95,1.652,0.0,4.398,2.826,14.01,3.025,1.413,2.03,0.816,0.04,0.06,1.552,6.03,1.473,0.0,0.856,0.637,1.055,0.0,0.04,10.846,6.428,1.512,1.99,0.219,0.418,2.448
EEM-scRNA-158,0.427,19.836,5.198,0.0,5.472,3.608,13.492,3.215,4.207,3.505,0.701,0.291,0.188,0.445,9.815,4.036,0.0,1.368,0.479,0.855,0.051,0.051,0.855,10.003,4.566,3.437,1.231,0.923,1.744
