leiden_cluster,AF1,AF2,AT1,AT1_AT2,AT2,Adventitial_fibroblast,Alveolar_transitional,Arterial_endothelium,B_lymphocyte,CAP1,CAP2,Ciliated,Krt5,Lymphatic_endothelium,Mesothelium,NK_cell,Neutrophil,Peribronchial_fibroblast,Plasma_cell,Secretory,T_lymphocyte,VSMC,Venous_endothelium,aMAC,cDC1,cDC2,cMON,iMAC,iMON,maDC,pMON
0,0.0005685048322910744,0.0002842524161455372,0.0,0.0,0.0,0.0,0.0,0.013644115974985787,0.0,0.8916998294485503,0.08300170551449687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002842524161455372,0.0,0.0005685048322910744,0.0,0.009948834565093803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.169098640873843e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.008296506295338948,0.0,0.9776536312849162,0.0005002918369048612,0.0,0.0,8.338197281747686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013424497623613774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0004867364322219518,0.003163786809442687,0.10172791433438792,0.797274275979557,0.0,0.048430275006084204,0.0,0.0,0.002677050377220735,0.0002433682161109759,0.0,0.0014602092966658554,0.0,0.0,0.0,0.0,0.0,0.0002433682161109759,0.04380627889997566,0.0,0.0,0.0004867364322219518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.9275136399064692,0.000779423226812159,0.0,0.0,0.0,0.05533904910366329,0.0,0.0,0.000779423226812159,0.005455962587685113,0.000779423226812159,0.0,0.0,0.0,0.0,0.0,0.0,0.005455962587685113,0.0,0.003897116134060795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000275027502750275,0.0,0.0,0.0,0.0,0.0,0.12266226622662266,0.000275027502750275,0.0,0.0,0.0,0.8765126512651266,0.0,0.0,0.0,0.000275027502750275,0.0,0.0,0.0,0.0,0.0,0.0
14,0.9570172243326222,0.0004162980694177031,0.0,0.0,0.00020814903470885154,0.040693136285580474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011448196908986834,0.0,0.0,0.0005203725867721289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.02019402098594338,0.0,0.0,0.0,0.0,0.9762423282518313,0.0,0.0,0.00019798059790140566,0.0,0.0,0.0,0.0,0.0,0.002375767174816868,0.0,0.0,0.0007919223916056226,0.0,0.0,0.0,0.00019798059790140566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.975964225824483,0.006148686416992733,0.0005589714924538849,0.0,0.016769144773616546,0.0,0.0,0.0005589714924538849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000248015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.9461805555555556,0.0,0.0,0.0,0.000248015873015873,0.053075396825396824,0.0,0.000248015873015873
