sample_id,cluster,pct,condition
EEM-scRNA-180,11,0.0,H1N1_infected
EEM-scRNA-181,11,0.0,H1N1_infected
EEM-scRNA-182,11,0.0,H1N1_infected
EEM-scRNA-236,11,0.0,H1N1_infected
EEM-scRNA-237,11,0.0,H1N1_infected
EEM-scRNA-238,11,0.0,H1N1_infected
EEM-scRNA-239,11,0.0,H1N1_infected
EEM-scRNA-249,11,0.0,unannotated
EEM-scRNA-250,11,0.0,unannotated
EEM-scRNA-251,11,0.0,unannotated
EEM-scRNA-288,11,0.0,unannotated
EEM-scRNA-289,11,0.0,unannotated
EEM-scRNA-290,11,0.0,unannotated
EEM-scRNA-291,11,0.0,unannotated
EEM-scRNA-292,11,0.0,unannotated
EEM-scRNA-310,11,0.0,H1N1_infected
EEM-scRNA-311,11,0.0,H1N1_infected
EEM-scRNA-312,11,0.0,H1N1_infected
EEM-scRNA-113,12,13.889,H1N1_infected
EEM-scRNA-116,12,2.646,H1N1_infected
EEM-scRNA-117,12,1.462,H1N1_infected
EEM-scRNA-118,12,4.34,H1N1_infected
EEM-scRNA-124,12,6.754,H1N1_infected
EEM-scRNA-125,12,4.051,H1N1_infected
EEM-scRNA-126,12,5.39,H1N1_infected
EEM-scRNA-127,12,4.398,H1N1_infected
EEM-scRNA-158,12,5.472,homeostasis
EEM-scRNA-162,12,10.837,H1N1_infected
EEM-scRNA-166,12,2.008,homeostasis
EEM-scRNA-167,12,2.819,H1N1_infected
EEM-scRNA-170,12,0.659,H1N1_infected
EEM-scRNA-172,12,2.319,H1N1_infected
EEM-scRNA-179,12,3.13,H1N1_infected
EEM-scRNA-180,12,2.388,H1N1_infected
EEM-scRNA-181,12,3.227,H1N1_infected
EEM-scRNA-182,12,2.731,H1N1_infected
EEM-scRNA-236,12,5.45,H1N1_infected
EEM-scRNA-237,12,2.645,H1N1_infected
EEM-scRNA-238,12,6.156,H1N1_infected
EEM-scRNA-239,12,2.895,H1N1_infected
EEM-scRNA-249,12,2.296,unannotated
EEM-scRNA-250,12,2.008,unannotated
EEM-scRNA-251,12,3.19,unannotated
EEM-scRNA-288,12,2.589,unannotated
EEM-scRNA-289,12,0.41,unannotated
EEM-scRNA-290,12,2.474,unannotated
EEM-scRNA-291,12,5.081,unannotated
EEM-scRNA-292,12,6.118,unannotated
EEM-scRNA-310,12,6.051,H1N1_infected
EEM-scRNA-311,12,3.981,H1N1_infected
EEM-scRNA-312,12,5.233,H1N1_infected
EEM-scRNA-113,13,2.372,H1N1_infected
EEM-scRNA-116,13,3.18,H1N1_infected
EEM-scRNA-117,13,2.193,H1N1_infected
EEM-scRNA-118,13,2.034,H1N1_infected
EEM-scRNA-124,13,1.117,H1N1_infected
EEM-scRNA-125,13,2.499,H1N1_infected
EEM-scRNA-126,13,2.011,H1N1_infected
EEM-scRNA-127,13,2.826,H1N1_infected
EEM-scRNA-158,13,3.608,homeostasis
EEM-scRNA-162,13,3.017,H1N1_infected
EEM-scRNA-166,13,3.216,homeostasis
EEM-scRNA-167,13,6.722,H1N1_infected
EEM-scRNA-170,13,4.764,H1N1_infected
EEM-scRNA-172,13,5.102,H1N1_infected
EEM-scRNA-179,13,2.44,H1N1_infected
EEM-scRNA-180,13,1.455,H1N1_infected
EEM-scRNA-181,13,4.515,H1N1_infected
EEM-scRNA-182,13,4.334,H1N1_infected
EEM-scRNA-236,13,3.245,H1N1_infected
EEM-scRNA-237,13,3.238,H1N1_infected
EEM-scRNA-238,13,1.456,H1N1_infected
EEM-scRNA-239,13,2.909,H1N1_infected
EEM-scRNA-249,13,4.466,unannotated
EEM-scRNA-250,13,3.727,unannotated
EEM-scRNA-251,13,3.573,unannotated
EEM-scRNA-288,13,8.075,unannotated
EEM-scRNA-289,13,3.496,unannotated
EEM-scRNA-290,13,7.276,unannotated
EEM-scRNA-291,13,4.376,unannotated
EEM-scRNA-292,13,3.173,unannotated
EEM-scRNA-310,13,1.472,H1N1_infected
EEM-scRNA-311,13,3.48,H1N1_infected
EEM-scRNA-312,13,3.042,H1N1_infected
EEM-scRNA-113,14,7.772,H1N1_infected
EEM-scRNA-116,14,17.3,H1N1_infected
EEM-scRNA-117,14,21.537,H1N1_infected
EEM-scRNA-118,14,14.948,H1N1_infected
EEM-scRNA-124,14,15.005,H1N1_infected
EEM-scRNA-125,14,27.192,H1N1_infected
EEM-scRNA-126,14,17.668,H1N1_infected
EEM-scRNA-127,14,14.01,H1N1_infected
EEM-scRNA-158,14,13.492,homeostasis
EEM-scRNA-162,14,3.66,H1N1_infected
EEM-scRNA-166,14,14.286,homeostasis
EEM-scRNA-167,14,13.191,H1N1_infected
EEM-scRNA-170,14,12.755,H1N1_infected
EEM-scRNA-172,14,13.894,H1N1_infected
EEM-scRNA-179,14,18.868,H1N1_infected
EEM-scRNA-180,14,13.601,H1N1_infected
EEM-scRNA-181,14,13.887,H1N1_infected
EEM-scRNA-182,14,15.532,H1N1_infected
EEM-scRNA-236,14,17.513,H1N1_infected
EEM-scRNA-237,14,24.157,H1N1_infected
EEM-scRNA-238,14,13.509,H1N1_infected
EEM-scRNA-239,14,22.903,H1N1_infected
EEM-scRNA-249,14,14.247,unannotated
EEM-scRNA-250,14,13.452,unannotated
EEM-scRNA-251,14,13.108,unannotated
EEM-scRNA-288,14,21.295,unannotated
EEM-scRNA-289,14,7.859,unannotated
EEM-scRNA-290,14,13.941,unannotated
EEM-scRNA-291,14,17.262,unannotated
EEM-scRNA-292,14,15.248,unannotated
EEM-scRNA-310,14,11.698,H1N1_infected
EEM-scRNA-311,14,13.558,H1N1_infected
EEM-scRNA-312,14,17.463,H1N1_infected
EEM-scRNA-113,15,3.371,H1N1_infected
EEM-scRNA-116,15,6.916,H1N1_infected
EEM-scRNA-117,15,6.267,H1N1_infected
EEM-scRNA-118,15,3.941,H1N1_infected
EEM-scRNA-124,15,3.813,H1N1_infected
EEM-scRNA-125,15,4.137,H1N1_infected
EEM-scRNA-126,15,4.406,H1N1_infected
EEM-scRNA-127,15,3.025,H1N1_infected
EEM-scRNA-158,15,3.215,homeostasis
EEM-scRNA-162,15,1.25,H1N1_infected
EEM-scRNA-166,15,4.709,homeostasis
EEM-scRNA-167,15,3.054,H1N1_infected
EEM-scRNA-170,15,4.676,H1N1_infected
EEM-scRNA-172,15,4.934,H1N1_infected
EEM-scRNA-179,15,3.112,H1N1_infected
EEM-scRNA-180,15,1.642,H1N1_infected
EEM-scRNA-181,15,2.514,H1N1_infected
EEM-scRNA-182,15,3.878,H1N1_infected
EEM-scRNA-236,15,2.849,H1N1_infected
EEM-scRNA-237,15,9.917,H1N1_infected
EEM-scRNA-238,15,2.506,H1N1_infected
EEM-scRNA-239,15,6.439,H1N1_infected
EEM-scRNA-249,15,3.019,unannotated
EEM-scRNA-250,15,3.238,unannotated
EEM-scRNA-251,15,2.998,unannotated
EEM-scRNA-288,15,5.213,unannotated
EEM-scRNA-289,15,2.266,unannotated
EEM-scRNA-290,15,3.522,unannotated
EEM-scRNA-291,15,4.863,unannotated
EEM-scRNA-292,15,4.921,unannotated
EEM-scRNA-310,15,2.299,H1N1_infected
EEM-scRNA-311,15,4.026,H1N1_infected
EEM-scRNA-312,15,5.02,H1N1_infected
EEM-scRNA-113,16,2.31,H1N1_infected
EEM-scRNA-116,16,1.379,H1N1_infected
EEM-scRNA-117,16,1.212,H1N1_infected
EEM-scRNA-118,16,2.39,H1N1_infected
EEM-scRNA-124,16,1.443,H1N1_infected
EEM-scRNA-125,16,2.521,H1N1_infected
EEM-scRNA-126,16,1.112,H1N1_infected
EEM-scRNA-127,16,1.413,H1N1_infected
EEM-scRNA-158,16,4.207,homeostasis
EEM-scRNA-162,16,1.393,H1N1_infected
EEM-scRNA-166,16,3.82,homeostasis
EEM-scRNA-167,16,3.415,H1N1_infected
EEM-scRNA-170,16,2.744,H1N1_infected
EEM-scRNA-172,16,3.542,H1N1_infected
EEM-scRNA-179,16,1.592,H1N1_infected
EEM-scRNA-180,16,1.082,H1N1_infected
EEM-scRNA-181,16,1.35,H1N1_infected
EEM-scRNA-182,16,2.367,H1N1_infected
EEM-scRNA-236,16,3.542,H1N1_infected
EEM-scRNA-237,16,0.949,H1N1_infected
EEM-scRNA-238,16,6.34,H1N1_infected
EEM-scRNA-239,16,1.341,H1N1_infected
EEM-scRNA-249,16,2.513,unannotated
EEM-scRNA-250,16,2.196,unannotated
EEM-scRNA-251,16,2.946,unannotated
EEM-scRNA-288,16,2.385,unannotated
EEM-scRNA-289,16,1.109,unannotated
EEM-scRNA-290,16,3.376,unannotated
EEM-scRNA-291,16,3.136,unannotated
EEM-scRNA-292,16,3.108,unannotated
EEM-scRNA-310,16,7.503,H1N1_infected
EEM-scRNA-311,16,4.982,H1N1_infected
EEM-scRNA-312,16,3.894,H1N1_infected
EEM-scRNA-113,17,0.437,H1N1_infected
EEM-scRNA-116,17,0.378,H1N1_infected
EEM-scRNA-117,17,3.698,H1N1_infected
EEM-scRNA-118,17,1.635,H1N1_infected
EEM-scRNA-124,17,2.179,H1N1_infected
EEM-scRNA-125,17,1.767,H1N1_infected
EEM-scRNA-126,17,2.203,H1N1_infected
