sample_id,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9
EEM-scRNA-113,1107,77,153,0,445,76,249,108,74,14,64,3,13,47,61,201,4,46,25,16,2,1,11,75,178,38,33,36,47
EEM-scRNA-116,168,491,70,0,119,143,778,311,62,17,51,6,178,110,279,138,2,77,84,72,1,1,848,57,166,18,71,79,100
EEM-scRNA-117,12,932,190,1,70,105,1031,300,58,177,48,49,87,109,398,95,1,29,51,44,0,0,636,41,90,32,60,51,90
EEM-scRNA-118,21,666,139,0,207,97,713,188,114,78,61,14,35,220,164,221,205,26,51,41,5,7,837,271,127,68,46,42,106
EEM-scRNA-124,2,498,79,0,248,41,551,140,53,80,38,13,8,79,260,88,0,27,15,49,0,0,910,260,65,37,31,26,74
EEM-scRNA-125,3,760,164,0,188,116,1262,192,117,82,50,60,8,82,227,144,0,61,61,11,2,0,692,91,82,50,29,39,68
EEM-scRNA-126,17,1184,146,0,252,94,826,206,52,103,15,372,1,61,445,69,0,71,54,0,1,16,311,125,96,55,19,20,64
EEM-scRNA-127,14,1706,83,0,221,142,704,152,71,102,41,2,3,78,303,74,0,43,32,53,0,2,545,323,76,100,11,21,123
EEM-scRNA-158,25,1160,304,0,320,211,789,188,246,205,41,17,11,26,574,236,0,80,28,50,3,3,50,585,267,201,72,54,102
EEM-scRNA-162,2460,131,178,0,607,169,205,70,78,13,29,0,12,47,52,301,0,56,30,17,1,0,40,121,699,138,3,59,85
EEM-scRNA-166,32,1647,60,0,113,181,804,265,215,153,37,1,1,46,508,311,0,63,69,30,1,16,50,117,395,206,90,83,134
EEM-scRNA-167,31,995,283,0,156,372,730,169,189,144,46,0,132,53,420,155,0,69,57,30,6,27,453,131,484,165,70,67,100
EEM-scRNA-170,20,929,148,14,30,217,581,213,125,296,75,8,48,70,274,162,0,88,37,29,0,14,463,15,280,130,112,58,119
EEM-scRNA-172,23,812,279,1,110,242,659,234,168,202,66,18,12,74,366,113,25,50,37,65,2,3,331,150,193,272,98,55,83
EEM-scRNA-179,20,1231,86,0,177,138,1067,176,90,407,24,54,5,69,520,90,0,60,29,13,0,6,691,127,287,91,50,32,115
EEM-scRNA-180,5,1933,57,0,128,78,729,88,58,413,7,11,6,55,480,60,0,50,22,19,1,0,367,226,236,97,51,52,131
EEM-scRNA-181,43,1729,113,0,208,291,895,162,87,280,37,21,5,38,812,109,389,29,43,27,1,9,182,145,219,248,127,42,154
EEM-scRNA-182,17,919,122,0,150,238,853,213,130,399,37,69,3,46,626,129,0,72,34,70,2,9,640,41,202,140,129,66,136
EEM-scRNA-236,26,646,152,0,220,131,707,115,143,81,41,95,29,26,227,149,0,10,18,48,4,5,597,199,151,66,50,31,70
EEM-scRNA-237,4,756,113,0,156,191,1425,585,56,179,44,139,6,78,253,125,2,43,97,67,2,0,980,65,203,71,72,47,140
EEM-scRNA-238,6,1327,264,0,334,79,733,136,344,140,35,63,4,89,428,167,3,34,25,50,4,3,229,420,119,43,68,55,224
EEM-scRNA-239,12,1237,303,0,205,206,1622,456,95,268,86,73,30,101,524,144,1,98,56,50,1,7,649,86,215,71,200,69,217
EEM-scRNA-249,7,1300,200,0,127,247,788,167,139,280,29,27,34,77,301,258,0,47,42,52,4,1,635,188,219,141,23,54,144
EEM-scRNA-250,9,2251,225,0,160,297,1072,258,175,272,54,3,50,98,684,272,0,57,87,54,4,17,600,362,329,216,91,77,195
EEM-scRNA-251,4,1450,324,0,183,205,752,172,169,205,67,8,29,98,292,254,1,32,52,42,0,4,497,332,209,126,33,72,125
EEM-scRNA-288,2,342,138,0,76,237,625,153,70,108,42,21,72,63,110,144,0,29,40,22,2,1,303,50,85,68,36,34,62
EEM-scRNA-289,7,345,12,0,17,145,326,94,46,70,19,37,46,46,95,70,2278,9,17,1,0,1,230,57,73,34,22,21,30
EEM-scRNA-290,3,423,160,0,85,250,479,121,116,195,37,162,68,58,143,150,0,32,38,14,0,9,401,104,172,66,41,33,76
EEM-scRNA-291,8,713,247,0,209,180,710,200,129,192,68,41,60,71,285,187,0,16,32,13,1,3,183,163,150,54,70,57,71
EEM-scRNA-292,7,505,257,0,189,98,471,152,96,136,48,31,32,81,177,158,1,24,47,6,2,2,163,121,94,29,68,33,61
EEM-scRNA-310,5,1220,303,0,300,73,580,114,372,139,103,75,6,76,390,150,0,22,22,10,0,0,232,369,91,34,44,50,178
EEM-scRNA-311,4,861,239,0,175,153,596,177,219,115,134,79,9,62,198,129,0,31,17,44,2,7,470,196,115,113,58,36,157
EEM-scRNA-312,6,632,172,0,172,100,574,165,128,134,100,40,4,30,130,99,0,19,18,11,0,2,241,115,95,83,60,33,124
